Frequency Spectrum for Input Signal

Data Shown:    DDQ Series (LD Systems)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 180°  Par: 160°

Freq [Hz]	Signal Level [dBSPL]
22.4	54.5
23	55.3
23.6	55.2
24	59.3
25	62.4
25.8	64.5
26.5	65.2
27.2	65
28	65.4
29	66
30	68.5
30.7	72.4
31.5	74.7
32.5	76.5
33.5	77.7
34.5	78.6
35.5	79.2
36.5	80.3
37.5	81.2
38.7	81.6
40	82.6
41.2	83.2
42.5	85.1
43.7	87.6
45	89.9
46.2	93
47.5	95.6
48.7	92.2
50	90.7
51.5	89.9
53	89.6
54.5	89.5
56	89.6
58	90.5
60	91.1
61.5	91.8
63	92.4
65	92.9
67	93.5
69	93.9
71	94.3
73	94.8
75	95.6
77.5	96.5
80	97.4
82.5	98.2
85	98.8
87.5	99.3
90	99.1
92.5	98.3
95	97.5
97.5	96.9
100	96.5
103	96.5
106	96.5
109	96.4
112	96.2
115	95.7
118	95.6
122	95.3
125	95.1
128	95.1
132	95.2
136	95.3
140	95.5
145	95.4
150	95.3
155	95.3
160	95.1
165	94.9
170	94.7
175	94.5
180	94.4
185	94.5
190	94.8
195	95.2
200	95.3
206	95.3
212	95.6
218	95.4
224	93.8
230	88.1
236	87.9
240	90.1
250	89.2
258	89.3
265	88.2
272	89.5
280	89.7
290	89.9
300	89.3
307	89.9
315	92.8
325	94.1
335	94.6
345	93.9
355	92.6
365	91.1
375	90.5
387	90.4
400	89.6
412	88.3
425	87
437	86.6
450	86.8
462	86.6
475	85.7
487	85.7
500	85.8
515	86.8
530	87.3
545	87.5
560	87.1
580	85.6
600	83.7
615	82.5
630	79.1
650	74.4
670	73
690	76.5
710	75.8
730	75.4
750	74.2
775	68.7
800	73.8
825	75.3
850	74.2
875	72.5
900	71.1
925	68.8
950	69.7
975	71.8
1000	66.5
1030	72.2
1060	74.2
1090	72.6
1120	73.1
1150	71.6
1180	66.2
1220	72.8
1250	73.3
1280	74.7
1320	78.2
1360	77.2
1400	75.3
1450	77.1
1500	76.2
1550	75.1
1600	76.7
1650	76.6
1700	77.9
1750	77.7
1800	78.6
1850	78
1900	79.3
1950	78.4
2000	79.6
2060	79.3
2120	79
2180	78.9
2240	77.9
2300	77.6
2360	78.5
2400	76.3
2500	77.8
2580	76.6
2650	74.5
2720	73.5
2800	72.3
2900	71.6
3000	70.9
3070	72.1
3150	70.4
3250	71.3
3350	70.5
3450	70.8
3550	71.3
3650	69.2
3750	70
3870	67.5
4000	67.7
4120	68.1
4250	68.3
4370	68.5
4500	66.9
4620	66.9
4750	67.9
4870	68.9
5000	67.8
5150	66.2
5300	64.9
5450	67.8
5600	64.7
5800	65.1
6000	64.2
6150	66
6300	66.4
6500	66.6
6700	62
6900	62
7100	64.2
7300	67.3
7500	68.9
7750	67.5
8000	65.1
8250	61.9
8500	62.5
8750	65.5
9000	64
9250	60.6
9500	59.1
9750	64.8
10000	65.6
10300	60.8
10600	63.8
10900	63
11200	61.8
11500	61.4
11800	61.1
12200	59.1
12500	60.8
12800	59
13200	56.7
13600	54.6
14000	51.3
14500	56.3
15000	56.5
15500	54
16000	52.1
16500	51.4
17000	48.6
17500	49.9
18000	49.2
18500	51.6
19000	53.1
19500	51
20000	46.8
20600	37.8
21200	35.7
21800	35.7
22400	38.2
