Frequency Spectrum for Input Signal

Data Shown:    STINGER 10 A G3 (LD Systems)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 0°  Par: 40°

Freq [Hz]	Signal Level [dBSPL]
22.4	20
23	21.9
23.6	23.8
24	26.1
25	27.8
25.8	28.4
26.5	26.7
27.2	28.1
28	31.8
29	35.2
30	40
30.7	43.4
31.5	45.4
32.5	47
33.5	50.7
34.5	53.8
35.5	56.1
36.5	57.4
37.5	57.4
38.7	56
40	61.6
41.2	66.3
42.5	65.3
43.7	63.5
45	63.7
46.2	67.1
47.5	69.9
48.7	73.3
50	75.6
51.5	77.2
53	77.8
54.5	78.1
56	79
58	80.3
60	81.5
61.5	82.6
63	83.7
65	84.7
67	84.9
69	85.3
71	85.8
73	86
75	86.4
77.5	87
80	87.5
82.5	87.3
85	87.6
87.5	88.1
90	88.2
92.5	88
95	87.9
97.5	87.9
100	87.7
103	87.5
106	87.4
109	87.1
112	87
115	86.8
118	86.4
122	86.2
125	85.8
128	85.5
132	85.2
136	84.9
140	84.8
145	84.5
150	84.2
155	84
160	83.7
165	83.7
170	83.3
175	83.2
180	83.1
185	83.2
190	83.1
195	83.1
200	82.8
206	82.9
212	82.8
218	82.9
224	83.1
230	83.1
236	83
240	82.9
250	83.1
258	83.3
265	83.5
272	83.6
280	83.9
290	84
300	83.8
307	83.7
315	83.6
325	83.5
335	84
345	84.2
355	84.3
365	84.3
375	84.2
387	83.8
400	83.2
412	82.9
425	82.9
437	82.8
450	83
462	83.4
475	83.7
487	84
500	83.9
515	83.7
530	83.4
545	83.2
560	82.7
580	82.7
600	82.9
615	83.3
630	82
650	81.7
670	82.6
690	83
710	83.3
730	83.7
750	84.2
775	83.7
800	82.3
825	80.9
850	79.8
875	79
900	77.8
925	78.7
950	80.1
975	80.7
1000	81.6
1030	81.9
1060	81.6
1090	80.9
1120	80
1150	78.6
1180	78.4
1220	79
1250	78.7
1280	79.3
1320	79.6
1360	80.2
1400	79.6
1450	78.8
1500	77.8
1550	77.7
1600	77.7
1650	77.6
1700	78.8
1750	78.5
1800	79.2
1850	78.8
1900	78.4
1950	79.2
2000	78.2
2060	77.6
2120	78
2180	78
2240	77.5
2300	76.4
2360	75.2
2400	75.2
2500	75.5
2580	75.6
2650	74.4
2720	75.2
2800	76.9
2900	77.3
3000	77.9
3070	78.8
3150	79.6
3250	79.1
3350	79.8
3450	78.6
3550	78.5
3650	77.6
3750	76.9
3870	76.4
4000	75.3
4120	75.7
4250	76
4370	77.1
4500	78.1
4620	77.9
4750	79
4870	78.8
5000	78.2
5150	77.5
5300	77.6
5450	78.3
5600	78.2
5800	79.1
6000	79.1
6150	78.1
6300	77.6
6500	77.5
6700	78.1
6900	79
7100	79.3
7300	79.8
7500	79.9
7750	79.8
8000	79.3
8250	78.8
8500	79.3
8750	78.4
9000	77.9
9250	78.7
9500	80.8
9750	81.7
10000	81.3
10300	79.6
10600	78.5
10900	79.2
11200	81.6
11500	82.5
11800	82.3
12200	81.8
12500	81.5
12800	81.3
13200	80.3
13600	75.4
14000	77.2
14500	78.6
15000	77.9
15500	75.6
16000	79.2
16500	78.9
17000	80
17500	81.1
18000	79.4
18500	80.1
19000	80.1
19500	74.5
20000	69.8
20600	65.8
21200	64.8
21800	66.2
22400	60.4
