Frequency Spectrum for Input Signal

Data Shown:    STINGER 10 A G3 (LD Systems)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 90°  Par: 70°  

Freq [Hz]	Signal Level [dBSPL]
22.4	22.8
23	25.8
23.6	28.2
24	28.9
25	28.9
25.8	28.2
26.5	27.1
27.2	29.8
28	33.5
29	37.1
30	41.4
30.7	46.4
31.5	51.8
32.5	61
33.5	66.5
34.5	65.4
35.5	60.8
36.5	57.2
37.5	58.1
38.7	60.4
40	62.9
41.2	64.6
42.5	66.5
43.7	68.4
45	68.5
46.2	68.6
47.5	70.2
48.7	75.7
50	80.6
51.5	76.8
53	74.7
54.5	76.1
56	77.4
58	78.1
60	79.3
61.5	80.8
63	81.7
65	82.3
67	83.3
69	83.9
71	84.3
73	84.6
75	85.4
77.5	86.3
80	86.8
82.5	87.1
85	87.4
87.5	87.6
90	87.5
92.5	87.3
95	87
97.5	86.7
100	86.4
103	86
106	85.8
109	85.6
112	85.4
115	85.2
118	85
122	84.9
125	84.5
128	84.3
132	84.1
136	83.9
140	83.7
145	83.4
150	82.8
155	82.4
160	82.2
165	82.6
170	82.5
175	81.9
180	81.6
185	81.6
190	81.6
195	81.3
200	80.6
206	79.9
212	79.4
218	79.2
224	79.4
230	79.4
236	79.8
240	79.5
250	79
258	79.4
265	79.9
272	80.5
280	81
290	81.2
300	81.1
307	81
315	80.9
325	80.8
335	80.2
345	81.1
355	81.7
365	81.2
375	80.6
387	80.1
400	79.4
412	79.2
425	79
437	78.4
450	78.5
462	79.2
475	79.5
487	79.8
500	80.2
515	80
530	79.6
545	78.4
560	77.2
580	77
600	77.2
615	76
630	73
650	72.6
670	76.7
690	78.4
710	78.4
730	78.3
750	78.2
775	77.5
800	77.1
825	77.2
850	77.8
875	78.1
900	78.7
925	80
950	78.9
975	75.8
1000	78
1030	77
1060	75.6
1090	71.6
1120	69.1
1150	73.1
1180	75.8
1220	75.8
1250	73.1
1280	71.6
1320	69
1360	68.7
1400	67.8
1450	72.1
1500	73.1
1550	72.3
1600	71.6
1650	68.2
1700	67.6
1750	66.2
1800	65.5
1850	70.1
1900	73.1
1950	74.2
2000	75.3
2060	74.3
2120	72.7
2180	69.9
2240	69.3
2300	67.9
2360	67.2
2400	71.1
2500	70.8
2580	67.5
2650	67.1
2720	70.5
2800	71.4
2900	65.9
3000	68.7
3070	68.8
3150	64.2
3250	61
3350	67.2
3450	65
3550	61.8
3650	66.3
3750	69.5
3870	66.9
4000	67.8
4120	72
4250	72.4
4370	68.4
4500	62.2
4620	62.6
4750	61
4870	62.3
5000	66.4
5150	68.1
5300	66.2
5450	63.4
5600	67.1
5800	65.5
6000	63.5
6150	63.6
6300	55.6
6500	54.1
6700	64.9
6900	66.3
7100	66.1
7300	68.1
7500	71.1
7750	69.1
8000	68
8250	62.7
8500	56.3
8750	60.6
9000	62.3
9250	61
9500	59.7
9750	64.1
10000	60.5
10300	59
10600	55.4
10900	59.9
11200	58.5
11500	62.5
11800	65
12200	63.9
12500	61
12800	57.2
13200	64.3
13600	64.8
14000	62.8
14500	62.3
15000	63.4
15500	60.2
16000	59.6
16500	62
17000	62.3
17500	63.1
18000	57.8
18500	61.4
19000	64.4
19500	63.8
20000	61.3
20600	64.2
21200	60.4
21800	54.5
22400	46.5
