Freq[Hz]     dBSPL  Phase[Deg]
5.00000     -8.499   107.598
5.07273     -7.924   106.610
5.14651     -7.449   105.606
5.22137     -6.874   104.590
5.29732     -6.399   103.557
5.37437     -5.824   102.510
5.45254     -5.250   101.448
5.53185     -4.775   100.370
5.61231     -4.200    99.275
5.69394     -3.726    98.166
5.77676     -3.151    97.040
5.86079     -2.576    95.898
5.94604     -2.102    94.739
6.03252     -1.527    93.563
6.12027     -1.052    92.369
6.20929     -0.477    91.159
6.29961      0.098    89.931
6.39124      0.573    88.685
6.48420      1.147    87.420
6.57851      1.622    86.138
6.67420      2.197    84.835
6.77128      2.772    83.517
6.86977      3.247    82.177
6.96969      3.822    80.817
7.07107      4.297    79.438
7.17392      4.871    78.039
7.27827      5.446    76.618
7.38413      5.921    75.178
7.49154      6.496    73.717
7.60050      6.971    72.234
7.71105      7.546    70.730
7.82321      8.120    69.204
7.93701      8.595    67.655
8.05245      9.170    66.085
8.16958      9.645    64.490
8.28841     10.220    62.873
8.40896     10.795    61.232
8.53128     11.270    59.569
8.65537     11.844    57.880
8.78126     12.319    56.165
8.90899     12.894    54.427
9.03857     13.469    52.663
9.17004     13.944    50.874
9.30342     14.519    49.059
9.43874     14.992    47.216
9.57603     15.567    45.348
9.71532     16.042    43.452
9.85663     16.617    41.528
10.0000     17.192    39.579
10.1455     17.667    37.600
10.2930     18.241    35.589
10.4427     18.716    33.550
10.5946     19.291    31.485
10.7487     19.866    29.387
10.9051     20.341    27.260
11.0637     20.916    25.102
11.2246     21.391    22.912
11.3879     21.965    20.690
11.5535     22.540    18.437
11.7216     23.015    16.150
11.8921     23.590    13.831
12.0650     24.065    11.476
12.2405     24.640     9.092
12.4186     25.214     6.670
12.5992     25.689     4.213
12.7825     26.264     1.722
12.9684     26.739    -0.806
13.1570     27.314    -3.371
13.3484     27.889    -5.972
13.5426     28.363    -8.609
13.7395     28.938   -11.287
13.9394     29.413   -14.001
14.1421     29.988   -16.758
14.3478     30.463   -19.553
14.5565     31.038   -22.388
14.7683     31.613   -25.261
14.9831     32.087   -28.178
15.2010     32.662   -31.139
15.4221     33.136   -34.143
15.6464     33.711   -37.188
15.8740     34.286   -40.277
16.1049     34.761   -43.411
16.3392     35.335   -46.589
16.5768     35.810   -49.816
16.8179     36.385   -53.088
17.0626     36.960   -56.406
17.3107     37.435   -59.776
17.5625     38.010   -63.192
17.8180     38.485   -66.656
18.0771     39.059   -70.174
18.3401     39.534   -73.739
18.6068     40.109   -77.359
18.8775     40.684   -81.028
19.1521     41.159   -84.752
19.4306     41.734   -88.534
19.7133     42.208   -92.366
20.0000     42.783   -96.257
20.2909     43.358  -100.203
20.5860     44.120  -106.972
20.8855     44.896  -113.327
21.1893     45.513  -119.023
21.4975     46.099  -123.943
21.8102     46.499  -128.006
22.1274     46.957  -131.244
22.4492     47.399  -133.890
22.7758     47.999  -136.384
23.1071     48.589  -139.279
23.4432     49.199  -142.974
23.7841     49.699  -147.523
24.1301     50.199  -152.466
24.4811     50.699  -157.247
24.8372     51.017  -161.366
25.1984     51.499  -164.625
25.5649     52.199  -167.308
25.9368     52.917  -170.072
26.3141     53.999  -173.507
26.6968     55.199  -177.772
27.0851     56.299   177.403
27.4791     56.999   172.534
27.8788     57.899   168.192
28.2843     58.499   164.759
28.6957     59.163   162.343
29.1131     59.799   160.695
29.5365     60.699   159.278
29.9661     61.416   157.560
30.4020     62.097   155.321
30.8442     62.699   152.799
31.2929     63.299   150.509
31.7480     63.799   148.658
32.2098     64.404   146.989
32.6783     64.999   144.803
33.1536     65.799   141.833
33.6359     66.214   138.431
34.1251     66.799   135.295
34.6215     67.299   132.834
35.1250     67.907   130.706
35.6359     68.499   128.212
36.1543     69.299   125.132
36.6802     69.983   121.788
37.2137     70.499   118.596
37.7550     71.099   115.603
38.3041     71.799   112.577
38.8613     72.399   109.373
39.4265     72.999   106.045
40.0000     73.476   102.715
40.5818     73.999    99.407
41.1721     74.356    96.114
41.7710     74.805    92.804
42.3785     75.399    89.365
42.9949     75.899    85.722
43.6203     76.288    81.926
44.2548     76.699    78.098
44.8985     77.099    74.256
45.5515     77.538    70.322
46.2141     77.979    66.296
46.8863     78.299    62.295
47.5683     78.510    58.414
48.2602     78.899    54.593
48.9621     79.099    50.719
49.6743     79.399    46.826
50.3968     79.537    42.997
51.1299     79.761    39.146
51.8736     79.899    35.224
52.6281     80.070    31.451
53.3936     80.219    27.853
54.1702     80.407    24.063
54.9581     80.599    20.225
55.7575     80.524    16.898
56.5685     80.799    13.800
57.3914     80.827    10.507
58.2261     80.899     7.337
59.0730     80.999     4.356
59.9323     80.999     1.277
60.8040     81.002    -1.593
61.6884     81.144    -4.198
62.5857     81.189    -6.932
63.4960     81.260    -9.622
64.4196     81.199   -12.147
65.3566     81.299   -14.768
66.3073     81.299   -17.364
67.2717     81.399   -19.773
68.2502     81.399   -22.273
69.2429     81.399   -24.762
70.2501     81.382   -27.007
71.2719     81.561   -29.244
72.3086     81.654   -31.351
73.3603     81.699   -33.340
74.4274     81.875   -35.481
75.5099     81.880   -37.616
76.6083     81.818   -39.602
77.7226     81.899   -41.582
78.8531     81.967   -43.554
80.0000     81.999   -45.585
81.1636     82.036   -47.532
82.3442     81.999   -49.406
83.5419     82.187   -51.361
84.7570     82.099   -53.164
85.9899     82.299   -54.813
87.2406     82.377   -56.628
88.5096     82.299   -58.489
89.7970     82.399   -60.124
91.1031     82.499   -62.056
92.4282     82.599   -63.957
93.7726     82.599   -65.912
95.1366     82.599   -67.561
96.5204     82.699   -69.450
97.9243     82.699   -71.418
99.3486     82.699   -73.448
100.794     82.799   -75.306
102.260     82.799   -76.976
103.747     82.969   -78.639
105.256     82.899   -80.571
106.787     82.999   -82.320
108.340     82.999   -84.328
109.916     82.999   -86.010
111.515     83.099   -87.901
113.137     83.099   -89.635
114.783     83.099   -91.471
116.452     83.199   -93.384
118.146     83.237   -95.291
119.865     83.168   -97.693
121.608     83.099   -98.805
123.377     83.109  -100.733
125.171     83.099  -102.340
126.992     83.199  -103.937
128.839     83.181  -105.593
130.713     83.099  -107.297
132.615     83.099  -109.063
134.543     83.016  -110.760
136.500     83.039  -112.430
138.486     83.059  -113.935
140.500     82.949  -115.588
142.544     82.882  -117.088
144.617     82.879  -118.399
146.721     82.782  -119.595
148.855     82.766  -120.863
151.020     82.699  -121.981
153.217     82.616  -123.031
155.445     82.549  -124.062
157.706     82.566  -125.308
160.000     82.557  -126.540
162.327     82.399  -127.600
164.688     82.466  -128.223
167.084     82.441  -128.851
169.514     82.513  -129.742
171.980     82.542  -130.809
174.481     82.549  -131.725
177.019     82.542  -132.679
179.594     82.541  -133.644
182.206     82.562  -134.667
184.856     82.599  -135.878
187.545     82.699  -137.087
190.273     82.699  -138.268
193.041     82.813  -139.495
195.849     82.837  -140.799
198.697     82.799  -142.214
201.587     82.799  -143.655
204.520     82.799  -145.045
207.494     82.836  -146.365
210.512     82.799  -148.028
213.574     82.749  -149.675
216.681     82.713  -151.024
219.833     82.569  -152.295
223.030     82.603  -153.380
226.274     82.537  -154.557
229.565     82.395  -155.771
232.905     82.296  -156.747
236.292     82.205  -157.835
239.729     82.169  -158.715
243.216     82.066  -159.452
246.754     81.850  -160.007
250.343     81.940  -160.598
253.984     81.824  -161.392
257.678     81.782  -162.399
261.426     81.601  -162.990
265.229     81.626  -163.398
269.087     81.545  -164.016
273.001     81.469  -164.093
276.972     81.490  -164.258
281.000     81.527  -164.718
285.088     81.471  -165.230
289.234     81.430  -165.836
293.441     81.417  -166.465
297.709     81.399  -167.019
302.040     81.398  -167.651
306.433     81.306  -168.403
310.890     81.243  -169.252
315.412     81.140  -169.944
320.000     81.079  -170.509
324.655     80.956  -170.938
329.377     80.842  -171.251
334.168     80.548  -171.408
339.028     80.390  -171.308
343.959     80.255  -171.015
348.962     80.200  -170.590
354.038     80.143  -170.061
359.188     80.098  -169.486
364.412     79.997  -168.948
369.713     79.998  -168.550
375.090     79.998  -168.341
380.546     80.080  -168.344
