Freq[Hz]     dBSPL  Phase[Deg]
5.00000     43.966    35.165
5.07273     44.180    35.018
5.14651     44.395    34.872
5.22137     44.610    34.727
5.29732     44.831    34.576
5.37437     45.056    34.423
5.45254     45.281    34.270
5.53185     45.497    34.114
5.61231     45.699    33.953
5.69394     45.902    33.793
5.77676     46.107    33.630
5.86079     46.318    33.463
5.94604     46.529    33.295
6.03252     46.743    33.126
6.12027     46.963    32.951
6.20929     47.183    32.777
6.29961     47.408    32.598
6.39124     47.636    32.416
6.48420     47.865    32.235
6.57851     48.068    32.047
6.67420     48.267    31.858
6.77128     48.476    31.668
6.86977     48.722    31.472
6.96969     48.968    31.276
7.07107     49.191    31.075
7.17392     49.404    30.872
7.27827     49.620    30.667
7.38413     49.840    30.456
7.49154     50.061    30.246
7.60050     50.288    30.030
7.71105     50.516    29.812
7.82321     50.719    29.590
7.93701     50.908    29.366
8.05245     51.121    29.138
8.16958     51.364    28.906
8.28841     51.593    28.673
8.40896     51.794    28.434
8.53128     51.996    28.194
8.65537     52.203    27.948
8.78126     52.411    27.701
8.90899     52.624    27.447
9.03857     52.838    27.192
9.17004     53.056    26.932
9.30342     53.277    26.669
9.43874     53.501    26.401
9.57603     53.729    26.130
9.71532     53.959    25.856
9.85663     54.193    25.576
10.0000     54.429    25.295
10.1455     54.612    25.006
10.2930     54.813    24.715
10.4427     55.060    24.420
10.5946     55.273    24.119
10.7487     55.465    23.817
10.9051     55.723    23.506
11.0637     55.959    23.193
11.2246     56.159    22.877
11.3879     56.363    22.553
11.5535     56.569    22.226
11.7216     56.778    21.895
11.8921     56.991    21.557
12.0650     57.206    21.216
12.2405     57.423    20.870
12.4186     57.645    20.518
12.5992     57.869    20.161
12.7825     58.096    19.800
12.9684     58.327    19.432
13.1570     58.561    19.059
13.3484     58.759    18.681
13.5426     58.939    18.298
13.7395     59.182    17.910
13.9394     59.430    17.514
14.1421     59.624    17.113
14.3478     59.836    16.707
14.5565     60.071    16.296
14.7683     60.255    15.878
14.9831     60.520    15.453
