Freq[Hz]     dBSPL  Phase[Deg]
5.00000    -33.450   113.109
5.07273    -32.662   114.161
5.14651    -31.976   115.230
5.22137    -31.190   116.319
5.29732    -30.504   117.427
5.37437    -29.719   118.558
5.45254    -28.934   119.708
5.53185    -28.249   120.881
5.61231    -27.465   122.074
5.69394    -26.782   123.290
5.77676    -25.998   124.531
5.86079    -25.215   125.794
5.94604    -24.533   127.080
6.03252    -23.751   128.394
6.12027    -23.070   129.733
6.20929    -22.290   131.097
6.29961    -21.509   132.490
6.39124    -20.829   133.907
6.48420    -20.050   135.355
6.57851    -19.371   136.833
6.67420    -18.593   138.340
6.77128    -17.816   139.877
6.86977    -17.139   141.446
6.96969    -16.361   143.049
7.07107    -15.686   144.683
7.17392    -14.911   146.352
7.27827    -14.135   148.055
7.38413    -13.461   149.796
7.49154    -12.688   151.572
7.60050    -12.014   153.386
7.71105    -11.242   155.239
7.82321    -10.470   157.131
7.93701     -9.798   159.064
8.05245     -9.028   161.038
8.16958     -8.359   163.054
8.28841     -7.589   165.113
8.40896     -6.820   167.217
8.53128     -6.153   169.366
8.65537     -5.385   171.560
8.78126     -4.718   173.799
8.90899     -3.953   176.087
9.03857     -3.187   178.422
9.17004     -2.523  -179.196
9.30342     -1.760  -176.763
9.43874     -1.096  -174.283
9.57603     -0.334  -171.753
9.71532      0.427  -169.174
9.85663      1.089  -166.547
10.0000      1.848  -163.869
10.1455      2.507  -161.146
10.2930      3.266  -158.371
10.4427      4.024  -155.551
10.5946      4.680  -152.685
10.7487      5.437  -149.775
10.9051      6.092  -146.824
11.0637      6.846  -143.827
11.2246      7.600  -140.792
11.3879      8.253  -137.720
11.5535      9.004  -134.608
11.7216      9.656  -131.467
11.8921     10.406  -128.294
12.0650     11.155  -125.089
12.2405     11.803  -121.861
12.4186     12.551  -118.613
12.5992     13.197  -115.339
12.7825     13.943  -112.051
12.9684     14.688  -108.746
13.1570     15.332  -105.427
13.3484     16.075  -102.100
13.5426     16.718   -98.768
13.7395     17.458   -95.422
13.9394     18.198   -92.079
14.1421     18.838   -88.732
14.3478     19.576   -85.385
14.5565     20.213   -82.041
14.7683     20.951   -78.702
14.9831     21.686   -75.363
15.2010     22.320   -72.030
15.4221     23.054   -68.701
15.6464     23.686   -65.379
15.8740     24.418   -62.064
16.1049     25.149   -58.753
16.3392     25.778   -55.452
16.5768     26.507   -52.152
16.8179     27.235   -48.859
17.0626     27.861   -45.574
17.3107     28.587   -42.289
17.5625     29.212   -39.010
17.8180     29.935   -35.735
18.0771     30.657   -32.459
18.3401     31.280   -29.188
18.6068     32.000   -25.915
18.8775     32.619   -22.644
19.1521     33.338   -19.370
19.4306     34.056   -16.093
19.7133     34.672   -12.814
20.0000     35.388    -9.529
20.2909     36.002    -6.239
20.5860     36.365    -2.314
20.8855     36.986     3.358
21.1893     37.790     9.142
21.4975     38.695    13.619
21.8102     39.756    16.507
22.1274     40.608    18.097
22.4492     41.202    19.066
22.7758     41.700    20.379
23.1071     42.088    23.059
23.4432     42.371    27.070
23.7841     42.946    32.277
24.1301     43.784    36.576
24.4811     44.721    39.201
24.8372     45.378    40.353
25.1984     45.947    40.822
25.5649     46.366    41.665
25.9368     46.585    43.454
26.3141     46.983    45.845
26.6968     47.399    48.318
27.0851     47.895    50.142
27.4791     48.211    51.271
27.8788     48.469    52.639
28.2843     48.680    54.713
28.6957     48.983    57.364
29.1131     49.467    59.683
29.5365     50.050    61.080
29.9661     50.514    61.614
30.4020     50.960    61.846
30.8442     51.232    62.280
31.2929     51.520    62.917
31.7480     51.923    63.461
32.2098     52.231    63.768
32.6783     52.555    64.126
33.1536     52.879    64.790
33.6359     53.237    65.629
34.1251     53.538    66.196
34.6215     54.051    66.345
35.1250     54.381    66.363
35.6359     54.691    66.613
36.1543     55.187    66.976
36.6802     55.513    67.056
37.2137     55.937    66.690
37.7550     56.311    66.265
38.3041     56.632    66.202
38.8613     57.004    66.387
39.4265     57.388    66.431
40.0000     57.749    66.203
40.5818     58.105    65.902
41.1721     58.496    65.633
41.7710     58.885    65.272
42.3785     59.286    64.788
42.9949     59.531    64.503
43.6203     59.864    64.488
44.2548     60.313    64.410
44.8985     60.686    63.922
45.5515     61.125    63.207
46.2141     61.564    62.623
46.8863     61.907    62.257
47.5683     62.257    61.775
48.2602     62.751    61.022
48.9621     63.111    60.275
49.6743     63.529    59.703
50.3968     63.972    59.157
51.1299     64.399    58.517
51.8736     64.837    57.833
52.6281     65.349    57.089
53.3936     65.760    56.223
54.1702     66.083    55.371
54.9581     66.622    54.587
55.7575     67.053    53.526
56.5685     67.464    52.201
57.3914     67.864    51.170
58.2261     68.405    50.402
59.0730     68.847    49.224
59.9323     69.205    47.804
60.8040     69.651    46.564
61.6884     70.147    45.282
62.5857     70.684    43.994
63.4960     71.030    42.754
64.4196     71.530    41.422
65.3566     72.030    39.974
66.3073     72.432    38.426
67.2717     72.970    36.901
68.2502     73.370    35.283
69.2429     73.811    33.530
70.2501     74.244    31.778
71.2719     74.751    29.922
72.3086     75.150    27.975
73.3603     75.690    25.996
74.4274     76.030    23.940
75.5099     76.462    21.805
76.6083     76.869    19.526
77.7226     77.269    17.218
78.8531     77.608    14.944
80.0000     77.980    12.632
81.1636     78.284    10.271
82.3442     78.661     7.903
83.5419     78.985     5.594
84.7570     79.302     3.264
85.9899     79.543     0.939
87.2406     79.875    -1.426
88.5096     80.081    -3.848
89.7970     80.361    -6.278
91.1031     80.590    -8.692
92.4282     80.876   -11.226
93.7726     81.099   -13.859
95.1366     81.307   -16.486
96.5204     81.493   -19.154
97.9243     81.597   -21.802
99.3486     81.766   -24.295
100.794     81.937   -26.556
102.260     81.922   -28.607
103.747     81.993   -30.454
105.256     82.200   -32.236
106.787     82.311   -34.103
108.340     82.436   -36.005
109.916     82.637   -37.927
111.515     82.768   -39.840
113.137     82.837   -41.775
114.783     82.999   -43.688
116.452     83.099   -45.451
118.146     83.176   -47.042
119.865     83.362   -48.522
121.608     83.324   -50.189
123.377     83.458   -51.716
125.171     83.524   -53.193
126.992     83.624   -54.672
128.839     83.724   -56.162
130.713     83.850   -57.645
132.615     84.047   -59.129
134.543     84.147   -60.700
136.500     84.175   -62.338
138.486     84.427   -63.829
140.500     84.515   -65.444
142.544     84.468   -67.056
144.617     84.547   -68.357
146.721     84.541   -69.514
148.855     84.657   -70.743
151.020     84.730   -71.935
153.217     84.797   -73.179
155.445     84.866   -74.521
157.706     84.935   -75.876
160.000     84.891   -77.270
162.327     84.860   -78.453
164.688     84.927   -79.217
167.084     85.010   -79.946
169.514     85.054   -80.973
171.980     85.019   -82.125
174.481     85.107   -83.119
177.019     85.172   -84.004
179.594     85.145   -84.848
182.206     85.213   -85.807
184.856     85.253   -86.906
187.545     85.365   -87.920
190.273     85.416   -88.938
193.041     85.496   -89.917
195.849     85.577   -90.924
198.697     85.660   -92.060
201.587     85.707   -93.193
204.520     85.716   -94.278
207.494     85.739   -95.366
210.512     85.859   -96.642
213.574     85.897   -98.108
216.681     85.917   -99.572
219.833     85.946  -101.026
223.030     85.944  -102.422
226.274     85.898  -103.783
229.565     85.841  -105.103
232.905     85.761  -106.332
236.292     85.643  -107.459
239.729     85.645  -108.506
243.216     85.576  -109.404
246.754     85.518  -110.156
