Freq[Hz]     dBSPL  Phase[Deg]
5.00000    -37.546   137.797
5.07273    -36.723   138.754
5.14651    -36.001   139.726
5.22137    -35.180   140.717
5.29732    -34.459   141.726
5.37437    -33.638   142.757
5.45254    -32.817   143.804
5.53185    -32.097   144.873
5.61231    -31.278   145.961
5.69394    -30.559   147.070
5.77676    -29.740   148.203
5.86079    -28.921   149.356
5.94604    -28.204   150.531
6.03252    -27.387   151.731
6.12027    -26.670   152.956
6.20929    -25.854   154.203
6.29961    -25.039   155.477
6.39124    -24.323   156.775
6.48420    -23.508   158.101
6.57851    -22.794   159.456
6.67420    -21.981   160.838
6.77128    -21.168   162.248
6.86977    -20.455   163.688
6.96969    -19.642   165.160
7.07107    -18.932   166.662
7.17392    -18.121   168.196
7.27827    -17.310   169.763
7.38413    -16.600   171.365
7.49154    -15.792   173.000
7.60050    -15.083   174.672
7.71105    -14.275   176.380
7.82321    -13.467   178.125
7.93701    -12.760   179.909
8.05245    -11.955  -178.268
8.16958    -11.250  -176.405
8.28841    -10.445  -174.502
8.40896     -9.640  -172.555
8.53128     -8.938  -170.566
8.65537     -8.135  -168.535
8.78126     -7.432  -166.460
8.90899     -6.631  -164.339
9.03857     -5.831  -162.174
9.17004     -5.131  -159.964
9.30342     -4.332  -157.705
9.43874     -3.633  -155.403
9.57603     -2.836  -153.052
9.71532     -2.039  -150.655
9.85663     -1.342  -148.213
10.0000     -0.547  -145.723
10.1455      0.147  -143.191
10.2930      0.941  -140.609
10.4427      1.735  -137.985
10.5946      2.427  -135.317
10.7487      3.218  -132.609
10.9051      3.909  -129.862
11.0637      4.699  -127.073
11.2246      5.488  -124.248
11.3879      6.176  -121.390
11.5535      6.963  -118.496
11.7216      7.650  -115.574
11.8921      8.436  -112.623
12.0650      9.221  -109.646
12.2405      9.904  -106.647
12.4186     10.687  -103.630
12.5992     11.369  -100.594
12.7825     12.151   -97.545
12.9684     12.930   -94.484
13.1570     13.610   -91.412
13.3484     14.389   -88.335
13.5426     15.067   -85.257
13.7395     15.842   -82.169
13.9394     16.618   -79.088
14.1421     17.293   -76.006
14.3478     18.067   -72.928
14.5565     18.739   -69.858
14.7683     19.512   -66.795
14.9831     20.283   -63.737
15.2010     20.953   -60.689
15.4221     21.721   -57.649
15.6464     22.389   -54.621
15.8740     23.157   -51.603
16.1049     23.923   -48.595
16.3392     24.587   -45.600
16.5768     25.352   -42.611
16.8179     26.115   -39.634
17.0626     26.777   -36.669
17.3107     27.539   -33.708
17.5625     28.198   -30.759
17.8180     28.957   -27.818
18.0771     29.715   -24.882
18.3401     30.373   -21.954
18.6068     31.128   -19.031
18.8775     31.783   -16.113
19.1521     32.537   -13.199
19.4306     33.291   -10.287
19.7133     33.942    -7.377
20.0000     34.693    -4.467
20.2909     35.343    -1.558
20.5860     35.765     1.860
20.8855     36.389     6.998
21.1893     37.276    12.267
21.4975     38.265    16.253
21.8102     39.356    18.674
22.1274     40.250    19.822
22.4492     40.902    20.377
22.7758     41.400    21.301
23.1071     41.788    23.619
23.4432     42.073    27.294
23.7841     42.740    32.194
24.1301     43.584    36.212
24.4811     44.521    38.579
24.8372     45.260    39.495
25.1984     45.847    39.752
25.5649     46.266    40.404
25.9368     46.567    42.023
26.3141     46.898    44.262
26.6968     47.389    46.604
27.0851     47.799    48.314
27.4791     48.211    49.346
27.8788     48.482    50.634
28.2843     48.780    52.645
28.6957     49.083    55.247
29.1131     49.567    57.531
29.5365     50.150    58.908
29.9661     50.614    59.434
30.4020     51.060    59.672
30.8442     51.355    60.124
31.2929     51.675    60.790
31.7480     52.023    61.375
32.2098     52.426    61.733
32.6783     52.678    62.153
33.1536     53.025    62.889
33.6359     53.422    63.808
34.1251     53.738    64.465
34.6215     54.251    64.712
35.1250     54.581    64.837
35.6359     54.960    65.201
36.1543     55.387    65.685
36.6802     55.713    65.894
37.2137     56.199    65.662
37.7550     56.611    65.377
38.3041     56.932    65.460
38.8613     57.304    65.796
39.4265     57.688    65.995
40.0000     57.949    65.926
40.5818     58.305    65.787
41.1721     58.796    65.683
41.7710     59.179    65.491
42.3785     59.486    65.176
42.9949     59.790    65.063
43.6203     60.075    65.220
44.2548     60.528    65.314
44.8985     60.886    64.998
45.5515     61.325    64.453
46.2141     61.745    64.039
46.8863     62.104    63.841
47.5683     62.447    63.523
48.2602     62.930    62.930
48.9621     63.211    62.341
49.6743     63.629    61.921
50.3968     64.072    61.524
51.1299     64.437    61.025
51.8736     64.937    60.477
52.6281     65.349    59.861
53.3936     65.760    59.116
54.1702     66.083    58.377
54.9581     66.522    57.699
55.7575     67.053    56.734
56.5685     67.364    55.496
57.3914     67.764    54.542
58.2261     68.206    53.841
59.0730     68.647    52.721
59.9323     69.005    51.348
60.8040     69.447    50.144
61.6884     69.847    48.888
62.5857     70.384    47.616
63.4960     70.730    46.382
64.4196     71.230    45.046
65.3566     71.683    43.583
66.3073     72.032    42.011
67.2717     72.570    40.454
68.2502     72.933    38.795
69.2429     73.411    36.993
