Freq[Hz]     dBSPL  Phase[Deg]
5.00000      1.132    23.209
5.07273      1.019    24.173
5.14651      0.817    25.764
5.22137      0.363    29.103
5.29732     -0.090    32.442
5.37437     -0.543    35.782
5.45254     -0.996    39.121
5.53185     -1.253    44.732
5.61231     -1.301    52.747
5.69394     -1.350    60.761
5.77676     -1.399    68.776
5.86079     -1.435    76.737
5.94604     -0.717    81.613
6.03252      0.001    86.488
6.12027      0.719    91.363
6.20929      1.438    96.238
6.29961      1.919    97.722
6.39124      2.347    98.454
6.48420      2.776    99.186
6.57851      3.204    99.918
6.67420      3.099   100.027
6.77128      2.906   100.034
6.86977      2.714   100.041
6.96969      2.432   100.510
7.07107      1.467   104.500
7.17392      0.503   108.489
7.27827     -0.462   112.479
7.38413     -0.923   122.729
7.49154     -0.994   137.817
7.60050     -1.066   152.904
7.71105     -0.850   166.256
7.82321      0.635   171.982
7.93701      2.120   177.708
8.05245      3.606  -176.565
8.16958      4.294  -177.398
8.28841      4.954  -178.476
8.40896      5.613  -179.554
8.53128      5.293   178.677
8.65537      4.847   176.820
8.78126      4.401   174.962
8.90899      2.229  -177.835
9.03857     -0.057  -170.039
9.17004     -1.858  -159.953
9.30342      0.203  -131.639
9.43874      2.264  -103.325
9.57603      4.537   -86.633
9.71532      7.132   -87.698
9.85663      9.727   -88.763
10.0000     11.192   -93.927
10.1455     12.342  -100.234
10.2930     13.238  -107.174
10.4427     13.422  -115.882
10.5946     13.606  -124.590
10.7487     13.030  -136.134
10.9051     12.302  -148.243
11.0637     11.157  -164.904
11.2246      9.570   173.622
11.3879      8.360   149.361
11.5535      8.524   114.944
11.7216      8.713    80.737
11.8921     10.375    58.935
12.0650     12.038    37.132
12.2405     12.679    22.609
12.4186     13.188     9.024
12.5992     12.184    -1.649
12.7825     10.844   -11.676
12.9684      4.405     4.555
13.1570     -3.221    26.900
13.3484      3.563    65.180
13.5426     12.687   106.047
13.7395     16.401    99.459
13.9394     19.697    90.877
14.1421     21.402    81.015
14.3478     22.757    71.125
14.5565     23.360    61.173
14.7683     23.364    51.636
14.9831     22.905    42.419
15.2010     21.207    35.937
15.4221     18.898    33.597
15.6464     14.836    47.396
15.8740     14.420    74.398
16.1049     16.915   111.943
16.3392     20.164   112.136
16.5768     22.605   107.577
16.8179     23.830    98.140
17.0626     23.643    86.368
17.3107     22.453    73.303
17.5625     20.015    58.726
