Freq SPL Phase
20.5078 43.7326 0.0
21.9727 39.1776 0.0
23.4375 49.7569 0.0
24.9023 51.1308 0.0
26.3672 54.5703 0.0
27.832 57.9269 0.0
29.2969 60.6767 0.0
30.7617 62.6459 0.0
32.2266 64.6354 0.0
33.6914 66.1744 0.0
35.1562 67.3569 0.0
36.6211 68.4369 0.0
38.0859 69.0358 0.0
39.5508 69.4974 0.0
41.0156 69.8727 0.0
42.4805 70.2223 0.0
43.9453 70.4508 0.0
45.4102 70.4571 0.0
48.3398 70.6673 0.0
49.8047 70.7508 0.0
51.2695 70.8919 0.0
54.1992 70.935 0.0
55.6641 71.0663 0.0
58.5938 70.9759 0.0
60.0586 70.9669 0.0
62.9883 71.4086 0.0
64.4531 71.4701 0.0
67.3828 71.3732 0.0
70.3125 71.4591 0.0
73.2422 71.4623 0.0
76.1719 71.5699 0.0
79.1016 71.7122 0.0
82.0312 71.5879 0.0
84.9609 71.8031 0.0
87.8906 71.7172 0.0
92.2852 71.6677 0.0
95.2148 71.7034 0.0
99.6094 71.6875 0.0
102.539 71.6537 0.0
106.934 71.6683 0.0
111.328 71.807 0.0
115.723 71.9156 0.0
120.117 71.7576 0.0
124.512 71.6357 0.0
130.371 71.4836 0.0
134.766 71.5121 0.0
140.625 71.6111 0.0
146.484 71.6775 0.0
150.879 71.6559 0.0
158.203 71.4199 0.0
164.062 71.309 0.0
169.922 71.1874 0.0
177.246 71.0522 0.0
183.105 71.3018 0.0
190.43 71.1747 0.0
197.754 70.9913 0.0
206.543 70.762 0.0
213.867 70.6605 0.0
222.656 70.6035 0.0
231.445 70.6299 0.0
240.234 70.5539 0.0
250.488 70.3282 0.0
259.277 70.1005 0.0
269.531 70.3204 0.0
281.25 70.1521 0.0
291.504 70.2631 0.0
303.223 70.2472 0.0
314.941 70.146 0.0
326.66 69.7646 0.0
339.844 69.4997 0.0
353.027 69.5883 0.0
367.676 69.8579 0.0
382.324 70.1966 0.0
396.973 69.8589 0.0
413.086 68.9604 0.0
429.199 68.2168 0.0
445.312 68.993 0.0
462.891 69.3321 0.0
480.469 69.6607 0.0
499.512 69.7557 0.0
520.02 69.5848 0.0
540.527 69.1419 0.0
561.035 69.3664 0.0
583.008 69.6908 0.0
606.445 69.4028 0.0
629.883 68.6691 0.0
654.785 68.5243 0.0
679.688 68.7277 0.0
707.52 68.0777 0.0
735.352 67.0984 0.0
763.184 67.24 0.0
793.945 66.7497 0.0
824.707 66.7004 0.0
856.934 66.9484 0.0
890.625 65.9949 0.0
925.781 66.041 0.0
962.402 66.2543 0.0
1000.49 65.6057 0.0
1038.57 65.5508 0.0
1079.59 66.0008 0.0
1122.07 65.7194 0.0
1166.02 65.3271 0.0
1212.89 64.689 0.0
1259.77 63.9785 0.0
1309.57 64.2352 0.0
1360.84 64.8673 0.0
1413.57 65.0954 0.0
1469.24 63.8974 0.0
1527.83 64.0426 0.0
1587.89 64.0031 0.0
1649.41 66.3484 0.0
1713.87 64.7676 0.0
1781.25 65.3621 0.0
1851.56 66.036 0.0
1924.8 64.6443 0.0
1999.51 64.4467 0.0
2078.61 63.8846 0.0
2160.64 64.288 0.0
2245.61 64.5703 0.0
2333.5 64.887 0.0
2424.32 65.0455 0.0
2519.53 64.5451 0.0
2619.14 63.6343 0.0
2721.68 63.7589 0.0
2828.61 63.4679 0.0
2939.94 63.1122 0.0
3054.2 62.0276 0.0
3174.32 62.1821 0.0
3298.83 61.7785 0.0
3429.2 61.503 0.0
3563.96 61.5067 0.0
3703.12 61.892 0.0
3849.61 62.2864 0.0
4000.49 62.4852 0.0
4157.23 62.4044 0.0
4319.82 61.6581 0.0
4489.75 60.7006 0.0
4665.53 59.3634 0.0
4848.63 60.1639 0.0
5039.06 59.4552 0.0
5236.82 59.3246 0.0
5443.36 59.4106 0.0
5657.23 58.8982 0.0
5878.42 58.9833 0.0
6109.86 59.4393 0.0
6350.1 58.7518 0.0
6599.12 58.6739 0.0
6858.4 58.5005 0.0
7126.46 57.0998 0.0
7407.71 56.8419 0.0
7697.75 56.8242 0.0
7999.51 56.3363 0.0
8314.45 55.6906 0.0
8641.11 55.2714 0.0
8979.49 55.1586 0.0
9332.52 54.8349 0.0
9698.73 55.0211 0.0
10079.6 55.7238 0.0
10475.1 56.0984 0.0
10886.7 55.361 0.0
11313.0 53.9391 0.0
11758.3 53.2915 0.0
12219.7 53.0922 0.0
12698.7 52.7708 0.0
13198.2 50.1799 0.0
13715.3 49.2126 0.0
14254.4 49.9352 0.0
14814.0 47.6671 0.0
15395.5 46.3371 0.0
16000.5 47.3526 0.0
16627.4 51.4246 0.0
17280.8 53.8469 0.0
17959.0 55.225 0.0
18665.0 54.432 0.0
19397.5 53.8954 0.0
19999.5 53.2684 0.0
