Frequency Spectrum for Input Signal

Data Shown:    Acheron 80 (Meyer Sound Laboratories, Inc.)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 270°  Par: 10°  

Freq [Hz]	Signal Level [dBSPL]
22.4	67.8
23	67.9
23.6	68
24	68
25	67.2
25.8	65.9
26.5	63.6
27.2	59.9
28	60
29	60.6
30	64.9
30.7	74
31.5	77.3
32.5	79.2
33.5	79.9
34.5	80.2
35.5	81.4
36.5	84.3
37.5	86.2
38.7	87.9
40	89.4
41.2	90.4
42.5	91.1
43.7	91.6
45	91.2
46.2	90.3
47.5	89.8
48.7	89.3
50	89.3
51.5	89.5
53	89.6
54.5	89.8
56	90.4
58	90.6
60	90.3
61.5	90.4
63	90.5
65	90.3
67	90.4
69	90.6
71	91
73	91
75	91.3
77.5	91.4
80	91.6
82.5	92.2
85	91.5
87.5	91.9
90	91.6
92.5	92.1
95	92.2
97.5	92.4
100	91.9
103	92.2
106	91.8
109	92
112	91.7
115	92
118	91.9
122	91.9
125	91.2
128	89.8
132	90.4
136	91
140	91.4
145	91.6
150	91.7
155	91.9
160	92.2
165	92.5
170	92.7
175	92.6
180	92.5
185	92.2
190	92.1
195	92
200	91.9
206	91.7
212	91.7
218	91.9
224	92.2
230	92.4
236	92.6
240	92.6
250	92.8
258	93
265	93.2
272	93.3
280	93.4
290	93.6
300	93.7
307	93.5
315	92.8
325	91.5
335	91.3
345	91.9
355	91.8
365	91.1
375	90.5
387	90.4
400	91.2
412	92.3
425	93.1
437	93.1
450	92.8
462	92.5
475	92.7
487	92.9
500	92.9
515	92.9
530	92.8
545	92.6
560	92.5
580	92
600	91.4
615	90.9
630	90.8
650	90.9
670	91
690	91.2
710	91.8
730	92.5
750	92.9
775	93
800	93
825	93
850	93.2
875	93.6
900	93.8
925	94
950	94
975	93.9
1000	93.7
1030	93.7
1060	93.7
1090	93.5
1120	93.6
1150	93.8
1180	93.6
1220	93.6
1250	93.7
1280	94.2
1320	94.6
1360	94.7
1400	94.9
1450	95.5
1500	95.9
1550	95.6
1600	95.2
1650	95.4
1700	95.2
1750	95
1800	95.1
1850	95.3
1900	94.7
1950	94.2
2000	94.2
2060	94.2
2120	94
2180	93.8
2240	93.4
2300	92.6
2360	92.7
2400	92.8
2500	92.4
2580	92.1
2650	92
2720	92.5
2800	92.8
2900	93.1
3000	93.1
3070	93
3150	92.5
3250	92.5
3350	92.6
3450	92.4
3550	93.3
3650	93.9
3750	93.7
3870	93.3
4000	92.9
4120	93.4
4250	93.3
4370	93.3
4500	94.1
4620	94.5
4750	94.3
4870	94.2
5000	94.6
5150	95
5300	94.8
5450	94.8
5600	94.6
5800	94
6000	93.3
6150	93.6
6300	93.6
6500	93.3
6700	93.1
6900	93
7100	92.5
7300	91.9
7500	91.8
7750	92
8000	92.4
8250	92.4
8500	92.8
8750	92.9
9000	92.6
9250	91.3
9500	91.7
9750	93
10000	94.8
10300	95.7
10600	95.8
10900	96.3
11200	94.8
11500	94.2
11800	95.6
12200	91.4
12500	91.2
12800	95.3
13200	95.3
13600	92.3
14000	93
14500	95.2
15000	96.5
15500	95.3
16000	94.6
16500	93.5
17000	90.7
17500	88
18000	82.8
18500	82.3
19000	81.2
19500	79.4
20000	75.9
20600	75.8
21200	71.9
21800	65
22400	64.6
