Frequency Spectrum for Input Signal

Data Shown:    Acheron 80 (Meyer Sound Laboratories, Inc.)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 90°  Par: 70°

Freq [Hz]	Signal Level [dBSPL]
22.4	65.9
23	65.9
23.6	66
24	66
25	65.3
25.8	63.9
26.5	61.6
27.2	58
28	58.1
29	58.6
30	62.9
30.7	72
31.5	75.3
32.5	77.2
33.5	77.8
34.5	78.2
35.5	79.3
36.5	82.2
37.5	84.1
38.7	85.8
40	87.2
41.2	88.3
42.5	89
43.7	89.5
45	89
46.2	88.2
47.5	87.6
48.7	87.1
50	87.1
51.5	87.2
53	87.3
54.5	87.5
56	88.1
58	88.2
60	88
61.5	88
63	88.1
65	87.9
67	87.9
69	88.1
71	88.4
73	88.4
75	88.6
77.5	88.6
80	88.9
82.5	89.4
85	88.6
87.5	89
90	88.6
92.5	89
95	89.1
97.5	89.3
100	88.7
103	88.9
106	88.5
109	88.6
112	88.2
115	88.4
118	88.2
122	88.2
125	86.9
128	83.7
132	84.1
136	84.5
140	84.7
145	85.1
150	85.2
155	85.5
160	86.3
165	87
170	87.7
175	88.2
180	88.4
185	88.6
190	88.6
195	88.4
200	88.2
206	87.8
212	87.7
218	87.6
224	87.3
230	87.1
236	86.6
240	86.2
250	86.4
258	86.1
265	85.8
272	85.8
280	86.2
290	86.7
300	87
307	87.3
315	87.4
325	86.9
335	86.8
345	87
355	86.8
365	86.8
375	86.8
387	86.8
400	86.9
412	86.7
425	85.8
437	84.5
450	83.7
462	82
475	79.4
487	75.9
500	73.5
515	73.7
530	73.2
545	69.9
560	68.2
580	71
600	72.2
615	73.9
630	76.1
650	77.4
670	78.2
690	78.8
710	80.4
730	82.1
750	82.7
775	82.2
800	81.4
825	81.2
850	81.7
875	82.2
900	82.7
925	82.9
950	83.1
975	83.3
1000	82.5
1030	82.4
1060	82.1
1090	81.3
1120	81.7
1150	80.8
1180	78.9
1220	78.2
1250	78
1280	77.7
1320	78.2
1360	80.4
1400	81.4
1450	80.1
1500	79.2
1550	80.2
1600	81.8
1650	82.3
1700	82.6
1750	83.4
1800	80.9
1850	79.3
1900	79.2
1950	79.6
2000	78.9
2060	78.8
2120	76.7
2180	76.3
2240	77.1
2300	75.6
2360	75.9
2400	74
2500	73.6
2580	74.5
2650	74.2
2720	74
2800	75
2900	75.1
3000	74.9
3070	74
3150	73.4
3250	73
3350	72
3450	73
3550	72.4
3650	75.2
3750	74.5
3870	73.3
4000	72.5
4120	72.8
4250	72.8
4370	73.1
4500	73.6
4620	73.2
4750	72.9
4870	71.9
5000	72.7
5150	73.3
5300	73.7
5450	73
5600	72.2
5800	72.1
6000	71.7
6150	73
6300	72.2
6500	70.7
6700	69.7
6900	70.8
7100	71.4
7300	69.6
7500	67.8
7750	69.5
8000	70.8
8250	69.9
8500	69.8
8750	70.4
9000	70.8
9250	68.3
9500	67.6
9750	69.2
10000	69.1
10300	66.6
10600	63.9
10900	62.1
11200	56.6
11500	58.7
11800	66
12200	66.6
12500	65.7
12800	64.7
13200	64.6
13600	64.1
14000	61.4
14500	55.5
15000	47.5
15500	52.9
16000	46.8
16500	52
17000	52.6
17500	51.3
18000	49.1
18500	52.2
19000	53
19500	49.9
20000	48.2
20600	41.8
21200	44.7
21800	43.1
22400	42.7
