Frequency Spectrum for Input Signal

Data Shown:    Acheron LF (Meyer Sound Laboratories, Inc.)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 180°  Par: 50°  

Freq [Hz]	Signal Level [dBSPL]
22.4	50.4
23	51.1
23.6	51.7
24	52.8
25	57.6
25.8	60.4
26.5	62.2
27.2	64.3
28	67.2
29	69
30	70.6
30.7	72.7
31.5	74.4
32.5	76
33.5	79.2
34.5	81.4
35.5	83.2
36.5	85.2
37.5	86.7
38.7	88.1
40	89.3
41.2	90.3
42.5	90.9
43.7	91.5
45	91.5
46.2	91.5
47.5	91.6
48.7	91.9
50	91.9
51.5	91.9
53	92
54.5	92.1
56	92
58	92.2
60	92.5
61.5	92.9
63	93.2
65	93.4
67	93.7
69	94
71	94.2
73	94.4
75	94.7
77.5	94.9
80	94.9
82.5	94.6
85	94.1
87.5	94.2
90	94
92.5	94.4
95	94.4
97.5	94.3
100	94.2
103	93.9
106	94.2
109	94
112	94
115	93.6
118	93.9
122	93.7
125	93.9
128	94
132	94
136	93.9
140	94.1
145	94
150	93.6
155	93.5
160	93.5
165	93.7
170	93.8
175	93.1
180	92.2
185	91.7
190	90.7
195	90.3
200	90.1
206	89.6
212	88.8
218	88.1
224	87.1
230	86.2
236	85
240	83.7
250	83.3
258	83.6
265	84.4
272	85
280	85.1
290	85.1
300	85.2
307	85.4
315	85.7
325	85.9
335	85.2
345	85.8
355	87.2
365	86.9
375	85.2
387	83.4
400	82.5
412	81.4
425	79.2
437	76.5
450	75.2
462	75.5
475	75.9
487	76.2
500	76.2
515	76.1
530	75.8
545	75.5
560	75.1
580	74.8
600	74.5
615	74.2
630	73.8
650	73.3
670	73
690	72.5
710	72.1
730	71.5
750	70.6
775	68.8
800	67
825	66
850	64.6
875	63.3
900	62.3
925	60.6
950	59.4
975	58.7
1000	58.4
1030	57.5
1060	56
1090	54.2
1120	52.3
1150	51.1
1180	49.7
1220	49.5
1250	49.6
1280	49
1320	49
1360	49.6
1400	49.9
1450	50.2
1500	50.3
1550	50.2
1600	49.8
1650	49.2
1700	49.4
1750	51.6
1800	51.7
1850	48.3
1900	41.8
1950	37.7
2000	41
2060	46.4
2120	50
2180	50.4
2240	48.3
2300	44.3
2360	39.1
2400	35.8
2500	38.3
2580	39.9
2650	38.9
2720	35.2
2800	32.5
2900	33.1
3000	33.6
3070	34.9
3150	33.9
3250	31
3350	28
3450	20.9
3550	24.4
3650	26
3750	24.7
3870	27.2
4000	26.1
4120	25.6
4250	22.6
4370	19
4500	21.3
4620	21.6
4750	17
4870	13.4
5000	13.6
5150	13.6
5300	17.2
5450	16.4
5600	16.3
5800	10.8
6000	11.5
6150	6
6300	5.9
6500	7
6700	9
6900	12.5
7100	5.6
7300	4.9
7500	7.3
7750	9.9
8000	9.4
8250	5.7
8500	6.1
8750	2.8
9000	11.7
9250	13.8
9500	10.8
9750	11
10000	7.9
10300	9.7
10600	9.6
10900	9
11200	5.1
11500	4.3
11800	3.2
12200	5.4
12500	0.1
12800	-2.6
13200	4.7
13600	2.2
14000	0.6
14500	-2.4
15000	-0.6
15500	-1.3
16000	1.2
16500	3.5
17000	2.2
17500	2.3
18000	1.3
18500	-4.8
19000	0
19500	1.3
20000	3.2
20600	1.2
21200	-1.2
21800	-3.3
22400	-3.6
