Frequency Spectrum for Input Signal

Data Shown:    Acheron LF (Meyer Sound Laboratories, Inc.)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 270°  Par: 70°

Freq [Hz]	Signal Level [dBSPL]
22.4	52.9
23	53.5
23.6	54.1
24	55.2
25	60
25.8	62.8
26.5	64.6
27.2	66.7
28	69.6
29	71.5
30	73
30.7	75.1
31.5	76.8
32.5	78.4
33.5	81.6
34.5	83.8
35.5	85.6
36.5	87.6
37.5	89.1
38.7	90.5
40	91.7
41.2	92.7
42.5	93.3
43.7	93.9
45	93.9
46.2	93.9
47.5	94
48.7	94.2
50	94.3
51.5	94.3
53	94.4
54.5	94.5
56	94.4
58	94.5
60	94.9
61.5	95.3
63	95.6
65	95.7
67	96.1
69	96.4
71	96.6
73	96.7
75	97.1
77.5	97.3
80	97.3
82.5	97
85	96.5
87.5	96.6
90	96.3
92.5	96.8
95	96.7
97.5	96.6
100	96.6
103	96.3
106	96.6
109	96.3
112	96.4
115	96
118	96.2
122	96
125	96.2
128	96.3
132	96.4
136	96.3
140	96.4
145	96.4
150	96
155	95.9
160	96
165	96.1
170	96.2
175	95.8
180	95.4
185	95.6
190	95
195	94.3
200	94.2
206	93.9
212	93.2
218	92.7
224	92.2
230	91.8
236	91.1
240	90.6
250	90.3
258	89.9
265	89.5
272	88.6
280	88.3
290	88.4
300	88.3
307	87.8
315	87.5
325	88.3
335	88.8
345	89.6
355	89.9
365	88.5
375	85.9
387	83.9
400	83.8
412	84.2
425	83.8
437	82.6
450	81.2
462	80.6
475	80.1
487	79.8
500	79.8
515	79.4
530	79.1
545	78.6
560	78
580	77.6
600	76.8
615	75.9
630	75.6
650	75.5
670	74.7
690	73.5
710	72.8
730	72.4
750	71.8
775	71
800	70
825	69.4
850	68.9
875	68
900	65.7
925	63.4
950	61
975	58.8
1000	57.3
1030	56.1
1060	54.4
1090	51.4
1120	47.1
1150	42.6
1180	38.5
1220	40.3
1250	42.1
1280	43
1320	43.8
1360	44
1400	45.5
1450	44.8
1500	44.3
1550	46.2
1600	47.9
1650	49.1
1700	48.5
1750	51.6
1800	55.2
1850	53.5
1900	49.8
1950	44.5
2000	41.8
2060	46.5
2120	50.4
2180	49.8
2240	46.1
2300	39.7
2360	31.9
2400	22.7
2500	30
2580	34.4
2650	35.1
2720	32.7
2800	34.1
2900	35.1
3000	30
3070	31
3150	33.3
3250	33.8
3350	30.8
3450	24.8
3550	24.2
3650	28.5
3750	24.9
3870	31.8
4000	35.9
4120	34.6
4250	25.9
4370	19.8
4500	21.8
4620	13.6
4750	4.2
4870	12.1
5000	10
5150	9.6
5300	10.4
5450	6.2
5600	18.1
5800	16.8
6000	7.8
6150	12.5
6300	16.6
6500	9.7
6700	6.5
6900	21.7
7100	19.2
7300	16.2
7500	10.6
7750	9
8000	18
8250	15.5
8500	14.4
8750	11
9000	11.1
9250	14.3
9500	9.2
9750	4.4
10000	8.4
10300	6.9
10600	25.5
10900	16
11200	13.5
11500	5.4
11800	0.1
12200	-0.7
12500	5.9
12800	12.3
13200	6.8
13600	-0.1
14000	-9.9
14500	-2.8
15000	9.5
15500	0.3
16000	6.6
16500	10.2
17000	6.1
17500	7.8
18000	6.6
18500	1.5
19000	2.1
19500	17.5
20000	6.8
20600	9.6
21200	7.9
21800	3.2
22400	2.9
