Frequency Spectrum for Input Signal

Data Shown:    ULTRA-X23 (Meyer Sound Laboratories, Inc.)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 0°  Par: 150°  

Freq [Hz]	Signal Level [dBSPL]
22.4	40.5
23	41.7
23.6	42.8
24	44.9
25	52
25.8	55.3
26.5	57.3
27.2	58.2
28	56.8
29	54.4
30	48
30.7	44.8
31.5	46.7
32.5	48.3
33.5	50.6
34.5	52.3
35.5	53.1
36.5	51.5
37.5	48
38.7	46.4
40	49.3
41.2	50.5
42.5	49.2
43.7	47.4
45	49.9
46.2	51.8
47.5	50.9
48.7	50.8
50	59.7
51.5	62.8
53	62.6
54.5	62.8
56	65.3
58	67.6
60	69.9
61.5	73.2
63	75.2
65	76.4
67	78
69	79.6
71	80.9
73	81.7
75	82.8
77.5	83.3
80	83.6
82.5	84.2
85	84.3
87.5	83.9
90	84.1
92.5	83.1
95	83.7
97.5	83.9
100	83.7
103	83.9
106	83.2
109	83.7
112	83.2
115	83.3
118	83.3
122	84
125	83.1
128	82.8
132	83
136	82.9
140	83
145	83.2
150	82.8
155	82.2
160	82
165	82.3
170	82.3
175	82.1
180	81.4
185	81
190	81.6
195	81.6
200	81.1
206	80.8
212	81
218	80.4
224	79.9
230	80.3
236	80.1
240	78.6
250	78
258	77.4
265	77.2
272	77
280	77
290	77.2
300	77.6
307	77.8
315	78
325	77.9
335	77.7
345	77.7
355	77.9
365	77.8
375	77.6
387	77.5
400	77.4
412	77
425	76.3
437	75.2
450	73.9
462	73.7
475	74.5
487	75.4
500	75.4
515	74.8
530	74.2
545	74.6
560	75
580	75.1
600	74.7
615	74.4
630	74.6
650	74.2
670	72.9
690	71.3
710	71.2
730	71.6
750	70.9
775	70.1
800	69.3
825	67.7
850	65.8
875	64.6
900	63.5
925	62.5
950	62.4
975	61.3
1000	58.1
1030	55.2
1060	58.1
1090	59.6
1120	57.8
1150	54.6
1180	56.6
1220	57.1
1250	58.2
1280	62.8
1320	66
1360	68
1400	68.6
1450	68.1
1500	68.2
1550	69.8
1600	68.4
1650	67.4
1700	67.9
1750	67.6
1800	68.2
1850	67.8
1900	67.6
1950	66.5
2000	66.2
2060	64.6
2120	63.3
2180	64.2
2240	64.2
2300	64.4
2360	63.5
2400	62.7
2500	63.8
2580	63.8
2650	61.3
2720	59.7
2800	59
2900	59.9
3000	60.1
3070	61
3150	62.7
3250	64.8
3350	64.4
3450	64
3550	62.8
3650	61.3
3750	59.8
3870	58.8
4000	60.4
4120	59.1
4250	56.7
4370	55.6
4500	57.1
4620	59.5
4750	60.2
4870	59.5
5000	60.2
5150	59.2
5300	60
5450	59.7
5600	57.2
5800	57.2
6000	56.7
6150	53.8
6300	49.9
6500	50.7
6700	55.7
6900	55.5
7100	53.1
7300	56.9
7500	55.3
7750	49.2
8000	52.5
8250	53.2
8500	51.5
8750	50.5
9000	53.2
9250	56.4
9500	56.6
9750	54.8
10000	54.1
10300	53.2
10600	52.2
10900	54.7
11200	52.8
11500	51.7
11800	51.5
12200	49
12500	48.2
12800	49.6
13200	51
13600	53.3
14000	53.5
14500	52
15000	48.7
15500	44.8
16000	42.8
16500	43.8
17000	42.3
17500	41.5
18000	40.5
18500	36.6
19000	27.8
19500	26.6
20000	26.2
20600	25.8
21200	25.4
21800	23
22400	22.6
