Frequency Spectrum for Input Signal

Data Shown:    ULTRA-X23 (Meyer Sound Laboratories, Inc.)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 180°  Par: 30°

Freq [Hz]	Signal Level [dBSPL]
22.4	38.6
23	39.8
23.6	40.8
24	43
25	50.2
25.8	53.5
26.5	55.5
27.2	56.4
28	55
29	52.6
30	46.3
30.7	43.2
31.5	45.3
32.5	46.8
33.5	49.2
34.5	50.9
35.5	51.8
36.5	50.2
37.5	46.7
38.7	45.2
40	48.1
41.2	49.3
42.5	48
43.7	46.2
45	48.8
46.2	50.8
47.5	49.8
48.7	49.7
50	58.7
51.5	61.8
53	61.6
54.5	61.8
56	64.4
58	66.7
60	69
61.5	72.4
63	74.3
65	75.6
67	77.1
69	78.7
71	80.1
73	80.9
75	82
77.5	82.5
80	82.8
82.5	83.4
85	83.5
87.5	83.2
90	83.3
92.5	82.4
95	82.9
97.5	83.1
100	83
103	83.2
106	82.5
109	83
112	82.5
115	82.7
118	82.7
122	83.4
125	82.6
128	82.3
132	82.4
136	82.4
140	82.5
145	82.8
150	82.4
155	81.8
160	81.6
165	81.9
170	82
175	81.9
180	81.2
185	80.9
190	81.5
195	81.6
200	81.2
206	80.9
212	81.2
218	80.8
224	80.3
230	80.8
236	81
240	80.6
250	80.4
258	80.2
265	80.3
272	80.4
280	80.7
290	81.1
300	81.5
307	81.8
315	81.9
325	81.8
335	81.6
345	81.7
355	81.6
365	81.2
375	80.5
387	80.4
400	80.9
412	81.4
425	81.4
437	80.8
450	80.2
462	80.1
475	80.6
487	81
500	81.4
515	81.6
530	81.4
545	80.8
560	80
580	79.4
600	79
615	79.2
630	80.2
650	80.6
670	80.1
690	79
710	78.8
730	79.6
750	80.2
775	80.7
800	80.4
825	78.7
850	78.2
875	79.3
900	79.8
925	80
950	80.1
975	80.1
1000	80
1030	79.9
1060	79.7
1090	79.4
1120	79.4
1150	79.5
1180	79.6
1220	79.7
1250	79.7
1280	80.6
1320	81.5
1360	82
1400	82.2
1450	82.3
1500	82
1550	81.5
1600	80.2
1650	79.7
1700	79.7
1750	79.3
1800	79.9
1850	80.7
1900	80.3
1950	80.2
2000	80.6
2060	80.4
2120	79.8
2180	78.6
2240	78
2300	78
2360	77.3
2400	77.4
2500	76.7
2580	76.7
2650	78.2
2720	78.5
2800	78.3
2900	77.8
3000	77.2
3070	77.9
3150	79.5
3250	80.8
3350	81.4
3450	81.7
3550	81.4
3650	80.9
3750	79.9
3870	80.2
4000	81.5
4120	82
4250	82
4370	81.5
4500	81.9
4620	83.4
4750	82.5
4870	82.2
5000	82.6
5150	83
5300	84.2
5450	84.1
5600	83.9
5800	83.6
6000	82.1
6150	80.2
6300	79.7
6500	79.4
6700	79.8
6900	80.2
7100	81.3
7300	81.3
7500	80.7
7750	79.6
8000	79.2
8250	80
8500	81.4
8750	82.2
9000	83.7
9250	84.9
9500	85.1
9750	84.1
10000	82.9
10300	82
10600	81.3
10900	81
11200	80
11500	79.6
11800	80.3
12200	81.2
12500	81.4
12800	80.9
13200	81.3
13600	81.5
14000	79.8
14500	78.8
15000	78.3
15500	78.1
16000	78.4
16500	74.7
17000	66.1
17500	68
18000	72.6
18500	70.8
19000	65.6
19500	60.1
20000	57.6
20600	57.7
21200	57.8
21800	55.6
22400	55.3
