Frequency Spectrum for Input Signal

Data Shown:    ULTRAX20 110H50V (Meyer Sound Laboratories, Inc.)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 180°  Par: 40°

Freq [Hz]	Signal Level [dBSPL]
22.4	53.3
23	54.3
23.6	55.2
24	55.8
25	55.9
25.8	55.6
26.5	55.4
27.2	54.9
28	53.9
29	52.5
30	50.6
30.7	53.5
31.5	55.9
32.5	57.3
33.5	56.2
34.5	53.1
35.5	46
36.5	50
37.5	52.8
38.7	54.7
40	56.1
41.2	56.7
42.5	55
43.7	53.1
45	58.2
46.2	60.8
47.5	59.6
48.7	56.6
50	62.8
51.5	65.7
53	64.6
54.5	63.3
56	65.1
58	67.1
60	69.1
61.5	72.4
63	74.4
65	75.5
67	76.8
69	78.6
71	80.3
73	80.8
75	81.4
77.5	82.1
80	82.9
82.5	83.6
85	82.8
87.5	82.8
90	83
92.5	82.4
95	83.6
97.5	83.1
100	82.8
103	82.8
106	82.2
109	82.7
112	82.6
115	82.6
118	82.5
122	82.8
125	82.7
128	82.4
132	82.6
136	82.3
140	82.1
145	82.2
150	82.1
155	81.9
160	81.7
165	81.6
170	81.2
175	81.4
180	81.4
185	81
190	81
195	81.6
200	81.3
206	80.9
212	80.9
218	80.5
224	80.4
230	80.6
236	80.3
240	80.2
250	80.2
258	80
265	79.9
272	80
280	80.2
290	80.6
300	80.9
307	81.2
315	81.4
325	81.5
335	81.6
345	81.8
355	81.7
365	81.2
375	80.2
387	79.5
400	79.7
412	80.2
425	80.5
437	80.3
450	79.8
462	79.9
475	80.6
487	81
500	80.9
515	80.8
530	80.6
545	80.1
560	79.4
580	78.7
600	78.2
615	78.3
630	79.1
650	79.7
670	79.4
690	78.6
710	78.7
730	79.4
750	79.5
775	79.3
800	79.2
825	79.1
850	78.9
875	78.3
900	76.6
925	76.9
950	78.1
975	78.4
1000	78.3
1030	78.2
1060	78
1090	77.6
1120	77.7
1150	78.1
1180	78.2
1220	77.9
1250	77.9
1280	78.6
1320	79.2
1360	79
1400	78.4
1450	78.4
1500	78.7
1550	78.8
1600	77.4
1650	76.3
1700	76.7
1750	76.7
1800	76.8
1850	77.3
1900	77.9
1950	77.7
2000	77.4
2060	77.1
2120	77.2
2180	76.4
2240	75.2
2300	75.4
2360	74.4
2400	74.3
2500	74.4
2580	72.6
2650	73.4
2720	75.7
2800	76.2
2900	76.2
3000	75.9
3070	76.4
3150	78.1
3250	79
3350	79.2
3450	79.2
3550	79.1
3650	78.9
3750	78.2
3870	78.2
4000	79.4
4120	80
4250	80.1
4370	79.7
4500	80.2
4620	81.6
4750	81.3
4870	79.8
5000	79.9
5150	81.6
5300	81.7
5450	81
5600	80.4
5800	80
6000	79.4
6150	78.2
6300	78
6500	78.2
6700	78.5
6900	79.3
7100	79.6
7300	79.6
7500	79.2
7750	78.4
8000	77.9
8250	78.4
8500	79.4
8750	80.2
9000	80.9
9250	81.2
9500	81
9750	80.3
10000	79.5
10300	79.1
10600	79.1
10900	79.8
11200	80.4
11500	80.7
11800	81
12200	80.9
12500	80.1
12800	79.2
13200	79.1
13600	79.2
14000	79.2
14500	78.1
15000	75.7
15500	74.9
16000	74.4
16500	72.7
17000	72.6
17500	75
18000	75.1
18500	71.4
19000	62.8
19500	58.5
20000	57.3
20600	57.1
21200	56.9
21800	54.5
22400	54.2
