Frequency Spectrum for Input Signal

Data Shown:    ULTRA-X22 80H x50V (Meyer Sound Laboratories, Inc.)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 180°  Par: 40°

Freq [Hz]	Signal Level [dBSPL]
22.4	51.9
23	53.3
23.6	54.5
24	55.4
25	54.8
25.8	53.2
26.5	50.2
27.2	43.5
28	44.7
29	46.6
30	47.8
30.7	47.4
31.5	46.3
32.5	45
33.5	45
34.5	45.4
35.5	46.1
36.5	48
37.5	49.4
38.7	49.9
40	49.8
41.2	50.1
42.5	51.7
43.7	53
45	53.8
46.2	54.4
47.5	53
48.7	50.2
50	55.2
51.5	58.6
53	61.8
54.5	64.1
56	66.4
58	68.1
60	69.4
61.5	71.5
63	73.3
65	75
67	76.2
69	77.7
71	79.3
73	80.3
75	81.1
77.5	81.7
80	82.4
82.5	83
85	82.7
87.5	82.5
90	82.8
92.5	81.6
95	83
97.5	82.6
100	82.3
103	82.6
106	82.1
109	82.7
112	82.2
115	82.3
118	82.2
122	82.6
125	82.4
128	81.8
132	82.3
136	82
140	82.1
145	82.2
150	82.1
155	81.6
160	81.4
165	81.5
170	81.2
175	81
180	80.5
185	80.4
190	80.6
195	80.4
200	80.1
206	80.2
212	80.2
218	80.1
224	79.8
230	79.9
236	79.8
240	79.6
250	79.5
258	79.3
265	79.3
272	79.3
280	79.6
290	80
300	80.3
307	80.6
315	80.9
325	80.9
335	80.8
345	80.8
355	80.7
365	80.1
375	79.1
387	78.5
400	78.8
412	79.1
425	79.4
437	79.2
450	78.9
462	79
475	79.5
487	79.9
500	79.9
515	79.9
530	79.9
545	79.4
560	78.6
580	77.8
600	77.4
615	77.7
630	78.6
650	78.9
670	78.4
690	77.3
710	77.6
730	78
750	77.6
775	77.3
800	76.9
825	76.6
850	76.7
875	77
900	77.3
925	77.6
950	77.3
975	76.5
1000	75.8
1030	76.4
1060	77.3
1090	77.3
1120	77.3
1150	77.4
1180	77.2
1220	77.2
1250	77.8
1280	78.4
1320	78.7
1360	78.6
1400	77.8
1450	77.8
1500	79
1550	79.7
1600	78.6
1650	78.2
1700	78.8
1750	78.5
1800	78
1850	77.9
1900	77.9
1950	77.2
2000	76.8
2060	76.7
2120	77
2180	76.5
2240	76.2
2300	76.2
2360	75.4
2400	75.4
2500	74.9
2580	73.6
2650	75
2720	75.6
2800	75.4
2900	75.3
3000	75.1
3070	75.1
3150	76
3250	76.3
3350	76.2
3450	76.2
3550	76
3650	75.4
3750	74.7
3870	75.1
4000	76.3
4120	76.8
4250	77
4370	77.4
4500	78.2
4620	78.4
4750	77.6
4870	77.1
5000	76.9
5150	76
5300	75.2
5450	75.9
5600	76.3
5800	76.5
6000	75.9
6150	75.1
6300	75.3
6500	75.8
6700	76.9
6900	77.6
7100	78.1
7300	78.2
7500	77.9
7750	77.1
8000	76.8
8250	76.4
8500	76.2
8750	75.5
9000	75.8
9250	77.4
9500	78.5
9750	78.8
10000	79.2
10300	79
10600	78.6
10900	78.2
11200	76.8
11500	75.5
11800	75.5
12200	75.6
12500	76.5
12800	77.7
13200	77.2
13600	75.4
14000	73.2
14500	72.1
15000	70.6
15500	66.8
16000	66.4
16500	70.7
17000	67.9
17500	58.7
18000	60.8
18500	61.2
19000	60.9
19500	60.7
20000	60
20600	59.7
21200	59.5
21800	57.1
22400	56.7
