Frequency Spectrum for Input Signal

Data Shown:    ULTRA-X40 110H50V (Meyer Sound Laboratories, Inc.)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 270°  Par: 110°  

Freq [Hz]	Signal Level [dBSPL]
22.4	30.3
23	29.6
23.6	28.6
24	26.9
25	27.1
25.8	28
26.5	28.9
27.2	29.6
28	29.9
29	30.1
30	30.6
30.7	33.9
31.5	36.3
32.5	38.1
33.5	39.2
34.5	40.2
35.5	42.4
36.5	46.6
37.5	49
38.7	51.6
40	53.8
41.2	55.7
42.5	58
43.7	59.8
45	61.9
46.2	63.6
47.5	65.6
48.7	67.4
50	70.5
51.5	72.8
53	75
54.5	76.9
56	78.9
58	80.6
60	82.2
61.5	83.9
63	85.2
65	86.2
67	86.7
69	87.1
71	87.5
73	87.5
75	87.8
77.5	88.2
80	88.5
82.5	88.7
85	88.6
87.5	89.3
90	89.3
92.5	89.5
95	89.7
97.5	89.5
100	90
103	90
106	90.1
109	89.7
112	89.7
115	89.6
118	89.6
122	89.6
125	90.3
128	90.8
132	90.8
136	90.6
140	90.2
145	89.8
150	89.4
155	89.1
160	88.9
165	88.8
170	88.6
175	88.4
180	88.4
185	88.6
190	88.7
195	88.7
200	88.6
206	88.4
212	87.8
218	87.3
224	87
230	86.2
236	85.5
240	84.8
250	84.2
258	84.1
265	84.7
272	84.9
280	85.4
290	86.2
300	86.7
307	87
315	86.6
325	85.4
335	84.2
345	83.2
355	82.5
365	82.1
375	82
387	82
400	81.9
412	81.8
425	80.8
437	78
450	70.7
462	70.3
475	75.9
487	79.3
500	81.3
515	83.6
530	83.7
545	80.4
560	78.4
580	77.1
600	76.7
615	78.3
630	80.3
650	80.5
670	78.4
690	77
710	76.2
730	73.4
750	73
775	77.7
800	78.4
825	77.4
850	76.9
875	77.2
900	78
925	79.4
950	80.9
975	79.6
1000	78.1
1030	78.2
1060	78.7
1090	77.4
1120	75.6
1150	73.9
1180	72.6
1220	72
1250	68.8
1280	68.7
1320	68.5
1360	71.6
1400	71.8
1450	68.8
1500	68.6
1550	70.6
1600	72.7
1650	69.9
1700	68.4
1750	69.6
1800	70.4
1850	70.6
1900	69.6
1950	67.9
2000	63
2060	65.2
2120	68.8
2180	70.8
2240	68.2
2300	64.3
2360	68.9
2400	69.1
2500	67.8
2580	67.2
2650	63.8
2720	63.2
2800	62.7
2900	66.6
3000	69.2
3070	66.1
3150	64.2
3250	61.8
3350	58.8
3450	55.6
3550	62.9
3650	63.6
3750	62.8
3870	58.9
4000	59.3
4120	56
4250	48
4370	44.1
4500	42.4
4620	47.4
4750	45.8
4870	46.6
5000	54.4
5150	55
5300	51
5450	45.8
5600	49.2
5800	52.9
6000	51.7
6150	43.9
6300	52
6500	53.3
6700	49.3
6900	47.1
7100	53.7
7300	52.8
7500	48.2
7750	52.5
8000	53.1
8250	46.8
8500	44.6
8750	48.8
9000	46.9
9250	46.3
9500	44.9
9750	45.1
10000	48.3
10300	45.5
10600	42.5
10900	41.9
11200	38
11500	37
11800	34.5
12200	36
12500	31.4
12800	31.8
13200	32.2
13600	31.2
14000	30.9
14500	27.8
15000	26.3
15500	22.9
16000	22.4
16500	23
17000	24.9
17500	22.9
18000	20.5
18500	23.3
19000	22.1
19500	16.4
20000	16.2
20600	11.6
21200	-2
21800	-3.8
22400	-4.2
