Frequency Spectrum for Input Signal

Data Shown:    ULTRA-X40 110H50V (Meyer Sound Laboratories, Inc.)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 180°  Par: 140°  

Freq [Hz]	Signal Level [dBSPL]
22.4	34.9
23	34.3
23.6	33.5
24	32.4
25	32.7
25.8	33.5
26.5	34.1
27.2	34.6
28	34.6
29	34.6
30	34.9
30.7	37.9
31.5	40.1
32.5	41.6
33.5	42.5
34.5	43.3
35.5	45.2
36.5	49.2
37.5	51.5
38.7	53.8
40	55.8
41.2	57.5
42.5	59.6
43.7	61.2
45	63.1
46.2	64.7
47.5	66.5
48.7	68.1
50	71
51.5	73.2
53	75.2
54.5	76.9
56	78.8
58	80.4
60	81.8
61.5	83.4
63	84.6
65	85.4
67	85.8
69	86.1
71	86.4
73	86.3
75	86.5
77.5	86.8
80	87
82.5	87.2
85	87.1
87.5	87.7
90	87.6
92.5	87.8
95	87.9
97.5	87.6
100	88.2
103	88
106	88.1
109	87.7
112	87.6
115	87.5
118	87.4
122	87.4
125	87.7
128	88.2
132	88.1
136	87.8
140	87.6
145	87.2
150	86.9
155	86.6
160	86.4
165	86.2
170	85.9
175	85.7
180	85.6
185	85.8
190	86
195	86.2
200	86.1
206	85.8
212	84.9
218	83.9
224	84.4
230	84.3
236	83.9
240	83.4
250	83.1
258	82.9
265	82.8
272	82.6
280	82.6
290	82.8
300	82.8
307	82.5
315	82.1
325	81.9
335	81.5
345	80.9
355	80.4
365	80.2
375	80.5
387	81.2
400	81.6
412	81.5
425	81.1
437	80.3
450	78.5
462	78.3
475	77
487	75
500	73.8
515	71.7
530	64.7
545	70.5
560	72
580	71.3
600	68.6
615	64.5
630	66.3
650	69.6
670	72.2
690	72.3
710	70.5
730	68.8
750	69.1
775	71.8
800	74
825	75.3
850	75.6
875	75.2
900	75.2
925	76
950	76.1
975	74.7
1000	73.9
1030	74.8
1060	74.3
1090	74.1
1120	75.3
1150	75.1
1180	74
1220	72.6
1250	73.1
1280	73.7
1320	73.3
1360	74.6
1400	73
1450	69.7
1500	67.2
1550	63.2
1600	67
1650	63
1700	64.5
1750	66.9
1800	68.7
1850	69.6
1900	69.8
1950	70.7
2000	69.7
2060	69.8
2120	69.6
2180	69.4
2240	68.4
2300	64.9
2360	64.8
2400	67.3
2500	66.8
2580	64.7
2650	67.6
2720	68.1
2800	69
2900	69.5
3000	70.6
3070	70.3
3150	69.1
3250	67
3350	64.6
3450	66.5
3550	65.5
3650	64.6
3750	63.9
3870	64.9
4000	62.8
4120	62
4250	61.1
4370	61.7
4500	60.5
4620	62.2
4750	64.5
4870	63.6
5000	60.4
5150	58.3
5300	58.2
5450	59.7
5600	62
5800	61.6
6000	60
6150	60.8
6300	61.3
6500	62.2
6700	62.4
6900	63.2
7100	62.8
7300	61.2
7500	60.5
7750	60.5
8000	61
8250	59.7
8500	58.2
8750	58.6
9000	59.4
9250	58.1
9500	56.6
9750	57
10000	58.1
10300	56.7
10600	56.1
10900	56.4
11200	54.3
11500	53.3
11800	52.9
12200	53.9
12500	56.2
12800	56
13200	53.8
13600	51.3
14000	52.8
14500	52.9
15000	50.4
15500	50.6
16000	50.5
16500	49.4
17000	48.3
17500	45.8
18000	43.7
18500	40.7
19000	37.8
19500	36.4
20000	27.1
20600	17
21200	20.2
21800	15.7
22400	15.4
