Freq[Hz]     dBSPL  Phase[Deg]
5.00000    -12.941    -0.553
5.07273    -12.858     1.530
5.14651    -12.794     3.748
5.22137    -12.784     6.347
5.29732    -12.774     8.945
5.37437    -12.764    11.544
5.45254    -12.753    14.142
5.53185    -12.727    17.239
5.61231    -12.684    20.864
5.69394    -12.642    24.488
5.77676    -12.599    28.113
5.86079    -12.554    31.743
5.94604    -12.354    35.696
6.03252    -12.154    39.649
6.12027    -11.955    43.602
6.20929    -11.755    47.555
6.29961    -11.507    50.900
6.39124    -11.247    54.110
6.48420    -10.988    57.321
6.57851    -10.728    60.531
6.67420    -10.573    63.526
6.77128    -10.435    66.486
6.86977    -10.296    69.445
6.96969    -10.172    72.544
7.07107    -10.158    76.703
7.17392    -10.143    80.862
7.27827    -10.128    85.021
7.38413    -10.020    90.221
7.49154     -9.839    96.225
7.60050     -9.658   102.229
7.71105     -9.416   108.145
7.82321     -8.902   113.673
7.93701     -8.388   119.200
8.05245     -7.875   124.728
8.16958     -7.388   128.352
8.28841     -6.902   131.904
8.40896     -6.416   135.456
8.53128     -6.273   139.103
8.65537     -6.173   142.762
8.78126     -6.073   146.420
8.90899     -6.203   154.812
9.03857     -6.349   163.514
9.17004     -6.348   172.739
9.30342     -5.186  -173.869
9.43874     -4.024  -160.478
9.57603     -2.492  -150.247
9.71532     -0.394  -144.845
9.85663      1.705  -139.442
10.0000      3.505  -138.683
10.1455      5.223  -139.217
10.2930      6.817  -140.436
10.4427      8.065  -143.567
10.5946      9.312  -146.699
10.7487     10.263  -150.974
10.9051     11.154  -155.478
11.0637     11.892  -160.418
11.2246     12.469  -165.817
11.3879     12.981  -171.367
11.5535     13.258  -177.464
11.7216     13.530   176.429
11.8921     13.503   169.700
12.0650     13.477   162.972
12.2405     13.162   155.657
12.4186     12.810   148.266
12.5992     12.154   140.143
12.7825     11.432   131.857
12.9684     10.359   122.341
13.1570      9.206   112.538
13.3484      7.658    99.949
13.5426      6.045    86.907
13.7395      4.376    67.179
13.9394      2.873    46.575
14.1421      2.643    21.263
14.3478      2.864    -1.728
14.5565      4.056   -19.729
14.7683      5.310   -33.343
14.9831      6.614   -43.568
15.2010      7.746   -50.720
15.4221      8.808   -57.087
15.6464      9.687   -62.307
15.8740     10.415   -67.113
16.1049     11.023   -71.587
16.3392     11.333   -74.868
16.5768     11.539   -77.022
16.8179     11.610   -77.602
17.0626     11.811   -74.665
17.3107     12.320   -70.503
17.5625     13.271   -65.165
17.8180     14.853   -62.694
18.0771     16.513   -62.730
18.3401     18.173   -65.325
18.6068     19.561   -70.577
18.8775     20.632   -76.696
19.1521     21.414   -82.928
19.4306     21.898   -88.697
19.7133     22.040   -92.380
20.0000     22.107   -92.883
20.2909     22.397   -90.474
20.5860     23.137   -86.175
20.8855     24.497   -82.148
21.1893     26.267   -81.883
21.4975     27.961   -84.713
21.8102     29.438   -89.475
22.1274     30.642   -95.193
22.4492     31.582  -100.969
22.7758     32.315  -106.071
23.1071     32.938  -110.019
23.4432     33.582  -112.737
23.7841     34.372  -114.733
