Freq[Hz]     dBSPL  Phase[Deg]
5.00000    -14.129    84.193
5.07273    -13.994    87.500
5.14651    -13.870    91.093
5.22137    -13.775    95.479
5.29732    -13.679    99.865
5.37437    -13.583   104.251
5.45254    -13.488   108.637
5.53185    -13.243   112.756
5.61231    -12.840   116.592
5.69394    -12.438   120.428
5.77676    -12.035   124.264
5.86079    -11.640   128.079
5.94604    -11.693   130.685
6.03252    -11.745   133.291
6.12027    -11.798   135.897
6.20929    -11.850   138.503
6.29961    -11.659   145.734
6.39124    -11.414   153.991
6.48420    -11.168   162.247
6.57851    -10.923   170.504
6.67420    -10.253   173.130
6.77128     -9.513   174.841
6.86977     -8.773   176.553
6.96969     -8.194   178.555
7.07107     -8.836  -177.233
7.17392     -9.477  -173.020
7.27827    -10.119  -168.808
7.38413     -9.733  -160.462
7.49154     -8.553  -148.923
7.60050     -7.372  -137.383
7.71105     -6.309  -128.368
7.82321     -5.756  -130.439
7.93701     -5.203  -132.510
8.05245     -4.650  -134.581
8.16958     -5.627  -121.946
8.28841     -6.661  -108.761
8.40896     -7.695   -95.577
8.53128     -5.572   -87.788
8.65537     -3.042   -80.696
8.78126     -0.512   -73.603
8.90899     -0.610   -75.840
9.03857     -0.882   -78.688
9.17004     -1.025   -78.238
9.30342     -0.154   -51.535
9.43874      0.717   -24.831
9.57603      2.526    -9.329
9.71532      5.767   -10.940
9.85663      9.008   -12.551
10.0000     10.585   -14.839
10.1455     11.699   -17.316
10.2930     12.914   -18.422
10.4427     14.412   -15.701
10.5946     15.909   -12.980
10.7487     17.774   -16.817
10.9051     19.711   -21.963
11.0637     21.145   -29.726
11.2246     22.048   -40.256
11.3879     22.661   -50.600
11.5535     22.221   -60.265
11.7216     21.763   -69.752
11.8921     20.221   -68.850
12.0650     18.680   -67.949
12.2405     19.064   -56.918
12.4186     19.697   -44.581
12.5992     21.185   -43.259
12.7825     22.864   -44.379
12.9684     23.838   -49.510
13.1570     24.649   -55.574
13.3484     24.942   -62.159
13.5426     25.151   -68.827
13.7395     24.765   -75.621
13.9394     24.245   -82.088
14.1421     22.867   -86.038
14.3478     21.331   -85.638
14.5565     19.451   -75.881
14.7683     19.341   -62.219
14.9831     20.597   -45.541
15.2010     22.543   -43.108
15.4221     24.426   -44.312
15.6464     25.522   -50.809
15.8740     26.127   -57.883
16.1049     26.342   -65.419
16.3392     25.855   -70.793
16.5768     25.247   -73.925
16.8179     24.504   -73.917
17.0626     24.293   -70.989
17.3107     24.308   -68.527
17.5625     24.563   -67.345
17.8180     24.684   -66.847
18.0771     24.874   -65.878
18.3401     25.165   -64.617
18.6068     25.670   -64.965
18.8775     25.976   -66.777
19.1521     26.078   -68.568
19.4306     25.985   -69.380
19.7133     25.986   -68.238
20.0000     26.106   -67.146
20.2909     26.227   -65.625
20.5860     26.404   -63.158
20.8855     26.847   -59.323
21.1893     27.783   -57.601
21.4975     28.552   -58.944
21.8102     28.935   -60.509
22.1274     29.141   -59.883
22.4492     29.605   -57.010
22.7758     30.586   -54.760
23.1071     31.704   -56.108
23.4432     32.452   -59.581
23.7841     32.839   -62.092
24.1301     33.222   -63.023
24.4811     33.706   -63.685
24.8372     34.173   -64.410
25.1984     34.631   -64.349
25.5649     35.278   -63.592
25.9368     36.155   -63.825
26.3141     37.010   -65.884
26.6968     37.654   -68.478
27.0851     38.219   -70.260
27.4791     38.887   -71.989
