Freq[Hz]     dBSPL  Phase[Deg]
5.00000    -19.663    81.860
5.07273    -19.509    85.163
5.14651    -19.364    88.751
5.22137    -19.248    93.132
5.29732    -19.132    97.513
5.37437    -19.016   101.894
5.45254    -18.900   106.275
5.53185    -18.635   110.389
5.61231    -18.212   114.220
5.69394    -17.789   118.051
5.77676    -17.366   121.881
5.86079    -16.951   125.691
5.94604    -16.983   128.292
6.03252    -17.015   130.893
6.12027    -17.047   133.493
6.20929    -17.079   136.094
6.29961    -16.868   143.319
6.39124    -16.602   151.569
6.48420    -16.336   159.820
6.57851    -16.071   168.070
6.67420    -15.380   170.690
6.77128    -14.620   172.395
6.86977    -13.860   174.101
6.96969    -13.260   176.096
7.07107    -13.882  -179.698
7.17392    -14.503  -175.492
7.27827    -15.124  -171.286
7.38413    -14.717  -162.947
7.49154    -13.517  -151.414
7.60050    -12.316  -139.882
7.71105    -11.232  -130.874
7.82321    -10.659  -132.952
7.93701    -10.086  -135.030
8.05245     -9.512  -137.108
8.16958    -10.469  -124.481
8.28841    -11.482  -111.304
8.40896    -12.496   -98.127
8.53128    -10.353   -90.346
8.65537     -7.802   -83.262
8.78126     -5.252   -76.178
8.90899     -5.330   -78.423
9.03857     -5.581   -81.279
9.17004     -5.704   -80.837
9.30342     -4.813   -54.142
9.43874     -3.921   -27.447
9.57603     -2.092   -11.954
9.71532      1.169   -13.574
9.85663      4.431   -15.194
10.0000      6.028   -17.491
10.1455      7.162   -19.977
10.2930      8.397   -21.093
10.4427      9.916   -18.382
10.5946     11.434   -15.670
10.7487     13.319   -19.517
10.9051     15.276   -24.673
11.0637     16.731   -32.446
11.2246     17.654   -42.986
11.3879     18.287   -53.341
11.5535     17.868   -63.016
11.7216     17.430   -72.514
11.8921     15.909   -71.623
12.0650     14.387   -70.733
12.2405     14.792   -59.713
12.4186     15.445   -47.388
12.5992     16.954   -46.077
12.7825     18.653   -47.209
12.9684     19.648   -52.351
13.1570     20.479   -58.428
13.3484     20.792   -65.024
13.5426     21.021   -71.706
13.7395     20.656   -78.512
13.9394     20.156   -84.992
14.1421     18.799   -88.955
14.3478     17.283   -88.568
14.5565     15.424   -78.824
14.7683     15.334   -65.176
14.9831     16.610   -48.512
15.2010     18.576   -46.093
15.4221     20.480   -47.310
15.6464     21.596   -53.821
15.8740     22.222   -60.910
16.1049     22.457   -68.461
16.3392     21.990   -73.850
16.5768     21.403   -76.997
16.8179     20.680   -77.004
17.0626     20.489   -74.093
17.3107     20.525   -71.646
17.5625     20.800   -70.480
17.8180     20.942   -69.999
18.0771     21.152   -69.046
18.3401     21.464   -67.802
18.6068     21.989   -68.167
18.8775     22.315   -69.997
19.1521     22.437   -71.805
19.4306     22.364   -72.634
19.7133     22.386   -71.511
20.0000     22.527   -70.437
20.2909     22.668   -68.934
20.5860     22.865   -66.487
20.8855     23.328   -62.670
21.1893     24.285   -60.968
21.4975     25.075   -62.331
21.8102     25.478   -63.916
22.1274     25.704   -63.310
22.4492     26.188   -60.457
22.7758     27.190   -58.228
23.1071     28.328   -59.598
