Freq[Hz]     dBSPL  Phase[Deg]
5.00000    -17.328    83.230
5.07273    -17.185    86.534
5.14651    -17.052    90.123
5.22137    -16.947    94.505
5.29732    -16.842    98.887
5.37437    -16.737   103.269
5.45254    -16.632   107.651
5.53185    -16.378   111.766
5.61231    -15.967   115.598
5.69394    -15.555   119.430
5.77676    -15.144   123.261
5.86079    -14.739   127.072
5.94604    -14.783   129.674
6.03252    -14.826   132.276
6.12027    -14.870   134.878
6.20929    -14.913   137.479
6.29961    -14.713   144.705
6.39124    -14.458   152.957
6.48420    -14.204   161.209
6.57851    -13.949   169.461
6.67420    -13.270   172.082
6.77128    -12.521   173.788
6.86977    -11.772   175.494
6.96969    -11.184   177.491
7.07107    -11.816  -178.301
7.17392    -12.449  -174.094
7.27827    -13.081  -169.887
7.38413    -12.686  -161.546
7.49154    -11.497  -150.013
7.60050    -10.307  -138.479
7.71105     -9.234  -129.470
7.82321     -8.672  -131.546
7.93701     -8.110  -133.623
8.05245     -7.548  -135.700
8.16958     -8.516  -123.070
8.28841     -9.541  -109.892
8.40896    -10.566   -96.714
8.53128     -8.434   -88.931
8.65537     -5.894   -81.845
8.78126     -3.355   -74.760
8.90899     -3.445   -77.003
9.03857     -3.707   -79.858
9.17004     -3.841   -79.414
9.30342     -2.961   -52.717
9.43874     -2.081   -26.021
9.57603     -0.263   -10.526
9.71532      2.987   -12.144
9.85663      6.238   -13.762
10.0000      7.824   -16.058
10.1455      8.947   -18.542
10.2930     10.171   -19.656
10.4427     11.677   -16.942
10.5946     13.184   -14.229
10.7487     15.058   -18.074
10.9051     17.004   -23.228
11.0637     18.448   -30.999
11.2246     19.359   -41.538
11.3879     19.982   -51.890
11.5535     19.551   -61.563
11.7216     19.102   -71.059
11.8921     17.569   -70.166
12.0650     16.037   -69.273
12.2405     16.430   -58.251
12.4186     17.072   -45.924
12.5992     18.570   -44.611
12.7825     20.257   -45.740
12.9684     21.241   -50.880
13.1570     22.061   -56.954
13.3484     22.363   -63.549
13.5426     22.581   -70.228
13.7395     22.205   -77.031
13.9394     21.693   -83.508
