Frequency Spectrum for Input Signal

Data Shown:    KH 120 A (Georg Neumann GmbH)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 90°  Par: 120°  

Freq [Hz]	Signal Level [dBSPL]
22.4	11.3
23	11.4
23.6	13.4
24	21.7
25	26.2
25.8	29
26.5	31.8
27.2	37.5
28	41.2
29	43.8
30	43.6
30.7	41.7
31.5	40.9
32.5	41
33.5	45.3
34.5	48.8
35.5	51.2
36.5	50.6
37.5	49.5
38.7	52.2
40	58.2
41.2	61.2
42.5	61
43.7	58.8
45	57.5
46.2	62.3
47.5	65
48.7	64.7
50	65.8
51.5	67.8
53	68.9
54.5	69.2
56	69.7
58	70.3
60	70.8
61.5	71
63	71
65	71
67	71
69	71
71	71
73	71
75	71
77.5	71.2
80	71.5
82.5	71.8
85	72.1
87.5	72.4
90	72.6
92.5	72.3
95	71.8
97.5	71.6
100	71.3
103	71.3
106	71.3
109	71.1
112	71.2
115	71
118	71.1
122	71.2
125	71.1
128	71.1
132	71.2
136	71.5
140	71.5
145	71.4
150	71.2
155	71
160	70.9
165	70.9
170	70.8
175	70.6
180	70.6
185	70.5
190	70.9
195	71.5
200	71.6
206	71.3
212	70.8
218	70.2
224	69.6
230	69.3
236	69.1
240	69.3
250	69.4
258	69.7
265	70
272	70.1
280	70.1
290	70.5
300	70.3
307	70.4
315	70.6
325	70.8
335	70.8
345	70.1
355	69.5
365	69.3
375	69.4
387	68.9
400	68.2
412	67.2
425	66.6
437	66.7
450	67.2
462	67.7
475	68.3
487	68.6
500	68.1
515	67.2
530	66.7
545	66.4
560	64.9
580	63.4
600	63.4
615	65.5
630	67.3
650	67.3
670	66.5
690	65.6
710	65.2
730	65.4
750	64.9
775	64.1
800	63.6
825	63.9
850	63.9
875	63.7
900	61.9
925	60.9
950	62.2
975	62.4
1000	62
1030	62.3
1060	61.3
1090	62.4
1120	62.3
1150	61.5
1180	62.6
1220	62.1
1250	62.8
1280	61
1320	62.2
1360	61
1400	59.3
1450	60
1500	59.8
1550	56.8
1600	55.3
1650	52.6
1700	55.4
1750	55.4
1800	53.4
1850	54.4
1900	55.2
1950	54.2
2000	53.7
2060	54.3
2120	57.2
2180	59.2
2240	58.3
2300	57.4
2360	59.3
2400	55.3
2500	55.4
2580	51.3
2650	55.6
2720	57.4
2800	57.4
2900	56.6
3000	55.6
3070	56.4
3150	56.9
3250	56.4
3350	53.8
3450	54.3
3550	54.6
3650	51.6
3750	51
3870	50.8
4000	53.9
4120	53.3
4250	52.8
4370	51.6
4500	51.3
4620	52.3
4750	53
4870	53.5
5000	53
5150	49.5
5300	52
5450	50.4
5600	50.7
5800	51.4
6000	49.9
6150	51.5
6300	51.7
6500	51.8
6700	52
6900	49.7
7100	50.2
7300	50.4
7500	50.6
7750	46.8
8000	48.8
8250	50.3
8500	48.4
8750	48.4
9000	51.1
9250	49.5
9500	48.5
9750	48.6
10000	47.3
10300	47.1
10600	47.3
10900	47
11200	46.7
11500	46.2
11800	45.8
12200	45.8
12500	46.1
12800	46.6
13200	46.6
13600	46.8
14000	46.3
14500	45.7
15000	45.7
15500	44.7
16000	45
16500	43.5
17000	43.4
17500	43.2
18000	43.6
18500	43.2
19000	43.1
19500	42.1
20000	40.3
20600	36
21200	32.4
21800	32
22400	33.9
