Frequency Spectrum for Input Signal

Data Shown:    KH420 (Georg Neumann GmbH)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 180°  Par: 0°  

Freq [Hz]	Signal Level [dBSPL]
22.4	65.2
23	66.8
23.6	69.8
24	74.7
25	76.6
25.8	78
26.5	78.9
27.2	78.7
28	79
29	79.4
30	80.2
30.7	81.2
31.5	81.9
32.5	82.4
33.5	82.7
34.5	82.9
35.5	83.2
36.5	83.3
37.5	83.2
38.7	83
40	82.7
41.2	82.4
42.5	82.5
43.7	82.9
45	83.4
46.2	83.3
47.5	83.1
48.7	82.6
50	82.5
51.5	82.7
53	82.6
54.5	82
56	81.6
58	81.7
60	81.8
61.5	81.8
63	81.9
65	82
67	82
69	82.1
71	82.4
73	82.5
75	82.6
77.5	82.6
80	82.6
82.5	82.7
85	82.7
87.5	82.6
90	82.5
92.5	82.5
95	82.4
97.5	82.4
100	82.3
103	82.2
106	82.2
109	82.2
112	82.2
115	82.3
118	82.3
122	82.3
125	82.3
128	82.4
132	82.4
136	82.5
140	82.5
145	82.4
150	82.6
155	82.6
160	82.6
165	82.7
170	82.7
175	82.8
180	82.8
185	82.8
190	82.8
195	83
200	82.9
206	83
212	83
218	83
224	83
230	82.9
236	82.9
240	82.9
250	82.7
258	82.7
265	82.9
272	82.9
280	82.9
290	82.9
300	82.9
307	83
315	83
325	83.2
335	83.1
345	83
355	83
365	83
375	83.1
387	83.1
400	83.2
412	83.2
425	83.1
437	83
450	82.9
462	82.6
475	82.4
487	82.3
500	82.2
515	82.2
530	82.3
545	82.4
560	82.4
580	82.4
600	82.5
615	82.6
630	82.7
650	83
670	83.1
690	83.2
710	83.4
730	83.6
750	83.6
775	83.5
800	83.5
825	83.5
850	83.6
875	83.8
900	83.8
925	83.9
950	83.8
975	83.8
1000	83.8
1030	83.7
1060	83.5
1090	83.7
1120	83.7
1150	83.8
1180	84
1220	83.7
1250	83.4
1280	83
1320	82.8
1360	82.7
1400	82.5
1450	82.7
1500	82.6
1550	82.4
1600	82.8
1650	82.8
1700	82.8
1750	82.7
1800	82.3
1850	82.6
1900	82.6
1950	82.5
2000	82.6
2060	82.8
2120	82.6
2180	82
2240	82.3
2300	81.8
2360	81.8
2400	81.7
2500	81.6
2580	81.9
2650	81.9
2720	82.3
2800	82.6
2900	82.4
3000	82.9
3070	82.7
3150	82.5
3250	82.6
3350	82.8
3450	83.2
3550	83.4
3650	83.6
3750	83.5
3870	82.8
4000	82.6
4120	82.4
4250	82.6
4370	82.2
4500	81.7
4620	81.1
4750	81.6
4870	82.8
5000	83.7
5150	83.6
5300	83.1
5450	82.9
5600	83.1
5800	83.3
6000	83.1
6150	82.4
6300	81.3
6500	81
6700	80.9
6900	81.6
7100	82.4
7300	82.9
7500	81.9
7750	81.3
8000	81.7
8250	82.4
8500	82.5
8750	82.2
9000	81.9
9250	82.4
9500	82.8
9750	82.5
10000	82.1
10300	81.8
10600	81.9
10900	81.5
11200	82.4
11500	82.8
11800	82
12200	80.2
12500	80.4
12800	81.3
13200	81.5
13600	79.7
14000	78.2
14500	79
15000	80.3
15500	79.2
16000	78.2
16500	79.7
17000	80.6
17500	79.2
18000	79.1
18500	79.7
19000	79.8
19500	79
20000	78.8
20600	77.4
21200	76.2
21800	72.6
22400	68.8
