Freq[Hz]     dBSPL  Phase[Deg]
5.00000     49.462    12.241
5.07273     49.680    12.076
5.14651     49.898    11.913
5.22137     50.116    11.753
5.29732     50.322    11.585
5.37437     50.520    11.414
5.45254     50.719    11.245
5.53185     50.921    11.072
5.61231     51.130    10.893
5.69394     51.338    10.716
5.77676     51.550    10.536
5.86079     51.769    10.348
5.94604     51.988    10.164
6.03252     52.197     9.975
6.12027     52.391     9.780
6.20929     52.584     9.588
6.29961     52.782     9.390
6.39124     52.984     9.187
6.48420     53.186     8.987
6.57851     53.396     8.777
6.67420     53.607     8.568
6.77128     53.811     8.358
6.86977     53.990     8.139
6.96969     54.170     7.923
7.07107     54.384     7.699
7.17392     54.612     7.473
7.27827     54.831     7.247
7.38413     55.025     7.012
7.49154     55.219     6.780
7.60050     55.420     6.538
7.71105     55.621     6.298
7.82321     55.828     6.051
7.93701     56.036     5.802
8.05245     56.248     5.549
8.16958     56.464     5.292
8.28841     56.682     5.033
8.40896     56.905     4.767
8.53128     57.118     4.501
8.65537     57.298     4.227
8.78126     57.480     3.953
8.90899     57.666     3.671
9.03857     57.870     3.389
9.17004     58.115     3.099
9.30342     58.341     2.808
9.43874     58.538     2.512
9.57603     58.739     2.210
9.71532     58.943     1.906
9.85663     59.151     1.595
10.0000     59.360     1.284
10.1455     59.575     0.962
10.2930     59.775     0.640
10.4427     59.936     0.311
10.5946     60.138    -0.022
10.7487     60.364    -0.357
10.9051     60.597    -0.702
11.0637     60.806    -1.050
11.2246     60.980    -1.401
11.3879     61.158    -1.761
11.5535     61.359    -2.123
11.7216     61.609    -2.490
11.8921     61.806    -2.865
12.0650     61.995    -3.244
12.2405     62.186    -3.627
12.4186     62.382    -4.020
12.5992     62.580    -4.416
12.7825     62.780    -4.816
12.9684     62.985    -5.223
13.1570     63.193    -5.638
13.3484     63.403    -6.058
13.5426     63.617    -6.482
13.7395     63.835    -6.913
13.9394     64.056    -7.353
14.1421     64.281    -7.798
14.3478     64.469    -8.248
14.5565     64.640    -8.705
14.7683     64.875    -9.169
14.9831     65.114    -9.640
15.2010     65.277   -10.119
15.4221     65.504   -10.604
15.6464     65.696   -11.096
15.8740     65.909   -11.595
16.1049     66.125   -12.101
16.3392     66.329   -12.614
16.5768     66.565   -13.135
16.8179     66.739   -13.664
17.0626     66.916   -14.200
17.3107     67.120   -14.745
17.5625     67.378   -15.297
17.8180     67.564   -15.857
18.0771     67.752   -16.426
18.3401     67.944   -17.002
18.6068     68.138   -17.587
18.8775     68.336   -18.181
19.1521     68.598   -18.783
