Freq[Hz]     dBSPL  Phase[Deg]
5.00000     48.040    96.520
5.07273     48.255    96.137
5.14651     48.470    95.752
5.22137     48.685    95.367
5.29732     48.887    94.971
5.37437     49.082    94.568
5.45254     49.278    94.164
5.53185     49.477    93.753
5.61231     49.682    93.331
5.69394     49.888    92.908
5.77676     50.096    92.480
5.86079     50.312    92.039
5.94604     50.527    91.598
6.03252     50.733    91.150
6.12027     50.923    90.691
6.20929     51.113    90.231
6.29961     51.308    89.761
6.39124     51.507    89.283
6.48420     51.706    88.803
6.57851     51.912    88.310
6.67420     52.119    87.812
6.77128     52.320    87.311
6.86977     52.497    86.795
6.96969     52.673    86.279
7.07107     52.883    85.750
7.17392     53.108    85.215
7.27827     53.324    84.675
7.38413     53.515    84.121
7.49154     53.706    83.567
7.60050     53.903    82.997
7.71105     54.101    82.424
7.82321     54.304    81.840
7.93701     54.510    81.248
8.05245     54.718    80.649
8.16958     54.931    80.039
8.28841     55.146    79.423
8.40896     55.365    78.795
8.53128     55.574    78.161
8.65537     55.752    77.514
8.78126     55.930    76.861
8.90899     56.113    76.195
9.03857     56.313    75.523
9.17004     56.555    74.838
9.30342     56.778    74.146
9.43874     56.972    73.442
9.57603     57.170    72.728
9.71532     57.370    72.005
9.85663     57.575    71.269
10.0000     57.781    70.527
10.1455     57.993    69.767
10.2930     58.189    69.001
10.4427     58.346    68.222
10.5946     58.545    67.432
10.7487     58.768    66.634
10.9051     58.998    65.818
11.0637     59.203    64.994
11.2246     59.374    64.158
11.3879     59.548    63.308
11.5535     59.746    62.448
11.7216     59.993    61.575
11.8921     60.187    60.687
12.0650     60.372    59.788
12.2405     60.560    58.877
12.4186     60.753    57.949
12.5992     60.947    57.010
12.7825     61.145    56.059
12.9684     61.346    55.092
13.1570     61.550    54.110
13.3484     61.758    53.115
13.5426     61.969    52.106
13.7395     62.183    51.083
13.9394     62.401    50.042
14.1421     62.622    48.988
14.3478     62.808    47.918
14.5565     62.975    46.834
14.7683     63.207    45.734
14.9831     63.442    44.617
15.2010     63.602    43.482
15.4221     63.826    42.332
15.6464     64.014    41.165
15.8740     64.224    39.982
16.1049     64.437    38.782
16.3392     64.638    37.564
16.5768     64.870    36.328
16.8179     65.041    35.074
17.0626     65.214    33.802
17.3107     65.415    32.511
17.5625     65.670    31.202
17.8180     65.852    29.873
18.0771     66.038    28.526
18.3401     66.226    27.158
18.6068     66.417    25.771
18.8775     66.612    24.363
19.1521     66.870    22.935
19.4306     67.110    21.487
19.7133     67.314    20.017
20.0000     67.421    18.527
20.2909     67.648    17.021
20.5860     67.947    15.622
20.8855     68.162    14.139
21.1893     68.451    12.562
21.4975     68.627    10.887
21.8102     68.823     9.124
22.1274     69.001     7.343
22.4492     69.179     5.620
22.7758     69.390     4.040
23.1071     69.485     2.664
23.4432     69.676     1.423
23.7841     69.926     0.210
24.1301     70.203    -1.129
24.4811     70.306    -2.631
24.8372     70.651    -4.297
25.1984     70.878    -6.012
25.5649     71.051    -7.677
25.9368     71.191    -9.233
26.3141     71.325   -10.683
26.6968     71.478   -12.061
27.0851     71.667   -13.378
27.4791     71.891   -14.613
27.8788     72.051   -15.712
28.2843     72.213   -16.705
28.6957     72.377   -17.652
29.1131     72.644   -18.650
29.5365     72.828   -19.731
29.9661     73.086   -20.874
30.4020     73.319   -22.011
30.8442     73.459   -23.127
31.2929     73.733   -24.270
31.7480     73.998   -25.493
32.2098     74.267   -26.788
32.6783     74.494   -28.054
33.1536     74.707   -29.222
33.6359     74.853   -30.319
34.1251     75.099   -31.441
34.6215     75.402   -32.650
35.1250     75.558   -33.911
35.6359     75.822   -35.153
36.1543     76.033   -36.375
36.6802     76.259   -37.636
37.2137     76.523   -38.980
37.7550     76.801   -40.357
38.3041     76.999   -41.695
38.8613     77.155   -42.998
39.4265     77.404   -44.329
40.0000     77.622   -45.743
40.5818     77.850   -47.248
41.1721     78.011   -48.771
41.7710     78.201   -50.214
42.3785     78.323   -51.445
42.9949     78.499   -52.496
43.6203     78.699   -53.484
44.2548     78.901   -54.536
44.8985     79.099   -55.676
45.5515     79.358   -56.876
46.2141     79.585   -58.137
46.8863     79.799   -59.410
47.5683     79.999   -60.622
48.2602     80.277   -61.804
48.9621     80.399   -62.988
49.6743     80.569   -64.065
50.3968     80.758   -64.991
51.1299     80.951   -65.894
51.8736     81.148   -66.864
52.6281     81.350   -67.880
53.3936     81.679   -68.959
54.1702     81.867   -70.097
54.9581     82.082   -71.272
55.7575     82.402   -72.593
56.5685     82.626   -74.060
57.3914     82.856   -75.484
58.2261     83.099   -76.916
59.0730     83.328   -78.533
59.9323     83.599   -80.157
60.8040     83.821   -81.694
61.6884     83.999   -83.234
62.5857     84.199   -84.718
63.4960     84.436   -86.130
64.4196     84.567   -87.575
65.3566     84.788   -89.053
66.3073     85.022   -90.605
