Freq[Hz]     dBSPL  Phase[Deg]
5.00000     21.224   -35.629
5.07273     21.494   -49.634
5.14651     21.764   -63.640
5.22137     22.034   -77.644
5.29732     22.332   -92.073
5.37437     22.648  -106.762
5.45254     22.963  -121.451
5.53185     23.259  -136.412
5.61231     23.525  -151.785
5.69394     23.792  -167.158
5.77676     24.073   177.251
5.86079     24.386   161.196
5.94604     24.700   145.142
6.03252     25.005   128.830
6.12027     25.297   112.092
6.20929     25.590    95.354
6.29961     25.869    78.242
6.39124     26.137    60.820
6.48420     26.406    43.398
6.57851     26.684    25.407
6.67420     26.964     7.302
6.77128     27.247   -10.952
6.86977     27.538   -29.741
6.96969     27.830   -48.529
7.07107     28.130   -67.796
7.17392     28.433   -87.268
7.27827     28.728  -106.923
7.38413     29.000  -127.080
7.49154     29.272  -147.234
7.60050     29.594  -168.021
7.71105     29.920   171.139
7.82321     30.195   149.855
7.93701     30.442   128.335
8.05245     30.714   106.503
8.16958     31.016    84.299
8.28841     31.322    61.874
8.40896     31.635    38.982
8.53128     31.937    15.922
8.65537     32.210    -7.651
8.78126     32.485   -31.393
8.90899     32.766   -55.648
9.03857     33.050   -80.106
9.17004     33.341  -105.045
9.30342     33.634  -130.257
9.43874     33.933  -155.880
9.57603     34.237   178.120
9.71532     34.544   151.817
9.85663     34.815   124.996
10.0000     35.075    98.007
10.1455     35.458    69.834
10.2930     35.462    45.045
10.4427     34.537    28.597
10.5946     33.179    12.010
10.7487     31.556    -4.665
10.9051     29.213   -26.025
11.0637     26.302   -54.063
11.2246     22.549   -92.057
11.3879     22.273  -136.981
11.5535     23.768   175.970
11.7216     27.634   127.227
11.8921     30.602   104.266
12.0650     33.070    87.349
12.2405     35.005    71.863
12.4186     36.302    58.195
12.5992     37.217    45.485
12.7825     37.758    33.797
12.9684     37.881    23.515
13.1570     37.565    14.528
13.3484     36.919     6.879
13.5426     35.902     1.726
13.7395     34.381     1.871
13.9394     33.061     6.100
14.1421     32.307    15.869
14.3478     32.339    26.229
14.5565     33.071    33.132
14.7683     34.038    35.309
14.9831     34.785    32.779
15.2010     34.578    26.291
15.4221     33.872    17.987
15.6464     32.275     5.666
15.8740     29.648   -12.028
16.1049     27.283   -41.731
16.3392     26.855   -84.255
16.5768     28.683  -123.803
16.8179     31.730  -146.475
17.0626     34.339  -156.783
17.3107     36.276  -162.316
17.5625     37.736  -165.204
17.8180     38.779  -165.816
18.0771     39.655  -165.084
18.3401     40.435  -163.134
18.6068     41.156  -159.830
18.8775     41.938  -155.777
19.1521     42.913  -151.702
19.4306     44.146  -148.327
19.7133     45.305  -146.581
20.0000     46.525  -146.487
20.2909     47.531  -147.710
20.5860     48.419  -149.759
20.8855     49.074  -152.200
21.1893     49.688  -154.636
21.4975     50.125  -156.838
21.8102     50.496  -158.851
22.1274     51.012  -160.922
22.4492     51.598  -163.265
22.7758     52.251  -166.065
23.1071     52.914  -169.338
23.4432     53.584  -172.826
23.7841     54.159  -176.246
24.1301     54.760  -179.318
24.4811     55.376   177.993
24.8372     56.074   175.740
25.1984     56.798   173.810
25.5649     57.348   172.216
25.9368     57.998   171.007
26.3141     58.516   170.265
26.6968     59.114   169.999
27.0851     59.640   170.073
27.4791     60.262   170.222
27.8788     60.805   170.139
28.2843     61.554   169.754
28.6957     62.098   169.077
29.1131     62.635   168.233
29.5365     63.177   167.281
29.9661     63.655   166.185
30.4020     64.182   164.838
30.8442     64.712   163.179
31.2929     65.205   161.292
31.7480     65.697   159.302
32.2098     66.255   157.314
32.6783     66.790   155.355
33.1536     67.345   153.385
33.6359     68.017   151.378
34.1251     68.649   149.352
34.6215     69.291   147.360
35.1250     69.849   145.444
35.6359     70.486   143.635
36.1543     71.084   141.908
36.6802     71.543   140.192
37.2137     72.217   138.374
37.7550     72.703   136.373
38.3041     73.104   134.182
38.8613     73.633   131.954
39.4265     74.074   129.795
40.0000     74.476   127.690
40.5818     74.965   125.522
41.1721     75.406   123.184
41.7710     76.110   120.673
42.3785     76.602   117.996
42.9949     77.193   115.201
43.6203     77.784   112.328
44.2548     78.387   109.433
44.8985     78.918   106.526
45.5515     79.340   103.570
46.2141     79.790   100.565
46.8863     80.350    97.524
47.5683     80.754    94.357
48.2602     81.281    90.913
48.9621     81.584    87.179
49.6743     82.033    83.318
50.3968     82.417    79.438
51.1299     82.903    75.550
51.8736     83.283    71.642
52.6281     83.731    67.701
53.3936     84.076    63.732
54.1702     84.375    59.747
54.9581     84.782    55.624
55.7575     84.928    51.257
56.5685     85.274    46.862
57.3914     85.356    42.584
58.2261     85.589    38.264
59.0730     85.699    33.957
59.9323     85.872    29.877
60.8040     85.999    25.892
61.6884     86.129    21.985
62.5857     86.199    18.329
63.4960     86.299    14.755
64.4196     86.399    11.135
65.3566     86.352     7.531
66.3073     86.493     3.891
67.2717     86.429     0.303
68.2502     86.399    -3.159
69.2429     86.499    -6.498
70.2501     86.599    -9.686
71.2719     86.599   -12.728
72.3086     86.599   -15.572
73.3603     86.699   -18.386
74.4274     86.699   -21.292
