Freq[Hz]     dBSPL  Phase[Deg]
5.00000     58.090   -79.909
5.07273     58.039   -80.641
5.14651     57.987   -81.384
5.22137     57.935   -82.137
5.29732     57.884   -82.902
5.37437     57.832   -83.677
5.45254     57.780   -84.464
5.53185     57.728   -85.263
5.61231     57.677   -86.073
5.69394     57.625   -86.894
5.77676     57.573   -87.728
5.86079     57.522   -88.574
5.94604     57.470   -89.432
6.03252     57.418   -90.302
6.12027     57.367   -91.186
6.20929     57.315   -92.082
6.29961     57.263   -92.991
6.39124     57.212   -93.913
6.48420     57.160   -94.849
6.57851     57.108   -95.799
6.67420     57.056   -96.762
6.77128     57.005   -97.739
6.86977     56.953   -98.730
6.96969     56.901   -99.736
7.07107     56.850  -100.757
7.17392     56.798  -101.792
7.27827     56.746  -102.842
7.38413     56.695  -103.908
7.49154     56.643  -104.989
7.60050     56.591  -106.086
7.71105     56.540  -107.199
7.82321     56.488  -108.328
7.93701     56.436  -109.473
8.05245     56.384  -110.636
8.16958     56.333  -111.815
8.28841     56.281  -113.011
8.40896     56.229  -114.224
8.53128     56.178  -115.456
8.65537     56.126  -116.705
8.78126     56.074  -117.972
8.90899     56.023  -119.258
9.03857     55.971  -120.562
9.17004     55.919  -121.886
9.30342     55.867  -123.228
9.43874     55.816  -124.590
9.57603     55.764  -125.972
9.71532     55.712  -127.374
9.85663     55.661  -128.797
10.0000     55.609  -130.240
10.1455     55.673  -131.423
10.2930     55.711  -132.633
10.4427     55.678  -133.921
10.5946     55.645  -135.209
10.7487     55.604  -136.577
10.9051     55.562  -137.962
11.0637     55.513  -139.390
11.2246     55.459  -140.865
11.3879     55.401  -142.357
11.5535     55.334  -143.915
11.7216     55.266  -145.473
11.8921     55.182  -147.106
12.0650     55.099  -148.739
12.2405     55.000  -150.432
12.4186     54.899  -152.132
12.5992     54.782  -153.882
12.7825     54.662  -155.642
12.9684     54.523  -157.443
13.1570     54.379  -159.253
13.3484     54.214  -161.096
13.5426     54.046  -162.945
13.7395     53.851  -164.820
13.9394     53.651  -166.696
14.1421     53.423  -168.582
14.3478     53.184  -170.464
14.5565     52.921  -172.340
14.7683     52.635  -174.196
14.9831     52.331  -176.037
15.2010     51.990  -177.821
15.4221     51.633  -179.573
15.6464     51.236   178.764
15.8740     50.806   177.196
16.1049     50.352   175.703
16.3392     49.838   174.452
16.5768     49.294   173.358
16.8179     48.709   172.480
17.0626     48.059   172.066
17.3107     47.372   172.009
17.5625     46.642   172.405
17.8180     45.858   173.793
18.0771     45.061   175.979
18.3401     44.265   179.066
18.6068     43.532  -176.270
18.8775     42.957  -170.294
19.1521     42.581  -163.441
19.4306     42.455  -155.972
19.7133     42.706  -148.761
20.0000     43.204  -142.666
20.2909     43.853  -137.829
20.5860     44.594  -134.351
20.8855     45.368  -132.195
21.1893     46.120  -131.390
21.4975     46.825  -131.492
21.8102     47.476  -132.324
22.1274     48.068  -133.773
22.4492     48.598  -135.745
22.7758     49.066  -138.162
23.1071     49.472  -140.967
23.4432     49.817  -144.115
23.7841     50.097  -147.591
24.1301     50.318  -151.356
24.4811     50.479  -155.393
24.8372     50.580  -159.698
25.1984     50.621  -164.276
25.5649     50.599  -169.137
25.9368     50.514  -174.302
26.3141     50.360  -179.798
26.6968     50.137   174.334
27.0851     49.840   168.036
27.4791     49.464   161.216
27.8788     49.005   153.750
28.2843     48.468   145.511
28.6957     47.856   136.309
29.1131     47.186   125.910
29.5365     46.492   114.046
29.9661     45.835   100.472
30.4020     45.309    85.073
30.8442     45.071    68.007
31.2929     45.180    50.333
31.7480     45.632    33.064
32.2098     46.343    16.991
32.6783     47.206     2.691
33.1536     48.096   -10.092
33.6359     48.948   -21.644
34.1251     49.718   -32.138
34.6215     50.383   -41.856
35.1250     50.942   -51.044
35.6359     51.372   -59.779
36.1543     51.683   -68.217
36.6802     51.864   -76.429
37.2137     51.902   -84.460
37.7550     51.800   -92.367
38.3041     51.526  -100.161
38.8613     51.079  -107.864
39.4265     50.405  -115.463
40.0000     49.474  -122.938
40.5818     48.200  -130.224
41.1721     46.432  -137.153
41.7710     43.972  -143.409
