"CEA2034"
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	63.2843	20.5078	63.3459	20.5078	64.069	20.5078	65.3307	20.5078	37.9946	20.5078	39.2563	20.5078	39.9794
23.4375	61.1371	23.4375	61.1282	23.4375	61.3637	23.4375	62.1539	23.4375	38.9537	23.4375	39.7439	23.4375	39.9794
26.3672	62.7382	26.3672	62.7436	26.3672	63.155	26.3672	64.1904	26.3672	38.5326	26.3672	39.568	26.3672	39.9794
29.2969	63.1844	29.2969	63.1824	29.2969	63.5549	29.2969	64.5605	29.2969	38.6013	29.2969	39.6069	29.2969	39.9794
32.2266	66.4518	32.2266	66.5003	32.2266	67.2014	32.2266	68.4546	32.2266	38.025	32.2266	39.2782	32.2266	39.9794
35.1563	71.59	35.1563	71.634	35.1563	72.1649	35.1563	73.1163	35.1563	38.4971	35.1563	39.4484	35.1563	39.9794
38.0859	73.9055	38.0859	73.9413	38.0859	74.3427	38.0859	75.0829	38.0859	38.8378	38.0859	39.578	38.0859	39.9794
41.0156	74.1776	41.0156	74.2095	41.0156	74.5374	41.0156	75.1403	41.0156	39.0487	41.0156	39.6516	41.0156	39.9794
43.9453	74.1793	43.9453	74.2055	43.9453	74.4494	43.9453	74.8898	43.9453	39.2951	43.9453	39.7355	43.9453	39.9794
46.875	75.0108	46.875	75.0331	46.875	75.2261	46.875	75.571	46.875	39.4415	46.875	39.7863	46.875	39.9794
49.8047	75.7738	49.8047	75.7983	49.8047	76.0023	49.8047	76.3584	49.8047	39.4194	49.8047	39.7754	49.8047	39.9794
52.7344	75.6068	52.7344	75.6333	52.7344	75.8454	52.7344	76.2086	52.7344	39.4041	52.7344	39.7673	52.7344	39.9794
55.6641	75.391	55.6641	75.4061	55.6641	75.5108	55.6641	75.6885	55.6641	39.6971	55.6641	39.8747	55.6641	39.9794
58.5938	76.3298	58.5938	76.334	58.5938	76.3268	58.5938	76.2925	58.5938	40.0209	58.5938	39.9866	58.5938	39.9794
61.5234	77.7785	61.5234	77.789	61.5234	77.8239	61.5234	77.8453	61.5234	39.9231	61.5234	39.9446	61.5234	39.9794
64.4531	78.5249	64.4531	78.5488	64.4531	78.6956	64.4531	78.9018	64.4531	39.6265	64.4531	39.8327	64.4531	39.9794
67.3828	78.3258	67.3828	78.3627	67.3828	78.6264	67.3828	79.0258	67.3828	39.3164	67.3828	39.7158	67.3828	39.9794
70.3125	77.5338	70.3125	77.5745	70.3125	77.8929	70.3125	78.399	70.3125	39.1549	70.3125	39.661	70.3125	39.9794
73.2422	76.92	73.2422	76.9422	73.2422	77.1365	73.2422	77.494	73.2422	39.4276	73.2422	39.785	73.2422	39.9794
76.1719	77.4272	76.1719	77.4217	76.1719	77.3683	76.1719	77.3151	76.1719	40.0859	76.1719	40.0328	76.1719	39.9794
79.1016	78.369	79.1016	78.3601	79.1016	78.2384	79.1016	78.0138	79.1016	40.3257	79.1016	40.101	79.1016	39.9794
82.0313	79.2761	82.0313	79.2724	82.0313	79.1733	82.0313	78.9525	82.0313	40.2993	82.0313	40.0785	82.0313	39.9794
84.9609	79.6226	84.9609	79.6248	84.9609	79.5685	84.9609	79.4053	84.9609	40.1989	84.9609	40.0357	84.9609	39.9794
87.8906	79.6221	87.8906	79.6306	87.8906	79.6254	87.8906	79.5484	87.8906	40.0616	87.8906	39.9846	87.8906	39.9794
90.8203	78.6618	90.8203	78.6958	90.8203	78.9237	90.8203	79.2493	90.8203	39.4259	90.8203	39.7515	90.8203	39.9794
93.75	79.3978	93.75	79.393	93.75	79.3504	93.75	79.3056	93.75	40.0669	93.75	40.022	93.75	39.9794
96.6797	79.8594	96.6797	79.8428	96.6797	79.6634	96.6797	79.3358	96.6797	40.4864	96.6797	40.1588	96.6797	39.9794
102.539	80.4581	102.539	80.4612	102.539	80.3961	102.539	80.1968	102.539	40.2438	102.539	40.0445	102.539	39.9794
105.469	80.5451	105.469	80.5617	105.469	80.6005	105.469	80.5574	105.469	39.9837	105.469	39.9406	105.469	39.9794
108.398	80.3437	108.398	80.3734	108.398	80.5334	108.398	80.6939	108.398	39.6589	108.398	39.8194	108.398	39.9794
111.328	79.9984	111.328	80.0357	111.328	80.2945	111.328	80.6409	111.328	39.3742	111.328	39.7206	111.328	39.9794
117.188	79.4284	117.188	79.4407	117.188	79.6672	117.188	80.1508	117.188	39.2693	117.188	39.7529	117.188	39.9794
120.117	79.4736	120.117	79.4546	120.117	79.5024	120.117	79.8352	120.117	39.5988	120.117	39.9316	120.117	39.9794
125.977	79.8798	125.977	79.8274	125.977	79.5647	125.977	79.4332	125.977	40.3736	125.977	40.2421	125.977	39.9794
128.906	80.0739	128.906	80.0159	128.906	79.6483	128.906	79.262	128.906	40.7333	128.906	40.347	128.906	39.9794
134.766	80.5214	134.766	80.4736	134.766	80.1089	134.766	79.6032	134.766	40.8498	134.766	40.3441	134.766	39.9794
137.695	80.7475	137.695	80.7065	137.695	80.38	137.695	79.9075	137.695	40.7784	137.695	40.3058	137.695	39.9794
143.555	80.8732	143.555	80.8344	143.555	80.5259	143.555	80.0713	143.555	40.7425	143.555	40.2878	143.555	39.9794
149.414	80.8561	149.414	80.8196	149.414	80.5656	149.414	80.2465	149.414	40.5525	149.414	40.2334	149.414	39.9794
