"Horizontal Reflections"
"Front"		"Side"		"Rear"		"Total Horizontal Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	47.6123	20.5078	43.0445	20.5078	54.5134	20.5078	52.2018
21.9727	52.7485	21.9727	48.6367	21.9727	53.584	21.9727	52.4888
23.4375	51.1887	23.4375	46.7784	23.4375	56.947	23.4375	54.7727
24.9023	52.6106	24.9023	49.0791	24.9023	58.3672	24.9023	56.2359
26.3672	54.9273	26.3672	52.5741	26.3672	60.0257	26.3672	58.0728
27.832	56.2588	27.832	54.2389	27.832	61.1897	27.832	59.2941
29.2969	58.2208	29.2969	56.3724	29.2969	62.3702	29.2969	60.6463
30.7617	59.4529	30.7617	57.8233	30.7617	63.5232	30.7617	61.8401
32.2266	60.5918	32.2266	59.4332	32.2266	65.0082	32.2266	63.3016
33.6914	61.7646	33.6914	60.9369	33.6914	66.0509	33.6914	64.413
35.1563	63.379	35.1563	62.7183	35.1563	67.2734	35.1563	65.7517
36.6211	64.6297	36.6211	64.1562	36.6211	68.4685	36.6211	66.9874
38.0859	65.9637	38.0859	65.6852	38.0859	69.7093	38.0859	68.2816
39.5508	67.3705	39.5508	67.1734	39.5508	70.8136	39.5508	69.4819
41.0156	69.0079	41.0156	68.7403	41.0156	71.7684	41.0156	70.6281
42.4805	69.5648	42.4805	69.3797	42.4805	72.5473	42.4805	71.353
43.9453	70.7603	43.9453	70.6907	43.9453	73.6903	43.9453	72.5329
45.4102	71.7949	45.4102	71.8047	45.4102	74.6919	45.4102	73.5594
46.875	73.0431	46.875	73.0825	46.875	75.741	46.875	74.6778
48.3398	73.8611	48.3398	74.0174	48.3398	76.6825	48.3398	75.6018
51.2695	75.9675	51.2695	76.1321	51.2695	78.3912	51.2695	77.4447
52.7344	76.8292	52.7344	77.0738	52.7344	79.2398	52.7344	78.3144
54.1992	77.7862	54.1992	78.0224	54.1992	80.0164	54.1992	79.1526
55.6641	78.6521	55.6641	78.8894	55.6641	80.7544	55.6641	79.9369
58.5938	80.1152	58.5938	80.3721	58.5938	82.0547	58.5938	81.3013
60.0586	80.7887	60.0586	81.0601	60.0586	82.6548	60.0586	81.9322
62.9883	82.0842	62.9883	82.3685	62.9883	83.7796	62.9883	83.1251
64.4531	82.652	64.4531	82.9381	64.4531	84.2623	64.4531	83.6412
67.3828	83.5895	67.3828	83.8811	67.3828	85.0614	67.3828	84.4963
68.8477	83.9584	68.8477	84.2529	68.8477	85.3683	68.8477	84.8288
71.7773	84.7279	71.7773	85.0216	71.7773	86.0071	71.7773	85.5205
74.707	85.4156	74.707	85.7077	74.707	86.5772	74.707	86.1387
77.6367	85.8817	77.6367	86.1697	77.6367	86.9278	77.6367	86.5367
79.1016	86.0496	79.1016	86.3354	79.1016	87.0441	79.1016	86.6743
82.0313	86.4489	82.0313	86.7261	82.0313	87.3382	82.0313	87.0112
84.9609	86.7054	84.9609	86.9894	84.9609	87.5495	84.9609	87.2438
87.8906	86.867	87.8906	87.1492	87.8906	87.6367	87.8906	87.363
90.8203	87.1003	90.8203	87.354	90.8203	87.7164	90.8203	87.503
95.2148	87.2807	95.2148	87.5053	95.2148	87.747	95.2148	87.593
98.1445	87.2413	98.1445	87.4895	98.1445	87.7442	98.1445	87.5801
101.074	87.2917	101.074	87.5267	101.074	87.721	101.074	87.5867
105.469	87.3454	105.469	87.5582	105.469	87.6629	105.469	87.5737
108.398	87.3159	108.398	87.5246	108.398	87.5979	108.398	87.524
112.793	87.4371	112.793	87.6186	112.793	87.6038	112.793	87.576
117.188	87.4679	117.188	87.6293	117.188	87.5483	117.188	87.5555
120.117	87.3545	120.117	87.5247	120.117	87.4791	120.117	87.4679
124.512	87.5001	124.512	87.618	124.512	87.449	124.512	87.5065
128.906	87.3566	128.906	87.4736	128.906	87.2686	128.906	87.3435
133.301	87.2437	133.301	87.3435	133.301	87.1089	133.301	87.2015
139.16	87.1146	139.16	87.1806	139.16	86.8818	139.16	87.0122
143.555	87.0284	143.555	87.0732	143.555	86.7222	143.555	86.8824
147.949	86.939	147.949	86.9579	147.949	86.5558	147.949	86.7465
153.809	86.8269	153.809	86.8132	153.809	86.3445	153.809	86.575
159.668	86.7502	159.668	86.7075	159.668	86.1993	159.668	86.4556
165.527	86.77	165.527	86.6816	165.527	86.1272	165.527	86.4164
171.387	86.6896	171.387	86.5786	171.387	85.9084	171.387	86.2614
177.246	86.5412	177.246	86.4518	177.246	85.8008	177.246	86.1393
183.105	86.2929	183.105	86.1445	183.105	85.4963	183.105	85.846
188.965	86.2212	188.965	85.9898	188.965	85.2091	188.965	85.6456
196.289	86.2111	196.289	85.9192	196.289	85.0302	196.289	85.5373
203.613	86.0983	203.613	85.7585	203.613	84.7818	203.613	85.3466
210.938	86.0254	210.938	85.631	210.938	84.5288	210.938	85.1743
218.262	85.8279	218.262	85.4398	218.262	84.2937	218.262	84.9617
225.586	85.7836	225.586	85.3071	225.586	84.2145	225.586	84.8743
232.91	85.8877	232.91	85.2975	232.91	83.9425	232.91	84.776
241.699	85.8003	241.699	85.2354	241.699	83.6854	241.699	84.6236
250.488	85.5395	250.488	84.8657	250.488	83.2054	250.488	84.2356
259.277	86.0029	259.277	85.3078	259.277	83.3855	259.277	84.5763
268.066	85.4468	268.066	84.7485	268.066	83.1778	268.066	84.1624
276.855	85.5218	276.855	84.6981	276.855	82.5566	276.855	83.9158
287.109	85.7368	287.109	84.9522	287.109	82.7481	287.109	84.1348
297.363	85.5783	297.363	84.7378	297.363	82.6946	297.363	83.9984
307.617	85.7597	307.617	84.9374	307.617	82.5774	307.617	84.0716
319.336	85.3727	319.336	84.5704	319.336	82.4505	319.336	83.7904
329.59	85.3198	329.59	84.4405	329.59	81.9414	329.59	83.5399
341.309	85.3135	341.309	84.5745	341.309	82.2891	341.309	83.7132
353.027	84.9059	353.027	83.8568	353.027	81.339	353.027	82.9999
366.211	85.0282	366.211	84.1795	366.211	81.0031	366.211	83.0341
379.395	85.2383	379.395	84.2024	379.395	81.848	379.395	83.4011
392.578	85.085	392.578	84.0823	392.578	81.5933	392.578	83.2219
405.762	84.3681	405.762	83.3457	405.762	81.3434	405.762	82.6738
420.41	85.4245	420.41	83.7436	420.41	80.8965	420.41	82.9766
435.059	85.4603	435.059	84.3173	435.059	80.9927	435.059	83.2172
451.172	85.1291	451.172	83.8648	451.172	80.3162	451.172	82.7357
465.82	84.9503	465.82	83.8915	465.82	80.0166	465.82	82.5965
483.398	84.7105	483.398	83.2099	483.398	82.0536	483.398	83.0185
499.512	86.6434	499.512	84.0775	499.512	83.3915	499.512	84.4097
517.09	87.0063	517.09	84.6601	517.09	82.6366	517.09	84.404
536.133	86.2909	536.133	84.3017	536.133	81.8247	536.133	83.764
555.176	86.9692	555.176	84.9534	555.176	80.672	555.176	83.8966
574.219	86.7558	574.219	85.1639	574.219	80.5956	574.219	83.8718
594.727	86.393	594.727	84.8457	594.727	80.6582	594.727	83.6348
615.234	86.5828	615.234	84.8502	615.234	80.1535	615.234	83.5806
637.207	86.3056	637.207	84.9741	637.207	80.1493	637.207	83.5218
659.18	86.015	659.18	84.2851	659.18	79.8365	659.18	83.0753
682.617	85.9528	682.617	84.1634	682.617	79.518	682.617	82.9283
707.52	86.7087	707.52	84.816	707.52	79.9714	707.52	83.5748
732.422	86.8656	732.422	84.5456	732.422	79.9848	732.422	83.5447
757.324	86.8209	757.324	84.7685	757.324	79.8018	757.324	83.5645
785.156	86.8179	785.156	84.5306	785.156	79.8444	785.156	83.4872
811.523	86.2733	811.523	83.4241	811.523	79.2089	811.523	82.7308
840.82	86.1299	840.82	82.9526	840.82	78.6642	840.82	82.3901
870.117	86.52	870.117	83.3378	870.117	79.1047	870.117	82.79
900.879	88.6945	900.879	85.2196	900.879	81.6613	900.879	84.9655
933.105	87.8641	933.105	83.9884	933.105	80.9045	933.105	84.0396
965.332	88.2299	965.332	84.742	965.332	79.0008	965.332	84.0494
1,000.49	88.4529	1,000.49	84.5201	1,000.49	79.6906	1,000.49	84.2156
1,035.64	88.0836	1,035.64	83.8905	1,035.64	79.5565	1,035.64	83.8159
1,072.27	87.9698	1,072.27	83.1345	1,072.27	80.4824	1,072.27	83.7654
1,108.89	87.1116	1,108.89	83.8089	1,108.89	78.7207	1,108.89	83.1402
1,148.44	86.1946	1,148.44	83.389	1,148.44	75.928	1,148.44	82.1016
1,189.45	85.9859	1,189.45	82.4375	1,189.45	75.5451	1,189.45	81.6069
1,230.47	85.892	1,230.47	82.3409	1,230.47	74.7635	1,230.47	81.428
1,274.41	85.7376	1,274.41	81.8345	1,274.41	74.6617	1,274.41	81.1624
1,319.82	85.5104	1,319.82	81.6866	1,319.82	74.6312	1,319.82	80.9846
1,366.7	85.4086	1,366.7	81.5845	1,366.7	74.1307	1,366.7	80.8359
1,413.57	84.8111	1,413.57	80.7454	1,413.57	73.0038	1,413.57	80.1026
1,463.38	84.6913	1,463.38	80.8945	1,463.38	73.2462	1,463.38	80.1092
1,516.11	84.4516	1,516.11	80.7452	1,516.11	73.4245	1,516.11	79.9469
1,568.85	84.1343	1,568.85	80.257	1,568.85	73.1668	1,568.85	79.5804
1,624.51	84.3823	1,624.51	79.772	1,624.51	72.9997	1,624.51	79.5532
1,681.64	84.7721	1,681.64	80.1913	1,681.64	72.329	1,681.64	79.8406
1,741.7	85.4226	1,741.7	81.1862	1,741.7	72.6915	1,741.7	80.5722
1,803.22	85.3686	1,803.22	81.5024	1,803.22	73.3687	1,803.22	80.7062
1,866.21	85.133	1,866.21	81.1555	1,866.21	72.996	1,866.21	80.4205
1,932.13	85.7364	1,932.13	81.5647	1,932.13	73.1007	1,932.13	80.9151
1,999.51	86.1036	1,999.51	81.9639	1,999.51	73.3958	1,999.51	81.2864
2,069.82	85.8957	2,069.82	81.905	2,069.82	73.7858	2,069.82	81.1814
2,143.07	85.8896	2,143.07	82.2211	2,143.07	74.1418	2,143.07	81.319
2,219.24	86.5831	2,219.24	82.8311	2,219.24	74.0926	2,219.24	81.9141
2,296.88	86.7437	2,296.88	83.1501	2,296.88	74.7819	2,296.88	82.1779
2,378.91	87.0218	2,378.91	83.295	2,378.91	74.7491	2,378.91	82.3808
2,462.4	87.1205	2,462.4	83.85	2,462.4	74.6583	2,462.4	82.6252
2,548.83	85.9238	2,548.83	83.1599	2,548.83	74.4292	2,548.83	81.7085
2,639.65	85.9029	2,639.65	83.0674	2,639.65	73.4417	2,639.65	81.5729
2,731.93	85.6145	2,731.93	82.9486	2,731.93	73.5599	2,731.93	81.3857
2,828.61	85.1284	2,828.61	82.5126	2,828.61	72.954	2,828.61	80.9094
2,928.22	85.8711	2,928.22	83.1897	2,928.22	73.4896	2,928.22	81.6087
3,030.76	85.8755	3,030.76	83.1197	3,030.76	73.2744	3,030.76	81.5659
3,137.7	85.949	3,137.7	83.2434	3,137.7	73.3159	3,137.7	81.6569
3,249.02	86.3517	3,249.02	83.6646	3,249.02	73.6831	3,249.02	82.0643
3,363.28	86.1654	3,363.28	83.7265	3,363.28	73.8825	3,363.28	82.0094
3,481.93	86.1832	3,481.93	83.7179	3,481.93	73.7018	3,481.93	82.0005
3,604.98	86.6854	3,604.98	84.4407	3,604.98	74.1916	3,604.98	82.5941
3,732.42	86.5806	3,732.42	84.4702	3,732.42	74.3437	3,732.42	82.5668
3,864.26	87.056	3,864.26	85.0045	3,864.26	74.2837	3,864.26	83.0277
4,000.49	86.8426	4,000.49	84.4962	4,000.49	73.9245	4,000.49	82.6772
4,141.11	87.3936	4,141.11	84.6332	4,141.11	73.8322	4,141.11	83.0142
4,287.6	87.2987	4,287.6	84.2372	4,287.6	73.4426	4,287.6	82.7816
4,438.48	87.4672	4,438.48	84.315	4,438.48	72.5731	4,438.48	82.8576
4,595.21	87.039	4,595.21	84.0936	4,595.21	72.8243	4,595.21	82.5464
4,756.35	86.823	4,756.35	83.8918	4,756.35	72.8524	4,756.35	82.3502
4,924.8	86.1629	4,924.8	83.6603	4,924.8	72.1952	4,924.8	81.8651
5,097.66	86.7091	5,097.66	83.8284	5,097.66	72.397	5,097.66	82.2369
5,277.83	86.8407	5,277.83	83.8769	5,277.83	72.2238	5,277.83	82.3191
5,463.87	86.6815	5,463.87	83.9106	5,463.87	72.7586	5,463.87	82.2757
5,657.23	86.9266	5,657.23	84.0436	5,657.23	72.5132	5,657.23	82.448
5,856.45	87.2074	5,856.45	84.0287	5,856.45	72.2314	5,856.45	82.5835
6,062.99	87.318	6,062.99	83.9441	6,062.99	72.0247	6,062.99	82.6043
6,276.86	87.3811	6,276.86	83.7082	6,276.86	70.965	6,276.86	82.5096
6,498.05	87.3054	6,498.05	83.2625	6,498.05	70.2818	6,498.05	82.2804
6,726.56	87.1311	6,726.56	82.8664	6,726.56	69.1726	6,726.56	82.0016
6,963.87	86.9646	6,963.87	82.3106	6,963.87	68.843	6,963.87	81.7025
7,209.96	86.8764	7,209.96	81.8527	7,209.96	67.9675	7,209.96	81.4793
7,464.84	86.6202	7,464.84	81.4295	7,464.84	68.1139	7,464.84	81.1832
7,727.05	86.4041	7,727.05	81.0216	7,727.05	67.4368	7,727.05	80.9
7,999.51	86.4315	7,999.51	80.859	7,999.51	66.5161	7,999.51	80.8534
8,282.23	86.5703	8,282.23	80.6113	8,282.23	65.2224	8,282.23	80.8638
8,573.73	86.7873	8,573.73	80.4385	8,573.73	64.1345	8,573.73	80.9653
8,876.95	86.8283	8,876.95	80.354	8,876.95	63.972	8,876.95	80.9736
9,188.96	86.9729	9,188.96	80.2287	9,188.96	63.8112	9,188.96	81.0516
9,514.16	87.1182	9,514.16	80.0492	9,514.16	63.7208	9,514.16	81.122
9,849.61	87.1418	9,849.61	79.6966	9,849.61	62.5465	9,849.61	81.0564
10,196.8	87.1454	10,196.8	79.0792	10,196.8	61.0925	10,196.8	80.9314
10,555.7	87.0897	10,555.7	78.4216	10,555.7	60.1815	10,555.7	80.7683
10,927.7	87.1676	10,927.7	78.1249	10,927.7	61.0453	10,927.7	80.7917
11,313	87.3475	11,313	78.3931	11,313	60.0185	11,313	80.9791
11,712.9	87.5345	11,712.9	78.321	11,712.9	59.2766	11,712.9	81.1239
12,126	87.7939	12,126	77.7774	12,126	57.6523	12,126	81.2697
12,553.7	87.9662	12,553.7	76.6906	12,553.7	55.8912	12,553.7	81.3003
12,996.1	87.7964	12,996.1	75.1991	12,996.1	56.0473	12,996.1	81.0201
13,454.6	87.4163	13,454.6	74.0806	13,454.6	57.5136	13,454.6	80.5942
13,929.2	86.9065	13,929.2	73.262	13,929.2	57.5904	13,929.2	80.0675
14,419.9	86.6189	14,419.9	72.0625	14,419.9	56.015	14,419.9	79.7286
14,928.2	86.4582	14,928.2	71.0622	14,928.2	57.034	14,928.2	79.5345
15,455.6	86.2494	15,455.6	71.7779	15,455.6	59.1934	15,455.6	79.3755
16,000.5	85.9622	16,000.5	71.2862	16,000.5	58.235	16,000.5	79.0755
16,564.5	85.3487	16,564.5	71.4592	16,564.5	58.5956	16,564.5	78.5063
17,148.9	84.6544	17,148.9	71.5689	17,148.9	57.9657	17,148.9	77.8605
17,752.4	84.2595	17,752.4	71.7495	17,752.4	57.3918	17,752.4	77.5046
18,379.4	83.9211	18,379.4	72.1968	18,379.4	56.8475	18,379.4	77.2284
19,026.9	83.6454	19,026.9	72.4542	19,026.9	56.9396	19,026.9	77.0037
19,697.8	83.0403	19,697.8	73.2633	19,697.8	57.1936	19,697.8	76.5632
19,999.5	82.7245	19,999.5	73.2405	19,999.5	57.518	19,999.5	76.2908
