Frequency Spectrum for Input Signal

Data Shown:    CDL-12 (PreSonus)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 180°  Par: 160°

Freq [Hz]	Signal Level [dBSPL]
22.4	68.1
23	69.2
23.6	70.1
24	71.2
25	72.3
25.8	73.5
26.5	74.6
27.2	75.9
28	77.1
29	78.4
30	79.6
30.7	80.9
31.5	82.1
32.5	83.4
33.5	84.6
34.5	85.9
35.5	87.1
36.5	88.3
37.5	89.4
38.7	90.6
40	91.6
41.2	92.7
42.5	93.8
43.7	94.8
45	95.7
46.2	96.6
47.5	97.5
48.7	98.3
50	99.1
51.5	99.7
53	100.3
54.5	100.9
56	101.4
58	101.7
60	102
61.5	102.3
63	102.4
65	102.5
67	102.5
69	102.5
71	102.5
73	102.4
75	102.4
77.5	102.3
80	102.3
82.5	102.3
85	102.3
87.5	102.4
90	102.4
92.5	102.5
95	102.5
97.5	102.5
100	102.6
103	102.7
106	102.7
109	102.8
112	102.9
115	102.9
118	102.8
122	102.7
125	102.6
128	102.6
132	102.6
136	102.6
140	102.6
145	102.3
150	102.1
155	101.8
160	101.4
165	100.9
170	100.3
175	99.8
180	99.5
185	99.2
190	99
195	99
200	99.1
206	99.3
212	99.2
218	99.1
224	98.9
230	98.7
236	98.7
240	98.9
250	99
258	98.9
265	98.5
272	98.6
280	99
290	99.2
300	99
307	98.7
315	99
325	99.4
335	99.4
345	99
355	98.1
365	96.9
375	95.8
387	95.4
400	95.2
412	94.9
425	94.3
437	93.7
450	92.4
462	90
475	88.4
487	88.2
500	87.8
515	87.3
530	87.4
545	88
560	87.8
580	86.4
600	84.5
615	84.1
630	85.4
650	86.2
670	85.7
690	84.7
710	84.4
730	87
750	88.4
775	89
800	89.3
825	88.1
850	85.7
875	84.7
900	85.9
925	87.3
950	89
975	88.3
1000	87.7
1030	88.7
1060	85.2
1090	79.7
1120	82.1
1150	82.1
1180	85.5
1220	86.6
1250	88.2
1280	88.9
1320	90.3
1360	91.3
1400	92
1450	90.6
1500	89.2
1550	87.5
1600	87.7
1650	88.3
1700	88.8
1750	89.1
1800	87.2
1850	87.7
1900	87.1
1950	85.7
2000	85.5
2060	84.8
2120	84.6
2180	82.7
2240	85.1
2300	85.9
2360	86
2400	85.9
2500	86.5
2580	86.5
2650	86.2
2720	84.4
2800	82.1
2900	76
3000	80.5
3070	83.9
3150	86.5
3250	87.7
3350	88.1
3450	88.7
3550	88.8
3650	88.4
3750	87.2
3870	85.3
4000	84.5
4120	81.9
4250	79.2
4370	78.3
4500	79.6
4620	78.4
4750	78.4
4870	81.4
5000	81
5150	76.1
5300	73.4
5450	85.7
5600	89.3
5800	91.5
6000	91.8
6150	89.9
6300	86
6500	81.4
6700	80.1
6900	80.1
7100	77
7300	72
7500	69.6
7750	67.2
8000	70.5
8250	72.7
8500	75.7
8750	73.6
9000	78.1
9250	78.2
9500	73.5
9750	77.8
10000	77.9
10300	72.7
10600	73.7
10900	80.8
11200	80.1
11500	72.7
11800	84.2
12200	75.4
12500	80.4
12800	79.8
13200	78.9
13600	75
14000	67.7
14500	75.3
15000	78.8
15500	67.7
16000	65.6
16500	65.8
17000	76.2
17500	79
18000	73.2
18500	68.7
19000	59.8
19500	44.3
20000	35.9
20600	34
21200	25.6
21800	9.3
22400	3.4
