"Directivity Index"
"Sound Power DI"		"Early Reflections DI"
"Frequency [Hz]"	"[dB] Directivity Index "	"Frequency [Hz]"	"[dB] Directivity Index "
20.5078	-0.750404	20.5078	-0.331992
21.2402	-0.533297	21.2402	-0.218913
21.9727	-0.34506	21.9727	-0.122234
22.7051	-0.937682	22.7051	-0.411225
23.4375	0.303032	23.4375	0.199442
24.1699	0.105331	24.1699	0.0831885
25.6348	3.01373	25.6348	1.21677
26.3672	0.455312	26.3672	0.267238
27.0996	1.02272	27.0996	0.491966
27.832	1.85205	27.832	0.813608
29.2969	2.73219	29.2969	1.29614
30.0293	0.440054	30.0293	0.395848
31.4941	1.07677	31.4941	0.625818
32.2266	0.974774	32.2266	0.625454
33.6914	-0.797835	33.6914	-0.0544669
34.4238	-1.1157	34.4238	-0.256978
35.8887	-1.33039	35.8887	-0.403983
37.3535	-1.05124	37.3535	-0.276152
38.8184	-1.2972	38.8184	-0.360317
39.5508	-1.65631	39.5508	-0.557777
41.0156	-1.70968	41.0156	-0.627027
42.4805	-1.36612	42.4805	-0.461573
43.9453	-1.20121	43.9453	-0.366689
45.4102	-1.40601	45.4102	-0.483514
47.6074	-0.818952	47.6074	-0.230994
49.0723	-0.691986	49.0723	-0.15327
50.5371	-0.544093	50.5371	-0.08463
52.7344	-0.676808	52.7344	-0.154167
54.1992	-0.673693	54.1992	-0.167085
56.3965	-0.602485	56.3965	-0.152882
58.5938	-0.493917	58.5938	-0.116082
60.0586	-0.431493	60.0586	-0.0955544
62.2559	-0.442429	62.2559	-0.111431
64.4531	-0.374309	64.4531	-0.0918079
66.6504	-0.334512	66.6504	-0.0826691
69.5801	-0.329924	69.5801	-0.0921648
71.7773	-0.301157	71.7773	-0.0891847
73.9746	-0.279124	73.9746	-0.0866176
76.9043	-0.272718	76.9043	-0.0929624
79.834	-0.273534	79.834	-0.10181
82.7637	-0.273104	82.7637	-0.109112
85.6934	-0.274426	85.6934	-0.115155
88.623	-0.28052	88.623	-0.121756
91.5527	-0.248647	91.5527	-0.110614
94.4824	-0.233456	94.4824	-0.107754
98.1445	-0.229258	98.1445	-0.110644
101.807	-0.221059	101.807	-0.111047
105.469	-0.195605	105.469	-0.10298
109.131	-0.209362	109.131	-0.111483
