Freq[Hz]     dBSPL  Phase[Deg]
5.00000     -8.420    12.947
5.07273     -7.697    10.513
5.14651     -7.144     7.742
5.22137     -7.065     4.028
5.29732     -6.985     0.313
5.37437     -6.905    -3.401
5.45254     -6.826    -7.116
5.53185     -7.130   -11.281
5.61231     -7.839   -15.923
5.69394     -8.549   -20.565
5.77676     -9.258   -25.208
5.86079    -10.018   -29.944
5.94604    -13.750   -40.230
6.03252    -17.482   -50.516
6.12027    -21.214   -60.802
6.20929    -24.946   -71.088
6.29961    -22.665   -33.590
6.39124    -19.050    14.506
6.48420    -15.436    62.601
6.57851    -11.821   110.696
6.67420    -10.005   111.538
6.77128     -8.482   104.707
6.86977     -6.958    97.877
6.96969     -5.567    90.977
7.07107     -5.182    83.560
7.17392     -4.798    76.143
7.27827     -4.413    68.725
7.38413     -4.543    60.014
7.49154     -5.072    50.304
7.60050     -5.600    40.594
7.71105     -6.318    29.097
7.82321     -7.874     9.753
7.93701     -9.430    -9.591
8.05245    -10.985   -28.935
8.16958    -10.151   -60.438
8.28841     -9.227   -92.396
8.40896     -8.303  -124.353
8.53128     -6.780  -143.306
8.65537     -5.180  -160.580
8.78126     -3.579  -177.855
8.90899     -2.859   165.952
9.03857     -2.196   149.830
9.17004     -1.544   133.240
9.30342     -0.972   112.925
9.43874     -0.400    92.611
9.57603      0.467    72.463
9.71532      1.784    52.571
9.85663      3.100    32.678
10.0000      4.425    17.220
10.1455      5.752     2.997
10.2930      6.927   -10.043
10.4427      7.677   -19.779
10.5946      8.428   -29.515
10.7487      8.610   -35.561
10.9051      8.678   -40.869
11.0637      8.535   -42.167
11.2246      8.168   -39.222
11.3879      8.089   -34.501
11.5535      9.057   -23.307
11.7216     10.046   -12.238
11.8921     12.287    -8.582
12.0650     14.529    -4.925
12.2405     16.436    -7.196
12.4186     18.301   -10.231
12.5992     19.686   -15.154
12.7825     20.964   -20.494
12.9684     21.817   -26.149
13.1570     22.571   -31.877
13.3484     22.922   -36.872
13.5426     23.208   -41.747
13.7395     23.124   -44.463
13.9394     23.012   -46.655
