Frequency Spectrum for Input Signal

Data Shown:    K10.2 (QSC Audio Products, LLC)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 180°  Par: 150°  

Freq [Hz]	Signal Level [dBSPL]
22.4	56.2
23	56.6
23.6	57
24	57.3
25	57.6
25.8	57.8
26.5	58
27.2	58.5
28	59.3
29	60.5
30	61.9
30.7	63.4
31.5	65
32.5	66.7
33.5	68.6
34.5	70.6
35.5	72.8
36.5	74.9
37.5	76.9
38.7	78.7
40	80.4
41.2	81.9
42.5	83.4
43.7	84.7
45	86
46.2	87.1
47.5	88.2
48.7	89.2
50	90.2
51.5	91.2
53	92
54.5	92.9
56	93.7
58	94.5
60	95.1
61.5	95.8
63	96.3
65	96.9
67	97.3
69	97.8
71	98.1
73	98.4
75	98.8
77.5	99
80	99.3
82.5	99.5
85	99.6
87.5	99.8
90	99.9
92.5	100
95	100
97.5	100
100	100
103	100
106	100
109	100
112	99.9
115	99.8
118	99.7
122	99.6
125	99.4
128	99.3
132	99.1
136	98.9
140	98.6
145	98.3
150	98
155	97.7
160	97.5
165	97.2
170	97
175	96.9
180	96.8
185	96.7
190	96.6
195	96.5
200	96.5
206	96.5
212	96.4
218	96.4
224	96.5
230	96.5
236	96.6
240	96.6
250	96.6
258	96.7
265	96.9
272	97
280	97.2
290	97.4
300	97.6
307	97.6
315	97.7
325	97.8
335	97.7
345	97.6
355	97.5
365	97.3
375	97.2
387	97
400	96.9
412	96.7
425	96.5
437	96.2
450	96
462	95.8
475	95.6
487	95.3
500	95.1
515	94.8
530	94.3
545	93.8
560	93.2
580	92.5
600	91.7
615	90.8
630	89.7
650	88.7
670	88
690	87.6
710	87.5
730	87.5
750	87.4
775	87.2
800	87
825	86.8
850	86.5
875	86.2
900	85.9
925	85.6
950	85.4
975	85.2
1000	85.1
1030	85
1060	84.9
1090	84.8
1120	84.6
1150	84.4
1180	84.1
1220	83.8
1250	83.5
1280	83.1
1320	82.7
1360	82.4
1400	82
1450	81.8
1500	81.6
1550	81.4
1600	81.3
1650	81.1
1700	81
1750	80.9
1800	80.9
1850	80.8
1900	80.7
1950	80.4
2000	80.1
2060	79.8
2120	79.8
2180	79.8
2240	80
2300	80.1
2360	80.2
2400	80.3
2500	80.4
2580	80.4
2650	80.4
2720	80.5
2800	80.5
2900	80.5
3000	80.5
3070	80.4
3150	80.3
3250	80.2
3350	80
3450	79.7
3550	79.5
3650	79.2
3750	79
3870	78.9
4000	78.7
4120	78.4
4250	78
4370	77.6
4500	77.1
4620	76.7
4750	76.4
4870	76.2
5000	75.9
5150	75.7
5300	75.6
5450	75.5
5600	75.4
5800	75.3
6000	75
6150	74.6
6300	74.2
6500	73.8
6700	73.4
6900	73.1
7100	72.9
7300	72.8
7500	72.6
7750	72.4
8000	72.2
8250	71.9
8500	71.6
8750	71.4
9000	71.2
9250	71.1
9500	70.9
9750	70.8
10000	70.6
10300	70.3
10600	69.9
10900	69.5
11200	69.1
11500	68.8
11800	68.5
12200	68.1
12500	67.6
12800	67
13200	66.4
13600	66
14000	65.6
14500	65.1
15000	64.2
15500	63.2
16000	62.1
16500	60.9
17000	59.6
17500	58.2
18000	56.9
18500	55.6
19000	54.3
19500	52.8
20000	51.1
20600	49.3
21200	47.6
21800	45.8
22400	44
