Frequency Spectrum for Input Signal

Data Shown:    K8.2 (QSC Audio Products, LLC)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 180°  Par: 80°

Freq [Hz]	Signal Level [dBSPL]
22.4	62.3
23	62.2
23.6	62
24	61.7
25	61.5
25.8	61.3
26.5	61.2
27.2	61.1
28	61
29	61
30	61
30.7	61
31.5	61.3
32.5	62
33.5	63
34.5	64.6
35.5	66.7
36.5	69
37.5	71.4
38.7	73.6
40	75.7
41.2	77.8
42.5	79.8
43.7	81.7
45	83.6
46.2	85.4
47.5	87.1
48.7	88.7
50	90.3
51.5	91.7
53	93.1
54.5	94.3
56	95.5
58	96.6
60	97.5
61.5	98.4
63	99.1
65	99.8
67	100.3
69	100.8
71	101.3
73	101.6
75	102
77.5	102.2
80	102.4
82.5	102.7
85	102.9
87.5	103
90	103.1
92.5	103.2
95	103.2
97.5	103.3
100	103.3
103	103.3
106	103.3
109	103.2
112	103.2
115	103.1
118	102.9
122	102.8
125	102.6
128	102.4
132	102.2
136	101.9
140	101.6
145	101.4
150	101.1
155	100.9
160	100.8
165	100.7
170	100.6
175	100.6
180	100.6
185	100.5
190	100.5
195	100.5
200	100.6
206	100.6
212	100.6
218	100.7
224	100.7
230	100.6
236	100.6
240	100.6
250	100.5
258	100.5
265	100.5
272	100.4
280	100.4
290	100.3
300	100.2
307	100
315	99.8
325	99.6
335	99.4
345	99.1
355	98.9
365	98.6
375	98.4
387	98.1
400	97.7
412	97.4
425	97
437	96.6
450	96.3
462	96
475	95.8
487	95.5
500	95.1
515	94.8
530	94.3
545	93.9
560	93.5
580	93.1
600	92.9
615	92.6
630	92.5
650	92.4
670	92.4
690	92.3
710	92.2
730	92.1
750	91.9
775	91.8
800	91.6
825	91.5
850	91.4
875	91.2
900	91
925	90.9
950	90.7
975	90.5
1000	90.4
1030	90.2
1060	90.1
1090	90
1120	89.9
1150	89.7
1180	89.7
1220	89.6
1250	89.6
1280	89.5
1320	89.4
1360	89.2
1400	89
1450	88.8
1500	88.6
1550	88.4
1600	88.2
1650	87.9
1700	87.5
1750	87.2
1800	87
1850	86.8
1900	86.8
1950	86.7
2000	86.6
2060	86.4
2120	86.3
2180	86.1
2240	86
2300	86
2360	86
2400	86
2500	85.9
2580	85.9
2650	86
2720	86.1
2800	86.2
2900	86.2
3000	86.1
3070	86
3150	85.9
3250	85.9
3350	85.8
3450	85.7
3550	85.7
3650	85.6
3750	85.6
3870	85.5
4000	85.3
4120	85.2
4250	85.2
4370	85.2
4500	85.3
4620	85.4
4750	85.4
4870	85.4
5000	85.3
5150	85.2
5300	85
5450	84.9
5600	84.9
5800	84.9
6000	85
6150	85.1
6300	85.2
6500	85.3
6700	85.4
6900	85.3
7100	85.2
7300	85.1
7500	85
7750	85
8000	84.9
8250	84.9
8500	84.8
8750	84.6
9000	84.3
9250	84
9500	83.7
9750	83.5
10000	83.2
10300	83
10600	82.8
10900	82.4
11200	81.9
11500	81.5
11800	81.2
12200	80.8
12500	80.2
12800	79.4
13200	78.6
13600	77.8
14000	77.2
14500	76.8
15000	76.2
15500	75.4
16000	74.3
16500	72.8
17000	71.2
17500	70
18000	69
18500	67.5
19000	65.4
19500	63.6
20000	62.2
20600	60.9
21200	59.4
21800	58
22400	56.5
