Frequency Spectrum for Input Signal

Data Shown:    H1315 (RCF)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 90°  Par: 120°  

Freq [Hz]	Signal Level [dBSPL]
22.4	56.9
23	58.2
23.6	59.4
24	60.7
25	61.9
25.8	63.1
26.5	64.4
27.2	65.6
28	66.8
29	68
30	69.2
30.7	70.4
31.5	71.7
32.5	72.9
33.5	74.2
34.5	75.4
35.5	76.6
36.5	77.6
37.5	78.6
38.7	79.7
40	80.7
41.2	81.8
42.5	82.8
43.7	83.7
45	84.6
46.2	85.5
47.5	86.3
48.7	87.2
50	88
51.5	88.7
53	89.5
54.5	90.2
56	91.1
58	91.9
60	92.5
61.5	93.2
63	93.8
65	94.7
67	95.5
69	96.4
71	97.4
73	98.3
75	99.3
77.5	100.4
80	101.3
82.5	101.9
85	102.4
87.5	102.8
90	102.9
92.5	103
95	103.1
97.5	103.2
100	103.2
103	103.2
106	103.2
109	103.2
112	103.2
115	103.1
118	103.1
122	103.2
125	103.2
128	103.2
132	103.2
136	103.1
140	103
145	103.1
150	103.1
155	103
160	103
165	102.8
170	102.6
175	102.3
180	101.9
185	101.4
190	100.8
195	100.2
200	99.5
206	98.8
212	98.1
218	97.4
224	97
230	96.7
236	96.5
240	96.4
250	96.8
258	96.9
265	97
272	97.2
280	97.2
290	97.3
300	97.3
307	97.3
315	97.3
325	97.1
335	97
345	96.7
355	96.4
365	95.9
375	95.4
387	94.6
400	93.8
412	92.7
425	91.4
437	90.5
450	89.7
462	89.3
475	89.5
487	90
500	90.7
515	91.3
530	91.7
545	91.9
560	91.8
580	91.6
600	91
615	90.3
630	89.4
650	88.4
670	87.3
690	86.4
710	85.7
730	85.4
750	85.3
775	85.2
800	84.9
825	84.6
850	84.1
875	83.7
900	83.2
925	82.6
950	81.6
975	80
1000	77.7
1030	74.6
1060	71.2
1090	68.4
1120	66.8
1150	68
1180	72.2
1220	74.8
1250	75.2
1280	75.3
1320	77
1360	78.8
1400	78.9
1450	76.1
1500	71.5
1550	72.3
1600	74.7
1650	75.5
1700	77.4
1750	78.3
1800	76.3
1850	72.7
1900	71.9
1950	71
2000	66.1
2060	64
2120	65.8
2180	66.4
2240	66.1
2300	63.7
2360	64.1
2400	63
2500	57.4
2580	59.1
2650	67.7
2720	71.7
2800	69.8
2900	68
3000	66.3
3070	62.6
3150	63.9
3250	65.6
3350	65.1
3450	66.6
3550	65.2
3650	59.8
3750	62
3870	64.6
4000	64.9
4120	67.2
4250	68
4370	66
4500	64.7
4620	63.8
4750	61.4
4870	57.7
5000	57
5150	57.4
5300	57.8
5450	57.9
5600	55.9
5800	54.8
6000	56.7
6150	60.3
6300	61.4
6500	58.2
6700	54.8
6900	53.3
7100	51.4
7300	52.9
7500	54.3
7750	54.1
8000	56.1
8250	57.4
8500	56.6
8750	57.1
9000	57.4
9250	57.4
9500	57.2
9750	56.1
10000	54.2
10300	54
10600	55
10900	55.5
11200	56.3
11500	57.1
11800	58
12200	58.5
12500	58.8
12800	59
13200	58.4
13600	58
14000	58.2
14500	58.8
15000	60
15500	60.7
16000	61.3
16500	61.6
17000	60.8
17500	59.8
18000	58.7
18500	57.1
19000	55.9
19500	54.9
20000	53.8
20600	52.5
21200	51.8
21800	49.2
22400	48.8
