"Horizontal Reflections"
"Front"		"Side"		"Rear"		"Total Horizontal Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	71.9647	20.5078	71.7551	20.5078	71.2665	20.5078	71.5481
21.9727	75.0219	21.9727	74.7612	21.9727	74.0945	21.9727	74.4782
23.4375	77.3907	23.4375	77.1318	23.4375	76.4793	23.4375	76.8553
24.9023	79.126	24.9023	78.83	24.9023	78.1111	24.9023	78.5298
26.3672	80.6123	26.3672	80.2922	26.3672	79.4764	26.3672	79.9512
27.832	81.4686	27.832	81.1424	27.832	80.3135	27.832	80.7966
29.2969	81.9883	29.2969	81.6563	29.2969	80.8232	29.2969	81.3098
30.7617	82.3191	30.7617	81.9895	30.7617	81.1597	30.7617	81.644
32.2266	82.5537	32.2266	82.236	32.2266	81.4828	32.2266	81.9242
33.6914	82.7598	33.6914	82.4434	33.6914	81.7051	33.6914	82.1384
35.1562	82.8094	35.1562	82.4696	35.1562	81.6491	35.1562	82.1309
36.6211	82.9891	36.6211	82.6475	36.6211	81.8596	36.6211	82.3246
38.0859	83.1946	38.0859	82.8421	38.0859	82.0469	38.0859	82.5182
39.5508	83.4533	39.5508	83.0995	39.5508	82.3021	39.5508	82.7749
41.0156	83.6146	41.0156	83.2446	41.0156	82.4187	41.0156	82.9102
42.4805	83.9512	42.4805	83.5801	42.4805	82.7555	42.4805	83.2465
43.9453	84.131	43.9453	83.7442	43.9453	82.8708	43.9453	83.3913
45.4102	84.4424	45.4102	84.0572	45.4102	83.1951	45.4102	83.7093
46.875	84.744	46.875	84.3645	46.875	83.5308	46.875	84.0286
48.3398	85.01	48.3398	84.626	48.3398	83.8077	48.3398	84.2984
51.2695	85.5275	51.2695	85.1205	51.2695	84.2506	51.2695	84.7739
52.7344	85.7534	52.7344	85.3447	52.7344	84.4656	52.7344	84.9942
54.1992	86.0356	54.1992	85.6171	54.1992	84.7191	54.1992	85.2601
55.6641	86.3129	55.6641	85.8988	55.6641	85.0419	55.6641	85.56
58.5938	86.7271	58.5938	86.3141	58.5938	85.5012	58.5938	85.9957
60.0586	86.9293	60.0586	86.5198	60.0586	85.7125	60.0586	86.2032
62.9883	87.3212	62.9883	86.8947	62.9883	86.076	62.9883	86.5766
64.4531	87.479	64.4531	87.0417	64.4531	86.2169	64.4531	86.7233
67.3828	87.8816	67.3828	87.4162	67.3828	86.5598	67.3828	87.0895
68.8477	88.0788	68.8477	87.6004	68.8477	86.7393	68.8477	87.2746
71.7773	88.4541	71.7773	87.9448	71.7773	87.0077	71.7773	87.591
74.707	88.8139	74.707	88.2951	74.707	87.3492	74.707	87.9394
77.6367	89.1704	77.6367	88.6476	77.6367	87.7454	77.6367	88.3131
79.1016	89.3095	79.1016	88.773	79.1016	87.8742	79.1016	88.4434
82.0312	89.535	82.0312	88.9592	82.0312	88.024	82.0312	88.6221
84.9609	89.8279	84.9609	89.2067	84.9609	88.1262	84.9609	88.8145
87.8906	89.7057	87.8906	89.1224	87.8906	88.2088	87.8906	88.7971
90.8203	89.8307	90.8203	89.2356	90.8203	88.4022	90.8203	88.9502
95.2148	90.248	95.2148	89.5312	95.2148	88.3279	95.2148	89.1081
98.1445	89.9673	98.1445	89.2578	98.1445	88.1112	98.1445	88.858
101.074	89.7902	101.074	89.0663	101.074	88.0053	101.074	88.7083
105.469	90.1752	105.469	89.3083	105.469	88.0044	105.469	88.8799
108.398	90.3972	108.398	89.5331	108.398	88.0654	108.398	89.0341
112.793	90.5459	112.793	89.6362	112.793	88.1159	112.793	89.1273
117.188	90.407	117.188	89.4835	117.188	87.8613	117.188	88.9361
