Freq[Hz]     dBSPL  Phase[Deg]
5.00000     -5.772  -140.512
5.07273     -5.426  -138.105
5.14651     -5.130  -136.172
5.22137     -4.971  -135.562
5.29732     -4.811  -134.953
5.37437     -4.652  -134.344
5.45254     -4.493  -133.736
5.53185     -4.518  -133.070
5.61231     -4.738  -132.341
5.69394     -4.959  -131.613
5.77676     -5.179  -130.886
5.86079     -5.405  -130.095
5.94604     -5.929  -125.552
6.03252     -6.453  -121.010
6.12027     -6.977  -116.468
6.20929     -7.501  -111.928
6.29961     -7.320  -103.825
6.39124     -6.982   -94.932
6.48420     -6.644   -86.041
6.57851     -6.306   -77.151
6.67420     -5.436   -73.130
6.77128     -4.479   -69.901
6.86977     -3.522   -66.673
6.96969     -2.619   -63.867
7.07107     -2.132   -64.264
7.17392     -1.644   -64.663
7.27827     -1.157   -65.062
7.38413     -1.056   -65.314
7.49154     -1.254   -65.453
7.60050     -1.452   -65.593
7.71105     -1.768   -64.559
7.82321     -2.601   -58.366
7.93701     -3.435   -52.175
8.05245     -4.269   -45.984
8.16958     -3.621   -31.771
8.28841     -2.917   -17.260
8.40896     -2.213    -2.750
8.53128     -0.696     2.728
8.65537      0.925     7.040
8.78126      2.547    11.351
8.90899      3.473    11.919
9.03857      4.353    12.240
9.17004      5.167    12.817
9.30342      5.450    15.431
9.43874      5.733    18.045
9.57603      6.163    22.847
9.71532      6.817    30.994
9.85663      7.471    39.139
10.0000      8.963    45.265
10.1455     10.688    50.827
10.2930     12.410    54.643
10.4427     14.122    53.587
10.5946     15.835    52.530
10.7487     17.189    48.611
10.9051     18.472    44.120
11.0637     19.536    38.914
11.2246     20.370    32.953
11.3879     21.113    26.904
11.5535     21.521    20.540
11.7216     21.923    14.183
11.8921     21.912     8.381
12.0650     21.900     2.577
12.2405     21.545    -1.473
12.4186     21.146    -5.299
12.5992     20.624    -5.820
12.7825     20.075    -5.609
12.9684     19.958    -2.157
13.1570     19.941     2.049
13.3484     20.621     4.806
13.5426     21.415     7.326
13.7395     22.316     5.430
13.9394     23.178     3.045
14.1421     23.705    -1.753
14.3478     24.062    -6.653
14.5565     24.053   -11.772
14.7683     23.733   -15.473
14.9831     23.172   -18.079
15.2010     22.475   -15.034
15.4221     21.971    -9.940
15.6464     22.414    -0.081
15.8740     23.548     6.823
16.1049     25.235    11.367
16.3392     26.852     9.202
16.5768     28.252     5.515
16.8179     29.342    -0.018
17.0626     29.948    -5.958
17.3107     30.305   -11.343
17.5625     30.381   -15.803
17.8180     30.224   -17.029
18.0771     30.177   -15.906
18.3401     30.328   -12.598
18.6068     31.109    -8.179
18.8775     32.261    -5.828
19.1521     33.545    -5.501
19.4306     34.814    -7.290
19.7133     35.871   -10.711
20.0000     36.733   -14.389
20.2909     37.459   -17.845
20.5860     38.095   -20.793
20.8855     38.705   -23.083
21.1893     39.374   -24.812
21.4975     40.117   -26.511
21.8102     40.910   -28.424
22.1274     41.720   -30.631
22.4492     42.524   -33.081
22.7758     43.309   -35.638
23.1071     44.080   -38.175
23.4432     44.851   -40.656
23.7841     45.636   -43.147
24.1301     46.429   -45.737
24.4811     47.217   -48.449
24.8372     47.989   -51.243
25.1984     48.746   -54.055
25.5649     49.491   -56.854
25.9368     50.233   -59.669
26.3141     50.972   -62.568
26.6968     51.698   -65.607
27.0851     52.402   -68.784
27.4791     53.075   -72.047
27.8788     53.720   -75.340
28.2843     54.349   -78.668
28.6957     54.963   -82.102
29.1131     55.559   -85.715
29.5365     56.119   -89.521
29.9661     56.630   -93.444
30.4020     57.087   -97.350
30.8442     57.503  -101.105
31.2929     57.905  -104.711
31.7480     58.307  -108.246
32.2098     58.708  -111.806
32.6783     59.095  -115.443
33.1536     59.460  -119.112
33.6359     59.805  -122.745
34.1251     60.133  -126.294
34.6215     60.453  -129.767
35.1250     60.766  -133.202
35.6359     61.071  -136.623
36.1543     61.363  -140.035
36.6802     61.636  -143.407
37.2137     61.897  -146.692
37.7550     62.153  -149.887
38.3041     62.410  -153.024
38.8613     62.670  -156.170
39.4265     62.924  -159.328
40.0000     63.178  -162.453
40.5818     63.439  -165.564
41.1721     63.707  -168.805
41.7710     63.951  -172.227
42.3785     64.131  -175.622
42.9949     64.265  -178.606
43.6203     64.406   178.918
44.2548     64.602   176.670
44.8985     64.825   174.279
45.5515     65.030   171.782
46.2141     65.218   169.372
46.8863     65.416   167.058
47.5683     65.632   164.672
48.2602     65.854   162.171
48.9621     66.081   159.611
49.6743     66.323   156.985
50.3968     66.575   154.290
51.1299     66.829   151.607
51.8736     67.093   149.000
52.6281     67.362   146.455
53.3936     67.628   143.984
54.1702     67.887   141.608
54.9581     68.137   139.282
55.7575     68.373   136.937
56.5685     68.597   134.521
57.3914     68.811   131.954
58.2261     69.010   129.213
59.0730     69.197   126.396
59.9323     69.392   123.609
60.8040     69.612   120.880
61.6884     69.870   118.197
62.5857     70.156   115.481
63.4960     70.436   112.752
64.4196     70.700   110.165
65.3566     70.960   107.688
66.3073     71.208   105.145
67.2717     71.426   102.506
68.2502     71.624    99.829
69.2429     71.822    97.106
70.2501     72.031    94.280
71.2719     72.255    91.363
72.3086     72.496    88.325
73.3603     72.734    85.165
74.4274     72.959    82.015
75.5099     73.171    78.802
76.6083     73.342    75.659
77.7226     73.505    72.830
78.8531     73.700    70.053
80.0000     73.907    67.220
81.1636     74.126    64.270
82.3442     74.337    61.157
83.5419     74.536    57.905
84.7570     74.711    54.484
85.9899     74.867    50.980
87.2406     74.997    47.412
88.5096     75.134    43.984
89.7970     75.302    40.406
91.1031     75.460    36.646
92.4282     75.590    32.801
93.7726     75.663    29.019
95.1366     75.676    25.536
96.5204     75.679    22.411
97.9243     75.697    19.334
99.3486     75.737    16.127
100.794     75.798    12.694
102.260     75.873     9.137
103.747     75.954     5.534
105.256     76.027     1.999
106.787     76.079    -1.511
108.340     76.101    -5.083
109.916     76.067    -8.705
111.515     76.010   -11.967
113.137     75.999   -15.023
114.783     76.011   -18.129
116.452     76.014   -21.271
118.146     76.000   -24.420
