Freq[Hz]     dBSPL  Phase[Deg]
5.00000      2.765   -99.890
5.07273      3.134   -96.460
5.14651      3.450   -93.477
5.22137      3.617   -91.738
5.29732      3.784   -90.001
5.37437      3.950   -88.264
5.45254      4.117   -86.529
5.53185      4.091   -84.701
5.61231      3.859   -82.775
5.69394      3.628   -80.850
5.77676      3.396   -78.927
5.86079      3.160   -76.940
5.94604      2.605   -71.174
6.03252      2.051   -65.409
6.12027      1.496   -59.645
6.20929      0.942   -53.881
6.29961      1.079   -44.566
6.39124      1.370   -34.464
6.48420      1.661   -24.363
6.57851      1.951   -14.263
6.67420      2.764    -9.068
6.77128      3.661    -4.669
6.86977      4.559    -0.272
6.96969      5.401     3.697
7.07107      5.822     4.415
7.17392      6.243     5.131
7.27827      6.664     5.847
7.38413      6.696     6.678
7.49154      6.429     7.598
7.60050      6.162     8.517
7.71105      5.777    10.601
7.82321      4.875    17.806
7.93701      3.974    25.009
8.05245      3.072    32.212
8.16958      3.658    47.406
8.28841      4.300    62.898
8.40896      4.942    78.389
8.53128      6.403    84.836
8.65537      7.970    90.116
8.78126      9.537    95.395
8.90899     10.416    96.938
9.03857     11.250    98.235
9.17004     12.018    99.790
9.30342     12.264   103.409
9.43874     12.510   107.026
9.57603     12.907   112.851
9.71532     13.533   122.049
9.85663     14.159   131.246
10.0000     15.629   138.473
10.1455     17.334   145.151
10.2930     19.037   150.104
10.4427     20.736   150.244
10.5946     22.434   150.382
10.7487     23.778   147.735
10.9051     25.051   144.531
11.0637     26.107   140.661
11.2246     26.934   136.087
11.3879     27.669   131.448
11.5535     28.069   126.576
11.7216     28.462   121.713
11.8921     28.439   117.509
12.0650     28.417   113.303
12.2405     28.044   110.939
12.4186     27.627   108.812
12.5992     27.080   110.065
12.7825     26.504   112.067
12.9684     26.351   117.374
13.1570     26.298   123.450
13.3484     26.928   128.131
13.5426     27.670   132.583
13.7395     28.508   132.661
13.9394     29.304   132.255
14.1421     29.752   129.455
14.3478     30.026   126.553
14.5565     29.925   123.434
14.7683     29.506   121.723
14.9831     28.840   121.099
15.2010     28.029   126.098
15.4221     27.408   133.131
15.6464     27.727   144.891
15.8740     28.735   153.663
16.1049     30.294   160.048
16.3392     31.779   159.664
16.5768     33.048   157.728
16.8179     34.006   153.907
17.0626     34.482   149.622
17.3107     34.714   145.861
17.5625     34.668   142.992
17.8180     34.398   143.310
18.0771     34.244   145.955
18.3401     34.294   150.768
18.6068     34.987   156.674
18.8775     36.062   160.512
19.1521     37.279   162.336
19.4306     38.492   162.058
19.7133     39.506   160.187
20.0000     40.338   158.110
20.2909     41.043   156.312
20.5860     41.669   155.088
