"Estimated In-Room Response"	
"Estimated In-Room Response"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	47.2039
21.9727	49.7267
23.4375	52.4052
24.9023	54.1892
26.3672	56.2913
27.832	58.0642
29.2969	59.7683
30.7617	61.4945
32.2266	62.9378
33.6914	64.3603
35.1563	65.7592
36.6211	66.9269
38.0859	68.0047
39.5508	69.0344
41.0156	69.9127
42.4805	70.8263
43.9453	71.6347
45.4102	72.3217
46.875	72.9914
48.3398	73.5043
51.2695	74.5378
52.7344	74.9774
54.1992	75.293
55.6641	75.5584
58.5938	76.1973
60.0586	76.3828
62.9883	76.8907
64.4531	77.1141
67.3828	77.4556
68.8477	77.5405
71.7773	77.8391
74.707	78.241
77.6367	78.4307
79.1016	78.4221
82.0313	78.5692
84.9609	78.8249
87.8906	78.8366
90.8203	78.9781
95.2148	79.0983
98.1445	79.1687
101.074	79.2509
105.469	79.268
108.398	79.3913
112.793	79.3896
117.188	79.4165
120.117	79.378
124.512	79.4986
128.906	79.4226
133.301	79.3344
139.16	79.284
143.555	79.2112
147.949	79.1047
153.809	78.9952
159.668	78.9928
165.527	78.9646
171.387	78.8821
177.246	78.8183
183.105	78.5758
188.965	78.436
196.289	78.3524
203.613	78.2203
210.938	78.0696
218.262	77.8966
225.586	77.7929
232.91	77.7671
241.699	77.6389
250.488	77.3478
259.277	77.5222
268.066	77.3172
276.855	77.1412
287.109	77.3091
297.363	77.1326
307.617	77.2126
319.336	76.8375
329.59	76.821
341.309	76.7683
353.027	76.3954
366.211	76.4909
379.395	76.7785
392.578	76.6154
405.762	76.147
420.41	76.2361
435.059	76.2928
451.172	76.2013
465.82	76.4395
483.398	76.6383
499.512	76.6666
517.09	76.0631
536.133	73.2681
555.176	71.7099
574.219	72.4324
594.727	72.9478
615.234	73.4935
637.207	73.5168
659.18	73.2611
682.617	72.9769
707.52	73.4509
732.422	74.2918
757.324	75.1953
785.156	75.9108
811.523	75.6208
840.82	75.9206
870.117	75.7397
900.879	76.3107
933.105	76.9794
965.332	77.4888
1,000.49	77.8729
1,035.64	77.5342
1,072.27	76.0962
1,108.89	75.0469
1,148.44	74.8304
1,189.45	74.8826
1,230.47	75.248
1,274.41	75.7964
1,319.82	75.9343
1,366.7	75.8185
1,413.57	76.0302
1,463.38	76.1989
1,516.11	76.6906
1,568.85	76.7535
1,624.51	76.3229
1,681.64	75.7046
1,741.7	75.928
1,803.22	76.1864
1,866.21	75.6645
1,932.13	75.4261
1,999.51	75.6068
2,069.82	75.1895
2,143.07	75.3409
2,219.24	75.775
2,296.88	75.4407
2,378.91	75.4168
2,462.4	75.3736
2,548.83	74.7613
2,639.65	75.3306
2,731.93	75.9032
2,828.61	75.7462
2,928.22	76.3769
3,030.76	76.5232
3,137.7	76.7461
3,249.02	76.9805
3,363.28	77.2006
3,481.93	77.1449
3,604.98	77.2491
3,732.42	77.0642
3,864.26	77.3517
4,000.49	77.0345
4,141.11	77.0507
4,287.6	76.84
4,438.48	77.2439
4,595.21	77.4519
4,756.35	77.5555
4,924.8	77.4415
5,097.66	77.4396
5,277.83	77.1481
5,463.87	77.0154
5,657.23	76.6068
5,856.45	76.6071
6,062.99	76.3082
6,276.86	76.4472
6,498.05	76.5574
6,726.56	76.8609
6,963.87	76.8454
7,209.96	76.838
7,464.84	76.8887
7,727.05	76.7386
7,999.51	76.6178
8,282.23	76.3963
8,573.73	76.2814
8,876.95	76.3804
9,188.96	76.6529
9,514.16	76.924
9,849.61	77.0769
10,196.8	76.9273
10,555.7	76.4169
10,927.7	75.8981
11,313	75.5735
11,712.9	75.2588
12,126	74.7787
12,553.7	74.3596
12,996.1	73.9602
13,454.6	73.5947
13,929.2	73.2529
14,419.9	72.8906
14,928.2	72.4853
15,455.6	72.1919
16,000.5	71.9107
16,564.5	71.5591
17,148.9	71.0686
17,752.4	70.7342
18,379.4	70.4112
19,026.9	69.8132
19,697.8	68.9734
19,999.5	68.5816
