* Freq[Hz]     dBSPL  Phase[Deg]
5.00000    111.267   -99.952
5.07273    110.385  -100.678
5.14651    109.503  -101.414
5.22137    108.620  -102.160
5.29732    107.738  -102.918
5.37437    106.856  -103.686
5.45254    105.973  -104.466
5.53185    105.091  -105.257
5.61231    104.209  -106.060
5.69394    103.326  -106.874
5.77676    102.444  -107.700
5.86079    101.562  -108.538
5.94604    100.679  -109.388
6.03252     99.797  -110.251
6.12027     98.915  -111.126
6.20929     98.032  -112.014
6.29961     97.150  -112.915
6.39124     96.267  -113.828
6.48420     95.385  -114.756
6.57851     94.503  -115.696
6.67420     93.620  -116.651
6.77128     92.738  -117.619
6.86977     91.856  -118.601
6.96969     90.973  -119.598
7.07107     90.091  -120.609
7.17392     89.209  -121.635
7.27827     88.326  -122.676
7.38413     87.444  -123.732
7.49154     86.562  -124.803
7.60050     85.679  -125.890
7.71105     84.797  -126.992
7.82321     83.915  -128.111
7.93701     83.032  -129.246
8.05245     82.150  -130.397
8.16958     81.268  -131.565
8.28841     80.385  -132.751
8.40896     79.503  -133.953
8.53128     78.621  -135.173
8.65537     77.738  -136.411
8.78126     76.856  -137.666
8.90899     75.974  -138.940
9.03857     75.091  -140.233
9.17004     74.209  -141.544
9.30342     73.326  -142.874
9.43874     72.444  -144.224
9.57603     71.562  -145.593
9.71532     70.679  -146.983
9.85663     69.797  -148.392
10.0000     68.915  -149.822
10.1455     68.032  -151.273
10.2930     67.150  -152.745
10.4427     66.268  -154.238
10.5946     65.385  -155.753
10.7487     64.503  -157.290
10.9051     63.621  -158.849
11.0637     62.738  -160.431
11.2246     61.856  -162.036
11.3879     60.974  -163.665
11.5535     60.091  -165.317
11.7216     59.209  -166.993
11.8921     58.327  -168.693
12.0650     57.444  -170.419
12.2405     56.562  -172.169
12.4186     55.680  -173.945
12.5992     54.797  -175.746
12.7825     53.915  -177.574
12.9684     53.033  -179.428
13.1570     52.150   178.690
13.3484     51.268   176.781
13.5426     50.385   174.845
13.7395     49.503   172.880
13.9394     48.621   170.887
14.1421     47.738   168.865
14.3478     46.856   166.813
14.5565     45.974   164.732
14.7683     45.091   162.620
14.9831     44.209   160.477
15.2010     43.327   158.304
15.4221     42.444   156.098
15.6464     41.562   153.861
15.8740     40.680   151.591
16.1049     39.797   149.288
16.3392     38.915   146.952
16.5768     38.033   144.582
16.8179     37.150   142.177
17.0626     36.268   139.737
17.3107     35.386   137.262
17.5625     34.503   134.750
17.8180     33.621   132.202
18.0771     32.739   129.617
18.3401     31.856   126.995
18.6068     31.775   124.447
18.8775     31.694   121.899
19.1521     31.551   118.703
19.4306     31.313   114.518
19.7133     31.075   110.333
20.0000     30.627   105.908
20.2909     30.121   101.416
20.5860     29.508    96.928
20.8855     28.600    92.450
21.1893     27.691    87.972
21.4975     26.153    84.403
21.8102     24.489    81.015
22.1274     22.339    84.337
22.4492     19.676    94.756
22.7758     17.423   106.765
23.1071     16.669   124.568
23.4432     15.943   142.385
23.7841     16.872   161.047
24.1301     17.801   179.709
24.4811     20.368  -174.697
24.8372     23.146  -170.789
25.1984     24.672  -172.434
25.5649     25.919  -175.310
25.9368     26.589  -177.830
26.3141     27.125   179.733
26.6968     27.321   179.187
27.0851     27.463   178.947
27.4791     27.578  -178.061
27.8788     27.739  -174.651
28.2843     28.261  -169.009
28.6957     28.975  -163.423
29.1131     30.101  -157.958
29.5365     31.466  -154.086
29.9661     33.016  -151.444
30.4020     34.609  -151.679
30.8442     36.178  -152.830
31.2929     37.616  -155.844
31.7480     38.942  -159.561
32.2098     40.179  -163.841
32.6783     41.236  -168.738
33.1536     42.223  -173.768
33.6359     43.116  -178.958
34.1251     43.891   175.819
34.6215     44.610   170.637
35.1250     45.263   165.524
35.6359     45.835   160.612
36.1543     46.367   155.857
36.6802     46.860   151.274
37.2137     47.307   146.976
37.7550     47.856   141.737
38.3041     48.278   137.786
38.8613     48.467   136.184
39.4265     48.840   133.092
40.0000     49.214   130.398
40.5818     49.601   128.096
41.1721     50.015   126.207
41.7710     50.472   124.736
42.3785     51.014   123.706
42.9949     51.652   122.908
43.6203     52.396   122.169
44.2548     53.250   121.308
44.8985     54.211   120.127
45.5515     55.265   118.445
46.2141     56.390   116.119
46.8863     57.559   113.070
47.5683     58.742   109.249
48.2602     59.916   104.751
48.9621     61.065    99.658
49.6743     62.179    94.048
