Freq[Hz]     dBSPL  Phase[Deg]
5.00000     -2.311    20.111
5.07273     -2.448    23.406
5.14651     -2.525    27.124
5.22137     -2.432    32.019
5.29732     -2.340    36.915
5.37437     -2.248    41.811
5.45254     -2.155    46.707
5.53185     -1.921    51.019
5.61231     -1.537    54.714
5.69394     -1.153    58.409
5.77676     -0.769    62.104
5.86079     -0.387    65.768
5.94604     -0.120    67.607
6.03252      0.146    69.447
6.12027      0.412    71.286
6.20929      0.678    73.126
6.29961      0.656    75.032
6.39124      0.571    76.954
6.48420      0.486    78.875
6.57851      0.401    80.797
6.67420      0.108    85.536
6.77128     -0.220    90.733
6.86977     -0.547    95.930
6.96969     -0.801   101.543
7.07107     -0.503   110.322
7.17392     -0.204   119.101
7.27827      0.095   127.880
7.38413      0.718   134.497
7.49154      1.593   139.443
7.60050      2.467   144.389
7.71105      3.276   148.712
7.82321      3.802   150.297
7.93701      4.327   151.882
8.05245      4.852   153.468
8.16958      4.757   155.540
8.28841      4.638   157.631
8.40896      4.520   159.722
8.53128      3.987   167.968
8.65537      3.402   177.009
8.78126      2.816  -173.950
8.90899      3.816  -158.395
9.03857      4.919  -142.414
9.17004      6.130  -127.538
9.30342      8.194  -121.469
9.43874     10.258  -115.400
9.57603     12.142  -111.282
9.71532     13.753  -110.146
9.85663     15.364  -109.009
10.0000     16.649  -108.871
10.1455     17.843  -109.011
10.2930     18.972  -109.254
10.4427     19.920  -109.787
10.5946     20.867  -110.319
10.7487     21.718  -111.166
10.9051     22.550  -112.076
11.0637     23.327  -113.236
11.2246     24.045  -114.660
11.3879     24.732  -116.178
11.5535     25.302  -118.036
11.7216     25.868  -119.894
11.8921     26.258  -121.803
12.0650     26.647  -123.712
12.2405     26.886  -125.128
12.4186     27.106  -126.479
12.5992     27.263  -126.883
12.7825     27.405  -127.077
12.9684     27.622  -126.322
13.1570     27.857  -125.346
13.3484     28.287  -124.301
13.5426     28.748  -123.245
13.7395     29.359  -123.447
13.9394     29.973  -123.898
14.1421     30.560  -125.870
14.3478     31.088  -128.224
14.5565     31.490  -131.398
14.7683     31.753  -134.740
14.9831     31.907  -138.211
15.2010     31.862  -141.039
15.4221     31.761  -143.432
15.6464     31.566  -144.393
15.8740     31.443  -144.214
16.1049     31.378  -143.124
16.3392     31.658  -141.334
16.5768     32.074  -140.054
16.8179     32.670  -139.551
17.0626     33.310  -140.841
17.3107     33.897  -142.905
17.5625     34.396  -145.797
17.8180     34.697  -148.978
18.0771     34.892  -151.831
18.3401     34.991  -154.205
18.6068     35.031  -155.413
18.8775     35.132  -155.672
19.1521     35.325  -155.398
19.4306     35.639  -154.849
19.7133     36.091  -154.678
20.0000     36.575  -155.104
20.2909     37.045  -155.970
20.5860     37.476  -157.132
20.8855     37.856  -158.382
21.1893     38.198  -159.509
21.4975     38.534  -160.553
21.8102     38.871  -161.646
22.1274     39.199  -162.893
22.4492     39.497  -164.325
22.7758     39.748  -165.863
23.1071     39.945  -167.320
23.4432     40.106  -168.491
23.7841     40.274  -169.277
24.1301     40.498  -169.867
24.4811     40.789  -170.567
24.8372     41.124  -171.624
25.1984     41.465  -173.097
25.5649     41.779  -174.843
25.9368     42.064  -176.614
26.3141     42.337  -178.204
26.6968     42.630  -179.556
27.0851     42.968   179.227
27.4791     43.352   177.981
27.8788     43.756   176.624
28.2843     44.162   175.225
28.6957     44.557   173.912
29.1131     44.949   172.772
29.5365     45.344   171.800
29.9661     45.746   170.924
30.4020     46.142   170.077
30.8442     46.517   169.252
31.2929     46.865   168.484
31.7480     47.191   167.802
32.2098     47.501   167.188
32.6783     47.806   166.579
33.1536     48.107   165.894
33.6359     48.404   165.092
34.1251     48.695   164.145
34.6215     48.986   163.069
35.1250     49.275   161.901
35.6359     49.574   160.662
36.1543     49.887   159.384
36.6802     50.221   158.074
37.2137     50.576   156.721
37.7550     50.943   155.338
