Freq[Hz]     dBSPL  Phase[Deg]
5.00000      0.031    21.544
5.07273     -0.102    24.958
5.14651     -0.176    28.799
5.22137     -0.083    33.831
5.29732      0.010    38.863
5.37437      0.103    43.895
5.45254      0.195    48.927
5.53185      0.428    53.381
5.61231      0.808    57.224
5.69394      1.188    61.067
5.77676      1.568    64.910
5.86079      1.946    68.723
5.94604      2.203    70.715
6.03252      2.460    72.708
6.12027      2.717    74.700
6.20929      2.974    76.693
6.29961      2.940    78.749
6.39124      2.840    80.820
6.48420      2.740    82.890
6.57851      2.641    84.961
6.67420      2.328    89.838
6.77128      1.981    95.171
6.86977      1.634   100.504
6.96969      1.359   106.250
7.07107      1.632   115.142
7.17392      1.906   124.034
7.27827      2.180   132.927
7.38413      2.776   139.638
7.49154      3.621   144.666
7.60050      4.466   149.693
7.71105      5.245   154.089
7.82321      5.738   155.716
7.93701      6.230   157.342
8.05245      6.722   158.968
8.16958      6.592   161.036
8.28841      6.439   163.121
8.40896      6.286   165.206
8.53128      5.718   173.401
8.65537      5.097  -177.615
8.78126      4.476  -168.632
8.90899      5.442  -153.185
9.03857      6.512  -137.315
9.17004      7.689  -122.557
9.30342      9.722  -116.655
9.43874     11.756  -110.752
9.57603     13.612  -106.820
9.71532     15.198  -105.901
9.85663     16.784  -104.982
10.0000     18.050  -105.096
10.1455     19.227  -105.499
10.2930     20.342  -106.015
10.4427     21.282  -106.845
10.5946     22.222  -107.675
10.7487     23.074  -108.840
10.9051     23.909  -110.070
11.0637     24.695  -111.554
11.2246     25.429  -113.305
11.3879     26.134  -115.147
11.5535     26.732  -117.320
11.7216     27.327  -119.493
11.8921     27.758  -121.684
12.0650     28.188  -123.876
12.2405     28.480  -125.527
12.4186     28.753  -127.109
12.5992     28.971  -127.686
12.7825     29.177  -128.039
12.9684     29.465  -127.373
13.1570     29.772  -126.469
13.3484     30.278  -125.411
13.5426     30.817  -124.328
13.7395     31.509  -124.399
13.9394     32.202  -124.703
14.1421     32.867  -126.430
14.3478     33.472  -128.504
14.5565     33.949  -131.324
14.7683     34.282  -134.254
14.9831     34.503  -137.268
15.2010     34.514  -139.562
15.4221     34.466  -141.392
15.6464     34.313  -141.727
15.8740     34.224  -140.889
16.1049     34.185  -139.113
16.3392     34.475  -136.598
16.5768     34.894  -134.583
16.8179     35.482  -133.336
17.0626     36.097  -133.882
17.3107     36.650  -135.214
17.5625     37.105  -137.390
17.8180     37.345  -139.898
18.0771     37.470  -142.116
18.3401     37.489  -143.900
18.6068     37.437  -144.594
18.8775     37.437  -144.419
19.1521     37.525  -143.784
19.4306     37.728  -142.956
19.7133     38.065  -142.623
20.0000     38.434  -142.990
20.2909     38.792  -143.894
20.5860     39.115  -145.189
20.8855     39.394  -146.664
21.1893     39.646  -148.120
21.4975     39.905  -149.562
21.8102     40.180  -151.104
22.1274     40.463  -152.833
22.4492     40.733  -154.759
22.7758     40.972  -156.779
23.1071     41.172  -158.682
23.4432     41.351  -160.241
23.7841     41.553  -161.330
24.1301     41.817  -162.125
24.4811     42.153  -162.925
24.8372     42.535  -163.973
25.1984     42.920  -165.332
25.5649     43.273  -166.865
25.9368     43.586  -168.338
26.3141     43.874  -169.564
26.6968     44.168  -170.508
27.0851     44.492  -171.299
27.4791     44.844  -172.127
27.8788     45.204  -173.101
28.2843     45.550  -174.176
28.6957     45.876  -175.242
29.1131     46.192  -176.226
29.5365     46.509  -177.141
29.9661     46.832  -178.056
30.4020     47.157  -179.034
30.8442     47.468   179.923
31.2929     47.764   178.885
31.7480     48.050   177.900
32.2098     48.334   176.977
32.6783     48.625   176.077
33.1536     48.924   175.145
33.6359     49.225   174.149
34.1251     49.524   173.079
34.6215     49.824   171.951
35.1250     50.120   170.787
35.6359     50.419   169.605
36.1543     50.725   168.411
36.6802     51.043   167.192
37.2137     51.374   165.914
37.7550     51.711   164.574
38.3041     52.050   163.213
38.8613     52.390   161.902
39.4265     52.742   160.658
40.0000     53.108   159.396
40.5818     53.472   158.043
41.1721     53.814   156.639
41.7710     54.128   155.274
42.3785     54.419   153.975
42.9949     54.687   152.701
43.6203     54.926   151.510
44.2548     55.155   150.494
44.8985     55.412   149.485
45.5515     55.681   148.219
46.2141     55.928   146.755
46.8863     56.168   145.385
47.5683     56.464   143.997
48.2602     56.793   142.126
48.9621     57.075   139.931
49.6743     57.317   138.048
50.3968     57.606   136.563
51.1299     57.961   134.967
51.8736     58.311   133.166
52.6281     58.640   131.501
53.3936     58.978   130.007
54.1702     59.317   128.511
54.9581     59.639   127.033
55.7575     59.945   125.571
56.5685     60.232   124.046
57.3914     60.502   122.443
58.2261     60.756   120.712
59.0730     60.986   118.846
59.9323     61.204   116.993
60.8040     61.436   115.194
61.6884     61.698   113.366
62.5857     61.983   111.461
63.4960     62.277   109.485
64.4196     62.568   107.513
65.3566     62.849   105.596
66.3073     63.115   103.756
67.2717     63.371   102.022
68.2502     63.624   100.291
69.2429     63.870    98.499
70.2501     64.118    96.670
71.2719     64.378    94.701
72.3086     64.637    92.555
73.3603     64.888    90.276
74.4274     65.123    87.951
75.5099     65.350    85.712
76.6083     65.574    83.519
77.7226     65.788    81.458
78.8531     66.018    79.545
80.0000     66.270    77.567
81.1636     66.521    75.426
82.3442     66.769    73.174
83.5419     67.018    70.738
84.7570     67.254    68.165
85.9899     67.481    65.589
87.2406     67.709    63.089
88.5096     67.943    60.579
89.7970     68.172    57.984
91.1031     68.387    55.176
92.4282     68.565    52.174
93.7726     68.701    49.176
95.1366     68.816    46.469
96.5204     68.958    44.118
97.9243     69.137    41.857
99.3486     69.325    39.488
100.794     69.505    36.963
102.260     69.681    34.270
103.747     69.859    31.421
105.256     70.042    28.496
106.787     70.226    25.497
108.340     70.379    22.372
109.916     70.489    19.343
111.515     70.562    16.461
113.137     70.666    13.825
114.783     70.781    10.950
116.452     70.876     8.036
118.146     70.973     5.204
119.865     71.085     2.289
121.608     71.196    -0.706
123.377     71.293    -3.706
125.171     71.374    -6.735
126.992     71.449    -9.764
128.839     71.539   -12.905
130.713     71.623   -16.290
132.615     71.651   -19.586
134.543     71.663   -22.535
136.500     71.708   -25.566
138.486     71.726   -28.518
140.500     71.719   -31.668
142.544     71.706   -34.770
144.617     71.697   -37.556
146.721     71.703   -40.033
148.855     71.798   -42.975
151.020     71.867   -46.623
153.217     71.803   -49.965
155.445     71.811   -52.677
157.706     71.815   -56.161
160.000     71.615   -59.349
162.327     71.512   -61.422
164.688     71.530   -63.650
167.084     71.660   -66.113
169.514     71.758   -70.138
