Freq[Hz]     dBSPL  Phase[Deg]
Freq[Hz]     dBSPL  Phase[Deg]
5.00000    -17.766   -14.721
5.07273    -17.409   -14.807
5.14651    -17.022   -14.900
5.22137    -16.589   -15.002
5.29732    -16.137   -15.109
5.37437    -15.664   -15.221
5.45254    -15.192   -15.335
5.53185    -14.719   -15.449
5.61231    -14.247   -15.565
5.69394    -13.774   -15.683
5.77676    -13.302   -15.802
5.86079    -12.829   -15.922
5.94604    -12.357   -16.044
6.03252    -11.884   -16.167
6.12027    -11.412   -16.292
6.20929    -10.939   -16.418
6.29961    -10.466   -16.546
6.39124     -9.994   -16.676
6.48420     -9.521   -16.807
6.57851     -9.048   -16.940
6.67420     -8.575   -17.075
6.77128     -8.102   -17.212
6.86977     -7.629   -17.351
6.96969     -7.156   -17.492
7.07107     -6.683   -17.634
7.17392     -6.210   -17.779
7.27827     -5.737   -17.927
7.38413     -5.263   -18.076
7.49154     -4.790   -18.228
7.60050     -4.316   -18.382
7.71105     -3.843   -18.539
7.82321     -3.369   -18.698
7.93701     -2.896   -18.860
8.05245     -2.422   -19.024
8.16958     -1.948   -19.191
8.28841     -1.474   -19.361
8.40896     -1.000   -19.533
8.53128     -0.527   -19.708
8.65537     -0.053   -19.886
8.78126      0.421   -20.066
8.90899      0.895   -20.250
9.03857      1.369   -20.436
9.17004      1.843   -20.625
9.30342      2.317   -20.816
9.43874      2.791   -21.011
9.57603      3.266   -21.208
9.71532      3.740   -21.408
9.85663      4.214   -21.611
10.0000      4.688   -21.817
10.1455      5.163   -22.027
10.2930      5.637   -22.239
10.4427      6.112   -22.454
10.5946      6.587   -22.672
10.7487      7.061   -22.894
10.9051      7.536   -23.119
11.0637      8.011   -23.347
11.2246      8.486   -23.579
11.3879      8.961   -23.814
11.5535      9.437   -24.053
11.7216      9.912   -24.296
11.8921     10.387   -24.542
12.0650     10.863   -24.793
12.2405     11.339   -25.047
12.4186     11.814   -25.305
12.5992     12.290   -25.568
