Freq[Hz]     dBSPL  Phase[Deg]
Freq[Hz]     dBSPL  Phase[Deg]
5.00000    -17.632   -10.825
5.07273    -17.277   -10.916
5.14651    -16.890   -11.016
5.22137    -16.457   -11.127
5.29732    -16.006   -11.243
5.37437    -15.534   -11.367
5.45254    -15.062   -11.492
5.53185    -14.590   -11.619
5.61231    -14.118   -11.748
5.69394    -13.647   -11.879
5.77676    -13.175   -12.011
5.86079    -12.703   -12.146
5.94604    -12.231   -12.283
6.03252    -11.759   -12.421
6.12027    -11.287   -12.562
6.20929    -10.815   -12.705
6.29961    -10.343   -12.849
6.39124     -9.870   -12.996
6.48420     -9.398   -13.146
6.57851     -8.926   -13.297
6.67420     -8.454   -13.450
6.77128     -7.982   -13.606
6.86977     -7.509   -13.764
6.96969     -7.037   -13.925
7.07107     -6.565   -14.088
7.17392     -6.092   -14.253
7.27827     -5.620   -14.420
7.38413     -5.148   -14.591
7.49154     -4.675   -14.763
7.60050     -4.203   -14.938
7.71105     -3.730   -15.116
7.82321     -3.257   -15.297
7.93701     -2.785   -15.480
8.05245     -2.312   -15.666
8.16958     -1.839   -15.854
8.28841     -1.366   -16.046
8.40896     -0.894   -16.240
8.53128     -0.421   -16.437
8.65537      0.052   -16.637
8.78126      0.525   -16.840
8.90899      0.998   -17.046
9.03857      1.471   -17.255
9.17004      1.945   -17.468
9.30342      2.418   -17.683
9.43874      2.891   -17.902
9.57603      3.364   -18.124
9.71532      3.838   -18.349
9.85663      4.311   -18.578
10.0000      4.785   -18.810
10.1455      5.259   -19.045
10.2930      5.732   -19.284
10.4427      6.206   -19.527
10.5946      6.680   -19.774
10.7487      7.154   -20.024
10.9051      7.628   -20.278
11.0637      8.102   -20.535
11.2246      8.576   -20.797
11.3879      9.050   -21.063
11.5535      9.525   -21.332
11.7216      9.999   -21.606
11.8921     10.474   -21.884
12.0650     10.949   -22.166
12.2405     11.423   -22.453
12.4186     11.898   -22.743
12.5992     12.373   -23.039
12.7825     12.848   -23.339
12.9684     13.324   -23.643
13.1570     13.799   -23.952
13.3484     14.274   -24.266
13.5426     14.750   -24.585
13.7395     15.226   -24.909
