Freq[Hz]     dBSPL  Phase[Deg]
Freq[Hz]     dBSPL  Phase[Deg]
5.00000    -11.953   -12.591
5.07273    -11.596   -12.682
5.14651    -11.208   -12.781
5.22137    -10.774   -12.891
5.29732    -10.322   -13.007
5.37437     -9.848   -13.129
5.45254     -9.375   -13.253
5.53185     -8.901   -13.379
5.61231     -8.428   -13.506
5.69394     -7.954   -13.635
5.77676     -7.481   -13.766
5.86079     -7.007   -13.899
5.94604     -6.534   -14.034
6.03252     -6.060   -14.171
6.12027     -5.587   -14.310
6.20929     -5.113   -14.451
6.29961     -4.639   -14.594
6.39124     -4.166   -14.739
6.48420     -3.692   -14.887
6.57851     -3.218   -15.036
6.67420     -2.745   -15.187
6.77128     -2.271   -15.341
6.86977     -1.797   -15.497
6.96969     -1.324   -15.656
7.07107     -0.850   -15.816
7.17392     -0.376   -15.979
7.27827      0.098   -16.144
7.38413      0.572   -16.312
7.49154      1.045   -16.482
7.60050      1.519   -16.655
7.71105      1.993   -16.830
7.82321      2.467   -17.008
7.93701      2.941   -17.188
8.05245      3.415   -17.371
8.16958      3.889   -17.557
8.28841      4.363   -17.745
8.40896      4.837   -17.936
8.53128      5.311   -18.130
8.65537      5.786   -18.327
8.78126      6.260   -18.526
8.90899      6.734   -18.729
9.03857      7.208   -18.934
9.17004      7.683   -19.143
9.30342      8.157   -19.354
9.43874      8.631   -19.569
9.57603      9.106   -19.787
9.71532      9.580   -20.008
9.85663     10.055   -20.232
10.0000     10.529   -20.459
10.1455     11.004   -20.690
10.2930     11.478   -20.925
10.4427     11.953   -21.162
10.5946     12.428   -21.403
10.7487     12.903   -21.648
10.9051     13.378   -21.897
11.0637     13.852   -22.148
11.2246     14.327   -22.404
11.3879     14.802   -22.664
11.5535     15.278   -22.927
11.7216     15.753   -23.194
11.8921     16.228   -23.465
12.0650     16.703   -23.740
12.2405     17.179   -24.019
12.4186     17.654   -24.303
12.5992     18.130   -24.590
12.7825     18.605   -24.882
12.9684     19.081   -25.178
13.1570     19.557   -25.478
13.3484     20.033   -25.783
13.5426     20.509   -26.092
13.7395     20.985   -26.406
13.9394     21.461   -26.725
14.1421     21.937   -27.048
14.3478     22.413   -27.376
14.5565     22.890   -27.709
14.7683     23.366   -28.047
14.9831     23.843   -28.391
15.2010     24.320   -28.739
15.4221     24.797   -29.092
15.6464     25.274   -29.451
15.8740     25.751   -29.815
16.1049     26.229   -30.185
16.3392     26.706   -30.560
16.5768     27.184   -30.940
16.8179     27.662   -31.327
17.0626     28.140   -31.719
17.3107     28.618   -32.118
17.5625     29.096   -32.522
17.8180     29.575   -32.933
18.0771     30.053   -33.349
18.3401     30.532   -33.773
18.6068     31.011   -34.202
18.8775     31.491   -34.638
19.1521     31.970   -35.081
19.4306     32.450   -35.531
19.7133     32.929   -36.010
20.0000     33.404   -36.544
20.2909     33.871   -37.141
20.5860     34.324   -37.752
20.8855     34.760   -38.182
21.1893     35.180   -38.342
21.4975     35.596   -38.361
21.8102     36.022   -38.368
22.1274     36.470   -38.474
22.4492     36.947   -38.730
22.7758     37.453   -39.096
23.1071     37.975   -39.580
23.4432     38.503   -40.146
23.7841     39.025   -40.863
24.1301     39.532   -41.870
24.4811     40.026   -43.032
24.8372     40.505   -44.127
25.1984     40.976   -45.070
25.5649     41.446   -45.814
25.9368     41.916   -46.471
26.3141     42.390   -47.179
26.6968     42.866   -48.000
27.0851     43.343   -48.964
27.4791     43.818   -50.024
27.8788     44.292   -51.084
28.2843     44.766   -52.056
28.6957     45.240   -52.953
29.1131     45.717   -53.848
29.5365     46.197   -54.796
29.9661     46.681   -55.862
30.4020     47.162   -56.982
30.8442     47.637   -58.113
31.2929     48.106   -59.269
31.7480     48.565   -60.435
32.2098     49.020   -61.658
32.6783     49.476   -62.938
33.1536     49.939   -64.051
33.6359     50.411   -64.880
34.1251     50.896   -65.419
34.6215     51.396   -65.989
