Freq[Hz]     dBSPL  Phase[Deg]
Freq[Hz]     dBSPL  Phase[Deg]
5.00000    -11.329   -11.286
5.07273    -10.974   -11.376
5.14651    -10.588   -11.474
5.22137    -10.157   -11.582
5.29732     -9.707   -11.696
5.37437     -9.237   -11.816
5.45254     -8.767   -11.937
5.53185     -8.297   -12.060
5.61231     -7.827   -12.185
5.69394     -7.357   -12.312
5.77676     -6.887   -12.441
5.86079     -6.417   -12.571
5.94604     -5.946   -12.704
6.03252     -5.476   -12.838
6.12027     -5.006   -12.974
6.20929     -4.536   -13.113
6.29961     -4.066   -13.253
6.39124     -3.595   -13.395
6.48420     -3.125   -13.540
6.57851     -2.655   -13.686
6.67420     -2.185   -13.835
6.77128     -1.714   -13.986
6.86977     -1.244   -14.139
6.96969     -0.774   -14.294
7.07107     -0.303   -14.451
7.17392      0.167   -14.611
7.27827      0.638   -14.773
7.38413      1.108   -14.938
7.49154      1.579   -15.105
7.60050      2.049   -15.274
7.71105      2.520   -15.446
7.82321      2.990   -15.620
7.93701      3.461   -15.797
8.05245      3.931   -15.976
8.16958      4.402   -16.158
8.28841      4.873   -16.343
8.40896      5.343   -16.530
8.53128      5.814   -16.720
8.65537      6.285   -16.913
8.78126      6.756   -17.109
8.90899      7.226   -17.308
9.03857      7.697   -17.509
9.17004      8.168   -17.714
9.30342      8.639   -17.921
9.43874      9.110   -18.131
9.57603      9.581   -18.345
9.71532     10.052   -18.562
9.85663     10.523   -18.781
10.0000     10.995   -19.005
10.1455     11.466   -19.231
10.2930     11.937   -19.461
10.4427     12.408   -19.694
10.5946     12.880   -19.930
10.7487     13.351   -20.170
10.9051     13.823   -20.413
11.0637     14.294   -20.660
11.2246     14.766   -20.911
11.3879     15.237   -21.165
11.5535     15.709   -21.423
11.7216     16.181   -21.685
11.8921     16.653   -21.951
12.0650     17.125   -22.221
12.2405     17.597   -22.494
12.4186     18.069   -22.772
12.5992     18.541   -23.054
12.7825     19.013   -23.340
12.9684     19.485   -23.630
13.1570     19.958   -23.925
13.3484     20.430   -24.223
13.5426     20.903   -24.527
13.7395     21.375   -24.834
13.9394     21.848   -25.147
14.1421     22.321   -25.464
14.3478     22.794   -25.786
14.5565     23.267   -26.112
14.7683     23.740   -26.444
14.9831     24.214   -26.780
15.2010     24.687   -27.121
15.4221     25.161   -27.468
15.6464     25.634   -27.819
15.8740     26.108   -28.176
16.1049     26.582   -28.539
16.3392     27.056   -28.907
16.5768     27.531   -29.280
16.8179     28.005   -29.659
17.0626     28.480   -30.044
17.3107     28.955   -30.434
17.5625     29.429   -30.831
17.8180     29.905   -31.233
18.0771     30.380   -31.642
18.3401     30.855   -32.057
18.6068     31.331   -32.478
18.8775     31.807   -32.906
19.1521     32.283   -33.341
19.4306     32.760   -33.782
19.7133     33.234   -34.244
20.0000     33.705   -34.746
20.2909     34.165   -35.288
20.5860     34.611   -35.834
20.8855     35.046   -36.248
21.1893     35.473   -36.471
21.4975     35.902   -36.600
21.8102     36.345   -36.732
22.1274     36.804   -36.937
22.4492     37.280   -37.237
22.7758     37.769   -37.595
23.1071     38.268   -38.031
23.4432     38.771   -38.532
23.7841     39.276   -39.173
24.1301     39.779   -40.076
24.4811     40.275   -41.128
24.8372     40.763   -42.148
25.1984     41.243   -43.053
25.5649     41.716   -43.788
25.9368     42.186   -44.443
26.3141     42.657   -45.131
26.6968     43.130   -45.908
27.0851     43.605   -46.808
27.4791     44.083   -47.798
27.8788     44.561   -48.799
28.2843     45.040   -49.740
28.6957     45.519   -50.631
29.1131     45.997   -51.533
29.5365     46.473   -52.476
29.9661     46.949   -53.501
30.4020     47.425   -54.542
30.8442     47.899   -55.570
31.2929     48.373   -56.624
31.7480     48.845   -57.731
32.2098     49.314   -58.945
32.6783     49.778   -60.251
33.1536     50.241   -61.390
33.6359     50.707   -62.211
34.1251     51.186   -62.683
34.6215     51.684   -63.166
35.1250     52.203   -63.939
35.6359     52.736   -65.099
36.1543     53.271   -66.443
36.6802     53.801   -67.831
37.2137     54.325   -69.160
37.7550     54.844   -70.436
38.3041     55.360   -71.800
38.8613     55.878   -73.438
39.4265     56.396   -75.151
40.0000     56.912   -76.767
40.5818     57.429   -78.184
41.1721     57.947   -79.561
41.7710     58.466   -81.072
42.3785     58.983   -82.836
42.9949     59.496   -84.841
43.6203     60.000   -86.986
44.2548     60.495   -89.134
44.8985     60.981   -91.153
45.5515     61.463   -92.990
46.2141     61.945   -94.706
46.8863     62.429   -96.405
47.5683     62.919   -98.169
48.2602     63.414  -100.056
48.9621     63.915  -102.064
49.6743     64.418  -104.164
50.3968     64.922  -106.335
51.1299     65.425  -108.558
51.8736     65.927  -110.826
52.6281     66.426  -113.146
53.3936     66.920  -115.538
54.1702     67.410  -118.014
54.9581     67.894  -120.564
55.7575     68.371  -123.188
56.5685     68.843  -125.892
57.3914     69.308  -128.650
58.2261     69.766  -131.453
59.0730     70.217  -134.322
59.9323     70.658  -137.279
60.8040     71.087  -140.323
61.6884     71.505  -143.437
62.5857     71.911  -146.618
63.4960     72.306  -149.862
64.4196     72.684  -153.154
65.3566     73.044  -156.490
66.3073     73.388  -159.868
67.2717     73.717  -163.277
68.2502     74.036  -166.709
69.2429     74.345  -170.177
70.2501     74.640  -173.696
71.2719     74.913  -177.266
72.3086     75.160   179.153
73.3603     75.382   175.615
74.4274     75.584   172.142
75.5099     75.770   168.739
76.6083     75.943   165.386
77.7226     76.104   162.058
78.8531     76.251   158.758
80.0000     76.384   155.490
81.1636     76.503   152.276
82.3442     76.610   149.138
83.5419     76.705   146.066
84.7570     76.788   143.056
85.9899     76.860   140.122
87.2406     76.922   137.267
88.5096     76.977   134.494
89.7970     77.026   131.800
91.1031     77.072   129.174
92.4282     77.116   126.599
93.7726     77.158   124.078
95.1366     77.195   121.609
96.5204     77.228   119.182
97.9243     77.256   116.795
99.3486     77.278   114.460
100.794     77.295   112.179
102.260     77.308   109.959
103.747     77.318   107.809
105.256     77.330   105.725
106.787     77.346   103.668
108.340     77.361   101.611
109.916     77.372    99.565
111.515     77.375    97.550
113.137     77.370    95.585
114.783     77.361    93.694
116.452     77.353    91.869
118.146     77.347    90.078
119.865     77.341    88.305
121.608     77.332    86.553
123.377     77.318    84.840
125.171     77.301    83.191
126.992     77.284    81.603
128.839     77.268    80.065
130.713     77.256    78.568
132.615     77.248    77.090
134.543     77.241    75.620
136.500     77.234    74.168
138.486     77.228    72.735
140.500     77.223    71.315
142.544     77.218    69.910
144.617     77.213    68.517
146.721     77.209    67.131
148.855     77.202    65.756
151.020     77.193    64.394
153.217     77.181    63.050
155.445     77.166    61.731
157.706     77.148    60.433
160.000     77.126    59.162
162.327     77.100    57.946
164.688     77.074    56.800
167.084     77.053    55.717
169.514     77.041    54.678
171.980     77.038    53.643
174.481     77.041    52.576
177.019     77.043    51.475
179.594     77.040    50.351
182.206     77.030    49.238
184.856     77.017    48.164
187.545     77.005    47.124
190.273     76.993    46.114
193.041     76.983    45.129
195.849     76.975    44.160
198.697     76.969    43.198
201.587     76.962    42.231
204.520     76.951    41.261
207.494     76.933    40.330
210.512     76.913    39.482
213.574     76.898    38.740
216.681     76.900    38.067
219.833     76.923    37.368
223.030     76.960    36.555
226.274     76.995    35.577
229.565     77.013    34.487
232.905     77.011    33.403
236.292     76.996    32.397
239.729     76.977    31.502
243.216     76.964    30.705
246.754     76.960    29.952
250.343     76.964    29.203
253.984     76.973    28.463
257.678     76.993    27.735
261.426     77.027    26.929
265.229     77.059    25.973
269.087     77.074    24.917
273.001     77.069    23.831
276.972     77.042    22.818
281.000     77.010    21.993
285.088     76.999    21.321
289.234     77.015    20.641
293.441     77.047    19.812
297.709     77.075    18.808
302.040     77.082    17.709
306.433     77.067    16.630
310.890     77.038    15.650
315.412     77.004    14.795
320.000     76.978    14.018
324.655     76.960    13.237
