Freq[Hz]     dBSPL  Phase[Deg]
5.00000    -12.029   -12.882
5.07273    -11.672   -12.972
5.14651    -11.284   -13.070
5.22137    -10.850   -13.178
5.29732    -10.397   -13.292
5.37437     -9.923   -13.411
5.45254     -9.449   -13.533
5.53185     -8.975   -13.656
5.61231     -8.501   -13.781
5.69394     -8.027   -13.908
5.77676     -7.553   -14.036
5.86079     -7.079   -14.167
5.94604     -6.606   -14.299
6.03252     -6.132   -14.434
6.12027     -5.658   -14.570
6.20929     -5.184   -14.708
6.29961     -4.710   -14.849
6.39124     -4.236   -14.991
6.48420     -3.762   -15.135
6.57851     -3.288   -15.282
6.67420     -2.813   -15.431
6.77128     -2.339   -15.581
6.86977     -1.865   -15.734
6.96969     -1.391   -15.890
7.07107     -0.917   -16.047
7.17392     -0.443   -16.207
7.27827      0.031   -16.369
7.38413      0.506   -16.534
7.49154      0.980   -16.701
7.60050      1.454   -16.870
7.71105      1.929   -17.042
7.82321      2.403   -17.216
7.93701      2.877   -17.393
8.05245      3.352   -17.572
8.16958      3.826   -17.754
8.28841      4.301   -17.939
8.40896      4.775   -18.126
8.53128      5.250   -18.317
8.65537      5.724   -18.510
8.78126      6.199   -18.705
8.90899      6.673   -18.904
9.03857      7.148   -19.106
9.17004      7.623   -19.310
9.30342      8.097   -19.518
9.43874      8.572   -19.728
9.57603      9.047   -19.942
9.71532      9.522   -20.158
9.85663      9.997   -20.378
10.0000     10.472   -20.602
10.1455     10.947   -20.828
10.2930     11.422   -21.058
10.4427     11.897   -21.291
10.5946     12.372   -21.527
10.7487     12.847   -21.767
10.9051     13.322   -22.011
11.0637     13.798   -22.258
11.2246     14.273   -22.509
11.3879     14.749   -22.763
11.5535     15.224   -23.022
11.7216     15.700   -23.284
11.8921     16.175   -23.549
12.0650     16.651   -23.819
12.2405     17.127   -24.093
12.4186     17.603   -24.371
12.5992     18.078   -24.653
12.7825     18.555   -24.939
12.9684     19.031   -25.229
13.1570     19.507   -25.524
13.3484     19.983   -25.823
13.5426     20.459   -26.126
13.7395     20.936   -26.434
13.9394     21.412   -26.747
14.1421     21.889   -27.064
14.3478     22.366   -27.386
14.5565     22.843   -27.713
14.7683     23.320   -28.044
14.9831     23.797   -28.381
15.2010     24.274   -28.722
15.4221     24.751   -29.069
15.6464     25.229   -29.421
15.8740     25.707   -29.778
16.1049     26.184   -30.141
16.3392     26.662   -30.508
16.5768     27.140   -30.882
16.8179     27.619   -31.261
17.0626     28.097   -31.646
17.3107     28.575   -32.037
17.5625     29.054   -32.434
17.8180     29.533   -32.836
18.0771     30.012   -33.245
18.3401     30.491   -33.660
18.6068     30.971   -34.082
18.8775     31.451   -34.510
19.1521     31.931   -34.945
19.4306     32.411   -35.386
19.7133     32.891   -35.844
20.0000     33.369   -36.332
20.2909     33.842   -36.848
20.5860     34.308   -37.360
20.8855     34.761   -37.768
21.1893     35.200   -38.036
21.4975     35.633   -38.254
21.8102     36.067   -38.498
22.1274     36.511   -38.790
22.4492     36.972   -39.093
22.7758     37.455   -39.354
23.1071     37.957   -39.649
23.4432     38.474   -40.020
23.7841     38.997   -40.585
24.1301     39.518   -41.503
24.4811     40.031   -42.633
24.8372     40.527   -43.748
25.1984     41.008   -44.739
25.5649     41.479   -45.528
25.9368     41.946   -46.210
26.3141     42.416   -46.912
26.6968     42.892   -47.705
27.0851     43.374   -48.637
27.4791     43.859   -49.677
27.8788     44.342   -50.741
28.2843     44.822   -51.738
28.6957     45.299   -52.673
29.1131     45.775   -53.607
29.5365     46.251   -54.576
29.9661     46.727   -55.636
30.4020     47.203   -56.714
30.8442     47.678   -57.777
31.2929     48.153   -58.857
31.7480     48.629   -59.991
32.2098     49.102   -61.259
32.6783     49.571   -62.668
33.1536     50.027   -63.933
33.6359     50.476   -64.848
34.1251     50.929   -65.327
34.6215     51.410   -65.729
35.1250     51.929   -66.392
35.6359     52.472   -67.492
36.1543     53.017   -68.851
36.6802     53.553   -70.298
37.2137     54.077   -71.686
37.7550     54.592   -72.998
38.3041     55.110   -74.367
38.8613     55.636   -76.014
39.4265     56.162   -77.775
40.0000     56.680   -79.447
40.5818     57.191   -80.887
41.1721     57.703   -82.242
41.7710     58.224   -83.700
42.3785     58.753   -85.424
42.9949     59.285   -87.443
43.6203     59.811   -89.672
44.2548     60.322   -91.969
44.8985     60.814   -94.176
45.5515     61.290   -96.192
46.2141     61.757   -98.044
46.8863     62.226   -99.827
47.5683     62.702  -101.629
48.2602     63.187  -103.526
48.9621     63.682  -105.540
49.6743     64.183  -107.648
50.3968     64.687  -109.836
51.1299     65.192  -112.086
51.8736     65.695  -114.384
52.6281     66.195  -116.746
53.3936     66.691  -119.191
54.1702     67.182  -121.731
54.9581     67.666  -124.349
55.7575     68.143  -127.045
56.5685     68.612  -129.824
57.3914     69.073  -132.658
58.2261     69.526  -135.526
59.0730     69.971  -138.447
59.9323     70.407  -141.447
60.8040     70.833  -144.529
61.6884     71.248  -147.680
62.5857     71.653  -150.900
63.4960     72.047  -154.187
64.4196     72.425  -157.534
65.3566     72.784  -160.939
66.3073     73.125  -164.393
67.2717     73.450  -167.882
68.2502     73.763  -171.383
69.2429     74.066  -174.893
70.2501     74.360  -178.426
71.2719     74.637   177.996
72.3086     74.890   174.389
73.3603     75.118   170.796
74.4274     75.324   167.236
75.5099     75.510   163.725
76.6083     75.682   160.256
77.7226     75.841   156.814
78.8531     75.986   153.403
80.0000     76.115   150.025
81.1636     76.228   146.704
82.3442     76.327   143.473
83.5419     76.413   140.325
84.7570     76.489   137.255
85.9899     76.555   134.268
87.2406     76.615   131.356
88.5096     76.667   128.515
89.7970     76.713   125.744
91.1031     76.756   123.036
92.4282     76.798   120.384
93.7726     76.836   117.785
95.1366     76.869   115.239
96.5204     76.900   112.735
97.9243     76.925   110.270
99.3486     76.946   107.852
100.794     76.961   105.483
102.260     76.972   103.167
103.747     76.980   100.916
105.256     76.987    98.739
106.787     76.996    96.612
108.340     77.009    94.501
109.916     77.019    92.406
111.515     77.026    90.334
113.137     77.027    88.293
114.783     77.026    86.301
116.452     77.026    84.351
118.146     77.027    82.409
119.865     77.028    80.461
121.608     77.022    78.513
123.377     77.005    76.595
125.171     76.981    74.751
126.992     76.954    72.991
128.839     76.930    71.296
130.713     76.911    69.639
132.615     76.896    67.981
134.543     76.880    66.311
136.500     76.857    64.653
138.486     76.828    63.046
140.500     76.798    61.515
142.544     76.771    60.058
144.617     76.751    58.655
146.721     76.740    57.268
148.855     76.734    55.868
151.020     76.729    54.443
153.217     76.720    53.005
155.445     76.709    51.576
157.706     76.697    50.163
160.000     76.682    48.760
162.327     76.666    47.381
164.688     76.649    46.033
167.084     76.634    44.714
169.514     76.623    43.421
171.980     76.615    42.123
174.481     76.607    40.798
177.019     76.595    39.461
179.594     76.578    38.121
182.206     76.554    36.797
184.856     76.529    35.518
187.545     76.505    34.272
190.273     76.483    33.045
193.041     76.461    31.843
195.849     76.443    30.658
198.697     76.430    29.466
201.587     76.419    28.229
204.520     76.402    26.927
207.494     76.371    25.603
210.512     76.322    24.338
213.574     76.263    23.210
216.681     76.210    22.224
219.833     76.174    21.303
223.030     76.155    20.362
226.274     76.147    19.339
229.565     76.139    18.222
232.905     76.121    17.078
236.292     76.098    15.960
239.729     76.073    14.876
243.216     76.048    13.807
246.754     76.021    12.740
250.343     75.990    11.688
253.984     75.958    10.673
257.678     75.928     9.703
261.426     75.909     8.761
265.229     75.905     7.765
269.087     75.901     6.645
273.001     75.888     5.446
276.972     75.859     4.222
281.000     75.813     3.064
285.088     75.764     2.058
289.234     75.729     1.142
293.441     75.713     0.216
297.709     75.709    -0.788
302.040     75.706    -1.899
306.433     75.701    -3.077
310.890     75.689    -4.346
315.412     75.659    -5.707
320.000     75.608    -7.082
324.655     75.536    -8.453
329.377     75.444    -9.743
334.168     75.349   -10.867
339.028     75.266   -11.909
343.959     75.192   -12.972
348.962     75.119   -14.097
354.038     75.026   -15.268
359.188     74.911   -16.364
364.412     74.786   -17.313
369.713     74.666   -18.149
375.090     74.557   -18.907
380.546     74.459   -19.636
386.081     74.369   -20.405
391.697     74.269   -21.199
397.394     74.157   -21.969
403.175     74.030   -22.671
409.039     73.887   -23.190
414.989     73.753   -23.430
421.025     73.655   -23.450
427.149     73.605   -23.391
433.362     73.607   -23.429
439.665     73.638   -23.790
446.060     73.658   -24.470
452.548     73.654   -25.217
459.131     73.646   -25.953
465.809     73.646   -26.764
472.584     73.652   -27.698
479.458     73.653   -28.856
486.432     73.616   -30.279
493.507     73.505   -31.711
500.686     73.335   -32.778
507.968     73.155   -33.358
515.357     72.995   -33.518
522.853     72.893   -33.353
530.458     72.876   -33.148
538.174     72.923   -33.223
546.002     73.013   -33.717
553.943     73.110   -34.759
562.001     73.150   -36.356
570.175     73.082   -38.230
