Freq[Hz]     dBSPL  Phase[Deg]
Freq[Hz]     dBSPL  Phase[Deg]
5.00000     -7.864   -18.273
5.07273     -7.521   -18.368
5.14651     -7.152   -18.467
5.22137     -6.742   -18.572
5.29732     -6.315   -18.680
5.37437     -5.871   -18.792
5.45254     -5.426   -18.905
5.53185     -4.981   -19.020
5.61231     -4.537   -19.136
5.69394     -4.092   -19.254
5.77676     -3.648   -19.374
5.86079     -3.203   -19.496
5.94604     -2.758   -19.620
6.03252     -2.314   -19.745
6.12027     -1.869   -19.872
6.20929     -1.425   -20.001
6.29961     -0.980   -20.132
6.39124     -0.535   -20.265
6.48420     -0.091   -20.400
6.57851      0.354   -20.536
6.67420      0.799   -20.675
6.77128      1.243   -20.816
6.86977      1.688   -20.959
6.96969      2.133   -21.103
7.07107      2.578   -21.250
7.17392      3.022   -21.400
7.27827      3.467   -21.551
7.38413      3.912   -21.704
7.49154      4.356   -21.860
7.60050      4.801   -22.018
7.71105      5.246   -22.179
7.82321      5.691   -22.341
7.93701      6.136   -22.506
8.05245      6.580   -22.674
8.16958      7.025   -22.844
8.28841      7.470   -23.017
8.40896      7.915   -23.192
8.53128      8.360   -23.369
8.65537      8.805   -23.549
8.78126      9.250   -23.732
8.90899      9.695   -23.918
9.03857     10.139   -24.106
9.17004     10.584   -24.297
9.30342     11.029   -24.491
9.43874     11.474   -24.687
9.57603     11.919   -24.887
9.71532     12.364   -25.090
9.85663     12.809   -25.295
10.0000     13.254   -25.504
10.1455     13.700   -25.715
10.2930     14.145   -25.930
10.4427     14.590   -26.148
10.5946     15.035   -26.369
10.7487     15.480   -26.593
10.9051     15.925   -26.821
11.0637     16.371   -27.052
11.2246     16.816   -27.287
11.3879     17.261   -27.524
11.5535     17.707   -27.766
11.7216     18.152   -28.011
11.8921     18.597   -28.260
12.0650     19.043   -28.512
12.2405     19.488   -28.768
12.4186     19.934   -29.028
12.5992     20.379   -29.292
12.7825     20.825   -29.560
12.9684     21.270   -29.832
13.1570     21.716   -30.108
13.3484     22.162   -30.387
13.5426     22.607   -30.672
13.7395     23.053   -30.960
13.9394     23.499   -31.253
14.1421     23.945   -31.550
14.3478     24.391   -31.852
14.5565     24.837   -32.158
14.7683     25.283   -32.468
14.9831     25.729   -32.784
15.2010     26.175   -33.104
15.4221     26.621   -33.429
15.6464     27.067   -33.759
15.8740     27.514   -34.094
16.1049     27.960   -34.434
16.3392     28.407   -34.780
16.5768     28.853   -35.130
16.8179     29.300   -35.486
17.0626     29.747   -35.848
17.3107     30.193   -36.214
17.5625     30.640   -36.587
17.8180     31.087   -36.965
18.0771     31.534   -37.350
18.3401     31.981   -37.740
18.6068     32.428   -38.136
18.8775     32.876   -38.539
19.1521     33.323   -38.947
19.4306     33.771   -39.362
19.7133     34.225   -39.773
20.0000     34.695   -40.165
20.2909     35.194   -40.563
20.5860     35.728   -41.035
20.8855     36.270   -41.756
21.1893     36.793   -42.787
21.4975     37.270   -43.934
21.8102     37.676   -44.953
22.1274     38.032   -45.646
22.4492     38.388   -45.910
22.7758     38.780   -45.827
23.1071     39.224   -45.673
23.4432     39.721   -45.711
23.7841     40.240   -46.023
24.1301     40.749   -46.587
24.4811     41.236   -47.340
24.8372     41.701   -48.217
25.1984     42.155   -49.145
25.5649     42.613   -50.040
25.9368     43.082   -50.904
26.3141     43.569   -51.752
26.6968     44.063   -52.642
27.0851     44.553   -53.626
27.4791     45.032   -54.670
27.8788     45.492   -55.749
28.2843     45.938   -56.839
28.6957     46.380   -57.884
29.1131     46.826   -58.882
29.5365     47.285   -59.872
29.9661     47.760   -60.870
30.4020     48.246   -61.924
30.8442     48.733   -63.054
31.2929     49.210   -64.244
31.7480     49.678   -65.485
32.2098     50.140   -66.748
32.6783     50.599   -67.988
33.1536     51.071   -69.249
33.6359     51.560   -70.591
34.1251     52.059   -71.947
34.6215     52.544   -73.435
35.1250     53.000   -74.985
35.6359     53.437   -76.339
36.1543     53.866   -77.622
36.6802     54.304   -78.929
37.2137     54.772   -80.227
37.7550     55.266   -81.653
38.3041     55.769   -83.250
38.8613     56.259   -84.937
39.4265     56.735   -86.585
40.0000     57.200   -88.179
40.5818     57.664   -89.780
41.1721     58.131   -91.432
41.7710     58.603   -93.144
42.3785     59.074   -94.922
42.9949     59.544   -96.760
43.6203     60.017   -98.605
44.2548     60.486  -100.479
44.8985     60.954  -102.386
45.5515     61.425  -104.304
46.2141     61.894  -106.279
46.8863     62.357  -108.309
47.5683     62.813  -110.353
48.2602     63.265  -112.439
48.9621     63.718  -114.584
49.6743     64.171  -116.779
50.3968     64.625  -119.058
51.1299     65.081  -121.408
51.8736     65.531  -123.797
52.6281     65.973  -126.200
53.3936     66.410  -128.595
54.1702     66.841  -131.042
54.9581     67.266  -133.589
55.7575     67.684  -136.207
56.5685     68.094  -138.918
57.3914     68.495  -141.685
58.2261     68.888  -144.447
59.0730     69.272  -147.224
59.9323     69.650  -150.038
60.8040     70.023  -152.890
61.6884     70.387  -155.802
62.5857     70.742  -158.748
63.4960     71.085  -161.748
64.4196     71.409  -164.801
65.3566     71.716  -167.873
66.3073     72.009  -170.970
67.2717     72.293  -174.059
68.2502     72.571  -177.116
69.2429     72.843   179.818
70.2501     73.106   176.729
71.2719     73.353   173.596
72.3086     73.580   170.424
73.3603     73.787   167.259
74.4274     73.979   164.131
75.5099     74.161   161.062
76.6083     74.335   158.049
77.7226     74.502   155.067
78.8531     74.658   152.107
80.0000     74.798   149.172
