Freq[Hz]     dBSPL  Phase[Deg]
5.00000     -7.904   -18.478
5.07273     -7.561   -18.572
5.14651     -7.190   -18.670
5.22137     -6.779   -18.774
5.29732     -6.352   -18.880
5.37437     -5.906   -18.990
5.45254     -5.461   -19.102
5.53185     -5.015   -19.215
5.61231     -4.569   -19.330
5.69394     -4.123   -19.447
5.77676     -3.678   -19.565
5.86079     -3.232   -19.685
5.94604     -2.786   -19.807
6.03252     -2.340   -19.930
6.12027     -1.895   -20.056
6.20929     -1.449   -20.183
6.29961     -1.003   -20.312
6.39124     -0.557   -20.443
6.48420     -0.111   -20.576
6.57851      0.334   -20.711
6.67420      0.780   -20.847
6.77128      1.226   -20.986
6.86977      1.672   -21.127
6.96969      2.118   -21.270
7.07107      2.563   -21.415
7.17392      3.009   -21.562
7.27827      3.455   -21.711
7.38413      3.901   -21.862
7.49154      4.347   -22.016
7.60050      4.793   -22.172
7.71105      5.239   -22.330
7.82321      5.685   -22.490
7.93701      6.131   -22.653
8.05245      6.577   -22.818
8.16958      7.023   -22.986
8.28841      7.469   -23.156
8.40896      7.915   -23.328
8.53128      8.361   -23.504
8.65537      8.807   -23.681
8.78126      9.253   -23.862
8.90899      9.699   -24.044
9.03857     10.145   -24.230
9.17004     10.591   -24.418
9.30342     11.037   -24.610
9.43874     11.483   -24.803
9.57603     11.929   -25.000
9.71532     12.375   -25.200
9.85663     12.822   -25.402
10.0000     13.268   -25.608
10.1455     13.714   -25.817
10.2930     14.160   -26.028
10.4427     14.607   -26.243
10.5946     15.053   -26.461
10.7487     15.499   -26.682
10.9051     15.945   -26.907
11.0637     16.392   -27.135
11.2246     16.838   -27.366
11.3879     17.285   -27.601
11.5535     17.731   -27.839
11.7216     18.178   -28.080
11.8921     18.624   -28.326
12.0650     19.071   -28.574
12.2405     19.517   -28.827
12.4186     19.964   -29.083
12.5992     20.411   -29.344
12.7825     20.857   -29.608
12.9684     21.304   -29.876
13.1570     21.751   -30.148
13.3484     22.198   -30.424
13.5426     22.645   -30.704
13.7395     23.091   -30.988
13.9394     23.538   -31.277
14.1421     23.985   -31.570
14.3478     24.432   -31.867
14.5565     24.880   -32.169
14.7683     25.327   -32.476
14.9831     25.774   -32.787
15.2010     26.221   -33.102
15.4221     26.669   -33.423
15.6464     27.116   -33.748
15.8740     27.563   -34.079
16.1049     28.011   -34.414
16.3392     28.459   -34.755
16.5768     28.906   -35.100
16.8179     29.354   -35.451
17.0626     29.802   -35.808
17.3107     30.250   -36.170
17.5625     30.698   -36.537
17.8180     31.146   -36.910
18.0771     31.594   -37.289
18.3401     32.042   -37.674
18.6068     32.491   -38.065
18.8775     32.939   -38.462
19.1521     33.388   -38.865
19.4306     33.836   -39.274
19.7133     34.292   -39.678
20.0000     34.762   -40.061
20.2909     35.263   -40.444
20.5860     35.797   -40.894
20.8855     36.339   -41.589
21.1893     36.861   -42.590
21.4975     37.339   -43.708
21.8102     37.748   -44.703
22.1274     38.109   -45.382
22.4492     38.469   -45.643
22.7758     38.865   -45.571
23.1071     39.310   -45.435
