Freq[Hz]     dBSPL  Phase[Deg]
5.00000    -14.966   -15.216
5.07273    -14.603   -15.304
5.14651    -14.177   -15.406
5.22137    -13.732   -15.512
5.29732    -13.288   -15.621
5.37437    -12.843   -15.730
5.45254    -12.398   -15.842
5.53185    -11.954   -15.954
5.61231    -11.509   -16.069
5.69394    -11.064   -16.185
5.77676    -10.619   -16.303
5.86079    -10.175   -16.423
5.94604     -9.730   -16.545
6.03252     -9.285   -16.668
6.12027     -8.840   -16.793
6.20929     -8.395   -16.920
6.29961     -7.951   -17.049
6.39124     -7.506   -17.179
6.48420     -7.061   -17.312
6.57851     -6.616   -17.447
6.67420     -6.171   -17.583
6.77128     -5.726   -17.722
6.86977     -5.280   -17.863
6.96969     -4.835   -18.006
7.07107     -4.390   -18.150
7.17392     -3.945   -18.298
7.27827     -3.500   -18.447
7.38413     -3.055   -18.598
7.49154     -2.609   -18.752
7.60050     -2.164   -18.908
7.71105     -1.719   -19.066
7.82321     -1.273   -19.227
7.93701     -0.828   -19.390
8.05245     -0.382   -19.555
8.16958      0.063   -19.723
8.28841      0.509   -19.894
8.40896      0.955   -20.067
8.53128      1.400   -20.243
8.65537      1.846   -20.421
8.78126      2.292   -20.602
8.90899      2.738   -20.785
9.03857      3.184   -20.972
9.17004      3.630   -21.161
9.30342      4.076   -21.353
9.43874      4.522   -21.548
9.57603      4.968   -21.746
9.71532      5.414   -21.947
9.85663      5.860   -22.150
10.0000      6.307   -22.357
10.1455      6.753   -22.568
10.2930      7.200   -22.781
10.4427      7.646   -22.997
10.5946      8.093   -23.217
10.7487      8.540   -23.440
10.9051      8.987   -23.667
11.0637      9.433   -23.897
11.2246      9.880   -24.130
11.3879     10.328   -24.367
11.5535     10.775   -24.608
11.7216     11.222   -24.853
11.8921     11.669   -25.101
12.0650     12.117   -25.353
12.2405     12.564   -25.609
12.4186     13.012   -25.868
12.5992     13.460   -26.132
12.7825     13.908   -26.400
12.9684     14.356   -26.672
13.1570     14.804   -26.948
13.3484     15.252   -27.229
13.5426     15.700   -27.514
13.7395     16.149   -27.803
13.9394     16.597   -28.097
14.1421     17.046   -28.396
14.3478     17.495   -28.699
14.5565     17.944   -29.007
14.7683     18.393   -29.320
14.9831     18.843   -29.638
15.2010     19.292   -29.961
15.4221     19.742   -30.289
15.6464     20.192   -30.623
15.8740     20.642   -30.961
16.1049     21.092   -31.306
16.3392     21.542   -31.655
16.5768     21.993   -32.010
16.8179     22.443   -32.372
17.0626     22.894   -32.739
17.3107     23.345   -33.111
17.5625     23.796   -33.490
17.8180     24.248   -33.876
18.0771     24.700   -34.267
18.3401     25.152   -34.665
18.6068     25.604   -35.070
18.8775     26.056   -35.482
19.1521     26.509   -35.900
19.4306     26.962   -36.325
19.7133     27.415   -36.758
20.0000     27.868   -37.197
20.2909     28.335   -37.621
20.5860     28.878   -37.915
20.8855     29.513   -38.148
21.1893     30.149   -38.989
21.4975     30.689   -40.862
21.8102     31.100   -42.970
22.1274     31.390   -43.932
22.4492     31.622   -43.591
22.7758     31.951   -42.887
23.1071     32.448   -42.522
23.4432     33.027   -42.542
23.7841     33.585   -42.808
24.1301     34.106   -43.373
24.4811     34.601   -44.234
24.8372     35.067   -45.314
25.1984     35.511   -46.441
25.5649     35.952   -47.437
25.9368     36.412   -48.216
26.3141     36.915   -48.862
26.6968     37.456   -49.573
27.0851     37.992   -50.544
27.4791     38.486   -51.774
27.8788     38.941   -53.021
28.2843     39.383   -54.095
28.6957     39.822   -55.114
29.1131     40.267   -56.189
29.5365     40.724   -57.232
29.9661     41.207   -58.161
30.4020     41.723   -59.076
30.8442     42.257   -60.201
31.2929     42.765   -61.566
31.7480     43.215   -62.985
32.2098     43.649   -64.280
32.6783     44.116   -65.466
33.1536     44.607   -66.625
33.6359     45.096   -67.989
34.1251     45.615   -69.459
34.6215     46.184   -70.712
35.1250     46.721   -72.294
35.6359     47.149   -74.354
36.1543     47.486   -76.033
36.6802     47.869   -76.799
37.2137     48.358   -77.776
37.7550     48.916   -79.568
38.3041     49.461   -81.548
38.8613     49.963   -83.251
39.4265     50.427   -84.793
40.0000     50.879   -86.352
40.5818     51.340   -87.898
41.1721     51.823   -89.530
41.7710     52.323   -91.325
42.3785     52.815   -93.180
42.9949     53.287   -95.049
43.6203     53.760   -96.932
44.2548     54.258   -98.813
44.8985     54.763  -100.740
45.5515     55.247  -102.751
46.2141     55.719  -104.784
46.8863     56.210  -106.842
47.5683     56.706  -109.032
48.2602     57.166  -111.258
48.9621     57.602  -113.422
49.6743     58.057  -115.615
50.3968     58.547  -117.957
51.1299     59.036  -120.446
51.8736     59.507  -122.981
52.6281     59.960  -125.521
53.3936     60.404  -127.947
54.1702     60.851  -130.280
54.9581     61.309  -132.759
55.7575     61.760  -135.630
56.5685     62.192  -138.657
57.3914     62.606  -141.570
58.2261     63.017  -144.372
59.0730     63.421  -147.208
59.9323     63.813  -150.123
60.8040     64.203  -153.119
61.6884     64.598  -156.173
62.5857     64.991  -159.225
63.4960     65.367  -162.283
64.4196     65.720  -165.480
65.3566     66.047  -168.862
66.3073     66.355  -172.315
67.2717     66.653  -175.651
68.2502     66.944  -178.859
69.2429     67.226   177.982
70.2501     67.503   174.782
71.2719     67.782   171.523
72.3086     68.054   168.202
73.3603     68.293   164.798
74.4274     68.495   161.360
75.5099     68.691   158.019
76.6083     68.900   154.816
77.7226     69.104   151.632
78.8531     69.286   148.356
80.0000     69.446   145.024
81.1636     69.577   141.740
82.3442     69.683   138.518
83.5419     69.787   135.465
84.7570     69.902   132.572
85.9899     70.025   129.648
87.2406     70.147   126.591
88.5096     70.248   123.575
89.7970     70.323   120.665
91.1031     70.390   117.760
92.4282     70.455   114.885
93.7726     70.513   112.079
