Freq[Hz]     dBSPL  Phase[Deg]
5.00000     24.196  -116.542
5.07273     24.251  -117.549
5.14651     24.323  -118.858
5.22137     24.419  -120.617
5.29732     24.525  -122.560
5.37437     24.642  -124.711
5.45254     24.759  -126.862
5.53185     24.876  -129.013
5.61231     24.999  -131.136
5.69394     25.133  -133.194
5.77676     25.295  -135.094
5.86079     25.497  -136.773
5.94604     25.738  -138.229
6.03252     26.016  -139.466
6.12027     26.319  -140.547
6.20929     26.632  -141.565
6.29961     26.949  -142.556
6.39124     27.266  -143.548
6.48420     27.583  -144.540
6.57851     27.900  -145.532
6.67420     28.217  -146.524
6.77128     28.534  -147.517
6.86977     28.850  -148.509
6.96969     29.167  -149.502
7.07107     29.484  -150.495
7.17392     29.801  -151.489
7.27827     30.118  -152.482
7.38413     30.435  -153.476
7.49154     30.752  -154.470
7.60050     31.069  -155.464
7.71105     31.386  -156.458
7.82321     31.703  -157.453
7.93701     32.020  -158.448
8.05245     32.337  -159.443
8.16958     32.654  -160.439
8.28841     32.971  -161.434
8.40896     33.287  -162.423
8.53128     33.601  -163.393
8.65537     33.910  -164.320
8.78126     34.212  -165.184
8.90899     34.507  -165.983
9.03857     34.796  -166.718
9.17004     35.080  -167.406
9.30342     35.363  -168.074
9.43874     35.644  -168.733
9.57603     35.926  -169.393
9.71532     36.207  -170.053
9.85663     36.489  -170.713
10.0000     36.770  -171.373
10.1455     37.051  -172.034
10.2930     37.333  -172.695
10.4427     37.614  -173.356
10.5946     37.896  -174.018
10.7487     38.177  -174.680
10.9051     38.459  -175.342
11.0637     38.740  -176.005
11.2246     39.021  -176.667
11.3879     39.301  -177.327
11.5535     39.578  -177.982
11.7216     39.851  -178.630
11.8921     40.121  -179.271
12.0650     40.387  -179.905
12.2405     40.651   179.467
12.4186     40.915   178.840
12.5992     41.177   178.213
12.7825     41.440   177.586
12.9684     41.703   176.959
13.1570     41.966   176.331
13.3484     42.229   175.703
13.5426     42.491   175.074
13.7395     42.754   174.445
13.9394     43.017   173.816
14.1421     43.278   173.185
14.3478     43.538   172.552
14.5565     43.794   171.915
14.7683     44.047   171.273
14.9831     44.296   170.628
15.2010     44.542   169.979
15.4221     44.786   169.327
15.6464     45.030   168.674
15.8740     45.274   168.021
16.1049     45.518   167.367
16.3392     45.761   166.713
16.5768     46.005   166.058
16.8179     46.249   165.402
17.0626     46.492   164.745
17.3107     46.735   164.085
17.5625     46.978   163.422
17.8180     47.220   162.754
18.0771     47.461   162.083
18.3401     47.702   161.409
18.6068     47.944   160.733
18.8775     48.184   160.057
19.1521     48.425   159.379
19.4306     48.666   158.701
19.7133     48.907   158.021
20.0000     49.147   157.337
20.2909     49.386   156.647
20.5860     49.623   155.948
20.8855     49.859   155.241
21.1893     50.093   154.526
21.4975     50.327   153.806
21.8102     50.560   153.083
22.1274     50.794   152.359
22.4492     51.027   151.634
22.7758     51.259   150.905
23.1071     51.491   150.171
23.4432     51.721   149.430
23.7841     51.950   148.681
24.1301     52.178   147.924
24.4811     52.405   147.162
24.8372     52.631   146.397
25.1984     52.857   145.630
25.5649     53.083   144.860
25.9368     53.308   144.084
26.3141     53.531   143.301
26.6968     53.753   142.509
27.0851     53.974   141.709
27.4791     54.193   140.902
27.8788     54.412   140.092
28.2843     54.631   139.278
28.6957     54.849   138.459
29.1131     55.066   137.634
29.5365     55.282   136.801
29.9661     55.496   135.960
30.4020     55.710   135.112
30.8442     55.924   134.260
31.2929     56.136   133.403
31.7480     56.348   132.540
32.2098     56.559   131.668
32.6783     56.768   130.789
33.1536     56.976   129.902
33.6359     57.183   129.008
34.1251     57.390   128.108
34.6215     57.595   127.203
35.1250     57.799   126.290
35.6359     58.003   125.370
36.1543     58.204   124.442
36.6802     58.405   123.507
37.2137     58.605   122.565
37.7550     58.804   121.617
38.3041     59.001   120.660
38.8613     59.198   119.694
39.4265     59.393   118.721
40.0000     59.587   117.740
40.5818     59.780   116.752
41.1721     59.972   115.755
41.7710     60.162   114.751
42.3785     60.352   113.739
42.9949     60.540   112.719
43.6203     60.726   111.691
44.2548     60.912   110.655
44.8985     61.096   109.610
45.5515     61.278   108.557
46.2141     61.460   107.495
46.8863     61.640   106.422
47.5683     61.820   105.340
48.2602     61.998   104.248
48.9621     62.176   103.144
49.6743     62.353   102.030
50.3968     62.530   100.904
51.1299     62.706    99.769
51.8736     62.882    98.621
52.6281     63.056    97.463
53.3936     63.228    96.295
54.1702     63.399    95.117
54.9581     63.568    93.929
55.7575     63.735    92.730
56.5685     63.901    91.523
57.3914     64.065    90.307
58.2261     64.227    89.082
59.0730     64.387    87.849
59.9323     64.546    86.610
60.8040     64.702    85.362
61.6884     64.857    84.107
62.5857     65.009    82.845
63.4960     65.159    81.574
64.4196     65.307    80.292
65.3566     65.452    79.001
66.3073     65.595    77.697
67.2717     65.735    76.380
68.2502     65.873    75.050
69.2429     66.008    73.706
70.2501     66.141    72.347
71.2719     66.272    70.975
72.3086     66.401    69.589
73.3603     66.528    68.189
74.4274     66.654    66.779
75.5099     66.778    65.357
76.6083     66.900    63.926
77.7226     67.021    62.487
78.8531     67.140    61.040
80.0000     67.256    59.586
81.1636     67.371    58.126
82.3442     67.482    56.658
83.5419     67.591    55.182
84.7570     67.698    53.697
85.9899     67.802    52.203
87.2406     67.902    50.699
88.5096     68.000    49.186
89.7970     68.096    47.663
91.1031     68.188    46.128
92.4282     68.279    44.581
93.7726     68.367    43.021
95.1366     68.453    41.449
96.5204     68.539    39.869
97.9243     68.622    38.284
99.3486     68.703    36.699
100.794     68.781    35.113
102.260     68.856    33.524
103.747     68.926    31.927
105.256     68.993    30.315
106.787     69.057    28.689
108.340     69.121    27.048
109.916     69.182    25.400
111.515     69.242    23.749
113.137     69.300    22.098
114.783     69.354    20.445
116.452     69.405    18.786
118.146     69.452    17.118
119.865     69.497    15.437
121.608     69.540    13.745
123.377     69.580    12.047
125.171     69.620    10.346
126.992     69.657     8.646
128.839     69.691     6.947
130.713     69.722     5.248
132.615     69.751     3.548
134.543     69.777     1.849
136.500     69.800     0.152
138.486     69.821    -1.537
140.500     69.839    -3.221
142.544     69.855    -4.899
144.617     69.868    -6.571
146.721     69.880    -8.239
148.855     69.890    -9.901
151.020     69.899   -11.556
153.217     69.907   -13.205
155.445     69.914   -14.849
157.706     69.919   -16.489
160.000     69.924   -18.128
162.327     69.928   -19.765
164.688     69.931   -21.402
167.084     69.934   -23.041
169.514     69.936   -24.680
171.980     69.938   -26.324
174.481     69.940   -27.973
177.019     69.941   -29.625
179.594     69.941   -31.285
182.206     69.941   -32.952
184.856     69.940   -34.629
187.545     69.939   -36.315
190.273     69.936   -38.009
193.041     69.933   -39.715
195.849     69.928   -41.431
198.697     69.923   -43.156
201.587     69.916   -44.891
204.520     69.908   -46.634
207.494     69.899   -48.385
210.512     69.889   -50.142
213.574     69.878   -51.904
216.681     69.865   -53.671
219.833     69.852   -55.441
223.030     69.839   -57.214
226.274     69.826   -58.989
229.565     69.814   -60.767
232.905     69.804   -62.548
236.292     69.796   -64.335
239.729     69.790   -66.130
243.216     69.787   -67.938
246.754     69.788   -69.763
250.343     69.792   -71.611
253.984     69.800   -73.491
257.678     69.812   -75.411
261.426     69.830   -77.383
265.229     69.852   -79.417
269.087     69.878   -81.522
273.001     69.907   -83.706
276.972     69.938   -85.977
281.000     69.968   -88.340
285.088     69.996   -90.800
289.234     70.019   -93.358
293.441     70.034   -96.011
297.709     70.039   -98.752
302.040     70.030  -101.571
306.433     70.006  -104.451
310.890     69.964  -107.374
315.412     69.902  -110.319
320.000     69.818  -113.260
324.655     69.713  -116.171
329.377     69.587  -119.025
334.168     69.440  -121.797
339.028     69.275  -124.466
343.959     69.095  -127.015
348.962     68.904  -129.428
354.038     68.705  -131.694
359.188     68.502  -133.807
364.412     68.298  -135.767
369.713     68.094  -137.580
375.090     67.896  -139.263
380.546     67.706  -140.835
386.081     67.529  -142.321
391.697     67.366  -143.747
397.394     67.220  -145.138
403.175     67.091  -146.521
409.039     66.981  -147.919
414.989     66.888  -149.356
421.025     66.811  -150.848
427.149     66.750  -152.410
433.362     66.704  -154.052
439.665     66.670  -155.780
446.060     66.648  -157.594
452.548     66.637  -159.499
459.131     66.636  -161.495
465.809     66.644  -163.587
472.584     66.662  -165.784
479.458     66.688  -168.097
486.432     66.723  -170.542
493.507     66.765  -173.141
500.686     66.813  -175.918
507.968     66.863  -178.899
515.357     66.910   177.901
522.853     66.947   174.483
530.458     66.966   170.870
538.174     66.961   167.116
546.002     66.925   163.301
553.943     66.857   159.526
562.001     66.756   155.895
570.175     66.628   152.492
578.469     66.483   149.372
586.883     66.333   146.544
595.419     66.192   143.965
604.080     66.070   141.559
612.866     65.977   139.225
621.780     65.915   136.853
630.824     65.885   134.346
640.000     65.881   131.632
649.309     65.892   128.669
658.753     65.911   125.455
668.335     65.929   122.024
678.056     65.941   118.432
687.919     65.946   114.747
697.925     65.948   111.027
708.077     65.953   107.306
718.376     65.969   103.583
728.825     65.999    99.822
739.426     66.046    95.963
750.181     66.105    91.944
761.093     66.169    87.711
772.163     66.230    83.234
783.394     66.281    78.506
794.789     66.318    73.534
806.349     66.340    68.330
818.078     66.348    62.903
829.977     66.344    57.250
842.050     66.327    51.372
854.298     66.291    45.277
866.724     66.230    38.993
879.330     66.135    32.572
892.120     66.001    26.079
905.097     65.824    19.582
918.262     65.606    13.153
931.618     65.351     6.853
945.169     65.064     0.737
958.917     64.747    -5.119
972.864     64.400   -10.624
987.015     64.022   -15.705
1001.37     63.620   -20.312
1015.94     63.208   -24.469
1030.71     62.805   -28.300
1045.71     62.433   -32.000
1060.92     62.106   -35.788
1076.35     61.828   -39.828
1092.00     61.588   -44.224
1107.89     61.369   -48.985
1124.00     61.164   -54.044
1140.35     60.957   -59.357
1156.94     60.742   -64.922
1173.77     60.520   -70.765
1190.84     60.272   -76.942
1208.16     59.989   -83.465
1225.73     59.665   -90.315
1243.56     59.283   -97.432
1261.65     58.842  -104.614
1280.00     58.351  -111.602
1298.62     57.813  -118.195
1317.51     57.245  -124.166
1336.67     56.666  -129.303
1356.11     56.101  -133.580
1375.84     55.574  -137.179
1395.85     55.079  -140.406
1416.15     54.600  -143.490
1436.75     54.096  -146.582
1457.65     53.534  -149.532
1478.85     52.931  -151.974
1500.36     52.337  -153.517
1522.19     51.849  -154.053
1544.33     51.573  -153.993
1566.79     51.552  -154.225
1589.58     51.732  -155.731
1612.70     51.966  -159.149
1636.16     52.073  -164.486
1659.95     51.889  -171.171
1684.10     51.321  -178.139
1708.60     50.364   176.016
1733.45     49.172   172.983
1758.66     48.198   173.664
1784.24     47.912   176.254
1810.19     48.314   177.574
1836.52     49.050   176.608
1863.24     49.872   174.233
1890.34     50.749   171.246
1917.83     51.721   167.252
1945.73     52.756   161.370
1974.03     53.759   153.341
2002.74     54.659   143.399
2031.87     55.440   131.965
2061.43     56.074   119.637
2091.41     56.535   106.864
2121.83     56.823    93.912
2152.69     56.925    81.195
2184.01     56.855    68.918
2215.77     56.641    57.192
2248.00     56.279    46.078
2280.70     55.798    35.487
2313.87     55.215    25.404
2347.53     54.525    15.745
2381.68     53.743     6.465
2416.32     52.879    -2.626
2451.46     51.917   -11.934
2487.12     50.825   -21.458
2523.30     49.499   -30.828
2560.00     47.721   -38.579
2597.24     45.105   -41.202
2635.01     41.339   -30.526
2673.34     39.025     8.763
2712.23     42.269    41.074
2751.68     45.526    48.231
2791.70     47.522    45.499
2832.31     48.705    38.819
2873.50     49.448    30.305
2915.30     50.016    20.722
2957.70     50.584    10.603
3000.72     51.175    -0.186
3044.37     51.761   -12.097
3088.65     52.288   -25.355
3133.58     52.694   -39.653
3179.16     52.996   -53.893
3225.40     53.254   -67.154
3272.31     53.509   -78.809
3319.91     53.805   -88.644
3368.20     54.152   -97.447
3417.19     54.548  -106.409
3466.89     54.959  -116.683
3517.32     55.365  -129.379
3568.48     55.716  -144.902
3620.39     55.971  -162.823
3673.05     56.109   177.509
3726.47     56.140   156.619
3780.67     56.079   134.691
3835.67     55.955   111.537
3891.46     55.787    86.481
3948.06     55.591    58.762
4005.49     55.342    27.755
4063.75     54.987    -6.701
4122.86     54.539   -43.228
4182.82     54.119   -79.559
4243.66     53.877  -113.337
4305.39     53.920  -142.970
4368.01     54.214  -168.931
4431.55     54.608   168.007
4496.01     55.051   147.720
4561.40     55.679   128.963
4627.75     56.531   109.873
4695.06     57.489    89.370
4763.35     58.425    67.113
4832.64     59.240    43.463
4902.93     59.875    18.727
4974.24     60.297    -6.865
5046.60     60.481   -32.913
5120.00     60.410   -59.030
5194.47     60.073   -84.629
5270.03     59.476  -109.035
5346.68     58.648  -131.525
5424.45     57.673  -151.586
5503.35     56.665  -170.884
5583.40     55.680   165.892
5664.61     54.677   138.464
5747.01     53.564    98.562
5830.60     52.356    68.851
5915.41     51.190    45.042
6001.45     50.235    37.341
6088.74     49.634    54.041
6177.30     49.319    71.385
6267.15     49.255    85.307
6358.31     49.474    92.630
6450.80     49.860    74.946
6544.62     50.229    48.313
6639.82     50.496     9.431
6736.40     50.661   -35.301
6834.38     50.741   -85.103
6933.79     50.765  -137.807
7034.64     50.753   169.281
7136.96     50.686   119.052
7240.77     50.579    73.953
7346.09     50.488    35.059
7452.94     50.450     1.728
7561.35     50.454   -27.752
7671.33     50.456   -55.739
7782.91     50.374   -85.243
7896.12     50.139  -113.473
8010.97     49.710  -141.235
8127.49     49.103  -159.859
8245.71     48.411  -168.980
8365.65     47.751   175.958
8487.33     47.356   162.061
8610.78     47.465   135.568
8736.03     48.058   106.825
8863.09     48.968    87.160
8992.01     49.931    64.282
9122.80     50.717    50.536
9255.50     51.266    37.934
9390.12     51.575     8.780
9526.70     51.694   -24.054
9665.27     51.693   -65.268
9805.86     51.582  -110.892
9948.49     51.353  -163.069
10093.2     51.023   137.734
10240.0     50.635    73.166
10388.9     50.248     6.394
10540.1     49.888   -61.176
10693.4     49.535  -126.145
10848.9     49.123   168.687
11006.7     48.623   110.498
11166.8     48.082    66.694
11329.2     47.572    33.692
11494.0     47.189    18.948
11661.2     46.980    10.158
11830.8     46.854    -7.265
12002.9     46.707   -38.806
12177.5     46.479   -87.715
12354.6     46.230  -152.680
12534.3     46.090   128.927
12716.6     46.172    47.470
12901.6     46.454   -23.303
13089.2     46.814   -93.821
13279.6     47.158  -154.996
13472.8     47.478   157.631
13668.8     47.760   114.361
13867.6     48.026    71.328
14069.3     48.240    29.406
14273.9     48.294   -13.319
14481.5     48.121   -53.796
14692.2     47.730   -76.660
14905.9     47.185   -70.287
15122.7     46.583   -43.282
15342.7     46.007    -4.220
15565.8     45.546    26.760
15792.2     45.227    29.706
16021.9     45.009     4.199
16255.0     44.847   -37.583
16491.4     44.671   -89.559
16731.3     44.421  -143.160
16974.7     44.087  -169.839
17221.6     43.712  -170.223
17472.1     43.361  -141.288
17726.2     43.074   -75.482
17984.0     42.822    -4.996
18245.6     42.564    46.288
18511.0     42.291    63.699
18780.2     41.996    40.081
19053.4     41.608   -11.473
19330.5     41.118   -65.408
19611.7     40.378  -118.317
19897.0     39.664  -152.987
20186.4     39.307  -169.319
20480.0     39.248   179.496
20777.9     39.402  -162.794
21080.1     39.412  -121.503
21386.7     38.920   -72.533
21697.8     38.106     5.978
22013.4     36.991    81.719
22333.6     36.139   137.989
22658.4     35.441  -178.624
22988.0     34.507  -162.999
23322.4     33.296  -173.626
23661.6     31.297   162.051
