Freq[Hz]     dBSPL  Phase[Deg]
5.00000     22.331  -118.848
5.07273     22.387  -119.867
5.14651     22.459  -121.191
5.22137     22.557  -122.971
5.29732     22.664  -124.937
5.37437     22.783  -127.113
5.45254     22.902  -129.289
5.53185     23.020  -131.465
5.61231     23.145  -133.614
5.69394     23.281  -135.698
5.77676     23.446  -137.625
5.86079     23.651  -139.333
5.94604     23.895  -140.821
6.03252     24.176  -142.091
6.12027     24.483  -143.206
6.20929     24.801  -144.259
6.29961     25.122  -145.286
6.39124     25.443  -146.313
6.48420     25.765  -147.340
6.57851     26.086  -148.367
6.67420     26.407  -149.394
6.77128     26.729  -150.422
6.86977     27.050  -151.450
6.96969     27.371  -152.478
7.07107     27.693  -153.506
7.17392     28.014  -154.535
7.27827     28.335  -155.563
7.38413     28.656  -156.592
7.49154     28.978  -157.621
7.60050     29.299  -158.651
7.71105     29.620  -159.680
7.82321     29.942  -160.710
7.93701     30.263  -161.740
8.05245     30.584  -162.771
8.16958     30.906  -163.801
8.28841     31.227  -164.832
8.40896     31.547  -165.856
8.53128     31.866  -166.862
8.65537     32.180  -167.824
8.78126     32.488  -168.723
8.90899     32.789  -169.558
9.03857     33.085  -170.329
9.17004     33.376  -171.053
9.30342     33.665  -171.758
9.43874     33.954  -172.454
9.57603     34.243  -173.150
9.71532     34.532  -173.846
9.85663     34.820  -174.542
10.0000     35.109  -175.239
10.1455     35.398  -175.936
10.2930     35.687  -176.633
10.4427     35.975  -177.331
10.5946     36.264  -178.029
10.7487     36.553  -178.727
10.9051     36.842  -179.426
11.0637     37.130   179.875
11.2246     37.419   179.177
11.3879     37.706   178.481
11.5535     37.991   177.791
11.7216     38.273   177.109
11.8921     38.552   176.436
12.0650     38.827   175.770
12.2405     39.101   175.111
12.4186     39.375   174.453
12.5992     39.647   173.797
12.7825     39.920   173.140
12.9684     40.193   172.482
13.1570     40.466   171.824
13.3484     40.738   171.166
13.5426     41.011   170.507
13.7395     41.284   169.848
13.9394     41.557   169.188
14.1421     41.829   168.529
14.3478     42.101   167.869
14.5565     42.372   167.209
14.7683     42.641   166.550
14.9831     42.910   165.891
15.2010     43.178   165.232
15.4221     43.445   164.572
15.6464     43.712   163.913
15.8740     43.979   163.253
16.1049     44.246   162.593
16.3392     44.513   161.932
16.5768     44.780   161.270
16.8179     45.047   160.608
17.0626     45.313   159.945
17.3107     45.577   159.281
17.5625     45.838   158.616
17.8180     46.097   157.948
18.0771     46.353   157.279
18.3401     46.607   156.609
18.6068     46.860   155.938
18.8775     47.113   155.266
19.1521     47.366   154.594
19.4306     47.619   153.920
19.7133     47.872   153.246
20.0000     48.124   152.568
20.2909     48.375   151.885
20.5860     48.625   151.196
20.8855     48.873   150.500
21.1893     49.120   149.798
21.4975     49.366   149.092
21.8102     49.612   148.384
22.1274     49.858   147.675
22.4492     50.103   146.964
22.7758     50.348   146.251
23.1071     50.592   145.534
23.4432     50.835   144.811
23.7841     51.077   144.082
24.1301     51.317   143.347
24.4811     51.556   142.607
24.8372     51.795   141.866
25.1984     52.034   141.122
25.5649     52.272   140.376
25.9368     52.509   139.625
26.3141     52.745   138.867
26.6968     52.979   138.103
27.0851     53.212   137.331
27.4791     53.443   136.554
27.8788     53.675   135.774
28.2843     53.905   134.990
28.6957     54.135   134.203
29.1131     54.364   133.409
29.5365     54.592   132.609
29.9661     54.819   131.802
30.4020     55.044   130.989
30.8442     55.269   130.172
31.2929     55.493   129.351
31.7480     55.717   128.524
32.2098     55.939   127.690
32.6783     56.159   126.848
33.1536     56.378   125.999
33.6359     56.597   125.144
34.1251     56.814   124.284
34.6215     57.031   123.418
35.1250     57.246   122.545
35.6359     57.459   121.665
36.1543     57.672   120.778
36.6802     57.883   119.884
37.2137     58.093   118.985
37.7550     58.302   118.077
38.3041     58.510   117.162
38.8613     58.716   116.239
39.4265     58.921   115.308
40.0000     59.125   114.370
40.5818     59.327   113.424
41.1721     59.528   112.470
41.7710     59.728   111.509
42.3785     59.926   110.539
42.9949     60.123   109.561
43.6203     60.319   108.576
44.2548     60.513   107.582
44.8985     60.705   106.580
45.5515     60.896   105.568
46.2141     61.086   104.547
46.8863     61.274   103.516
