Freq[Hz]     dBSPL  Phase[Deg]
5.00000     -5.235    24.238
5.07273     -5.191    26.879
5.14651     -5.160    29.608
5.22137     -5.165    32.581
5.29732     -5.171    35.555
5.37437     -5.177    38.528
5.45254     -5.183    41.501
5.53185     -5.188    44.824
5.61231     -5.192    48.516
5.69394     -5.197    52.209
5.77676     -5.201    55.901
5.86079     -5.203    59.602
5.94604     -5.112    63.807
6.03252     -5.021    68.013
6.12027     -4.930    72.218
6.20929     -4.839    76.424
6.29961     -4.671    80.382
6.39124     -4.486    84.285
6.48420     -4.301    88.188
6.57851     -4.116    92.091
6.67420     -3.962    95.537
6.77128     -3.814    98.909
6.86977     -3.666   102.280
6.96969     -3.533   105.682
7.07107     -3.513   109.313
7.17392     -3.494   112.945
7.27827     -3.474   116.576
7.38413     -3.480   120.995
7.49154     -3.504   126.022
7.60050     -3.528   131.050
7.71105     -3.515   136.299
7.82321     -3.339   142.523
7.93701     -3.163   148.748
8.05245     -2.986   154.972
8.16958     -2.591   160.571
8.28841     -2.188   166.146
8.40896     -1.785   171.722
8.53128     -1.414   176.342
8.65537     -1.047  -179.162
8.78126     -0.680  -174.665
8.90899     -0.453  -169.836
9.03857     -0.237  -164.985
9.17004     -0.016  -159.961
9.30342      0.232  -153.559
9.43874      0.480  -147.157
9.57603      0.835  -140.548
9.71532      1.354  -133.623
9.85663      1.872  -126.699
10.0000      2.457  -120.594
10.1455      3.061  -114.719
10.2930      3.642  -108.925
10.4427      4.156  -103.359
10.5946      4.669   -97.794
10.7487      5.286   -91.480
10.9051      5.923   -85.017
11.0637      6.755   -78.899
11.2246      7.793   -73.146
11.3879      8.876   -68.120
11.5535     10.118   -65.744
11.7216     11.358   -63.428
11.8921     12.415   -64.577
12.0650     13.473   -65.726
12.2405     14.179   -69.088
12.4186     14.839   -72.736
12.5992     15.078   -77.711
12.7825     15.224   -82.981
12.9684     14.827   -89.030
13.1570     14.305   -95.261
13.3484     12.908  -101.563
13.5426     11.369  -107.878
13.7395      7.618  -110.147
13.9394      3.972  -105.096
14.1421      1.767   -45.543
14.3478      1.976    -3.794
14.5565      7.376    -0.332
14.7683     10.889    -3.640
14.9831     12.944   -12.177
15.2010     13.839   -22.568
15.4221     14.349   -33.506
15.6464     14.039   -45.452
15.8740     13.125   -58.067
16.1049     11.726   -71.217
16.3392      8.647   -86.464
16.5768      3.110  -110.150
16.8179     -5.905  -145.978
17.0626     -1.360   -23.397
17.3107      3.902    55.325
17.5625      7.594    36.160
17.8180      8.944    19.421
18.0771      9.458     2.958
18.3401      9.190   -13.368
18.6068      7.903   -29.505
18.8775      5.551   -44.297
19.1521      1.746   -53.314
19.4306     -3.293   -49.894
19.7133     -3.313     5.886
20.0000      1.265    18.849
20.2909      5.821    13.348
20.5860      8.825     1.560
20.8855     10.947   -10.273
21.1893     12.392   -20.128
21.4975     13.422   -27.684
21.8102     14.126   -32.805
22.1274     14.569   -35.255
22.4492     14.834   -34.734
22.7758     15.058   -30.937
23.1071     15.468   -23.926
23.4432     16.339   -15.045
23.7841     17.733    -7.304
24.1301     19.297    -2.401
24.4811     20.745     0.120
24.8372     21.961     1.431
25.1984     22.980     2.620
25.5649     23.931     4.190
25.9368     24.947     5.820
26.3141     26.067     6.662
26.6968     27.212     6.089
27.0851     28.263     4.151
27.4791     29.142     1.464
27.8788     29.860    -1.117
28.2843     30.507    -3.015
28.6957     31.194    -4.162
29.1131     31.999    -4.963
29.5365     32.927    -5.975
29.9661     33.925    -7.528
30.4020     34.926    -9.615
30.8442     35.889   -12.014
31.2929     36.811   -14.426
31.7480     37.704   -16.717
32.2098     38.582   -18.849
32.6783     39.461   -20.853
33.1536     40.342   -22.825
33.6359     41.224   -24.821
34.1251     42.107   -26.871
34.6215     42.995   -28.999
35.1250     43.894   -31.261
35.6359     44.801   -33.790
36.1543     45.703   -36.605
36.6802     46.587   -39.654
37.2137     47.451   -42.828
37.7550     48.316   -46.065
38.3041     49.197   -49.453
38.8613     50.094   -53.105
39.4265     50.992   -57.134
40.0000     51.877   -61.501
40.5818     52.743   -66.194
41.1721     53.583   -71.229
41.7710     54.385   -76.575
42.3785     55.124   -82.163
42.9949     55.801   -87.785
43.6203     56.429   -93.332
44.2548     57.021   -98.840
44.8985     57.568  -104.417
45.5515     58.046  -110.044
46.2141     58.451  -115.622
46.8863     58.795  -121.140
47.5683     59.076  -126.706
48.2602     59.279  -132.308
48.9621     59.412  -137.770
49.6743     59.508  -143.022
50.3968     59.592  -148.176
51.1299     59.660  -153.273
51.8736     59.716  -158.191
52.6281     59.778  -162.867
53.3936     59.846  -167.312
54.1702     59.914  -171.471
54.9581     59.987  -175.331
55.7575     60.055  -179.017
56.5685     60.101   177.427
57.3914     60.127   173.999
58.2261     60.142   170.610
59.0730     60.145   167.256
59.9323     60.155   164.014
60.8040     60.194   160.868
61.6884     60.268   157.797
62.5857     60.372   154.774
63.4960     60.485   151.792
64.4196     60.585   148.971
65.3566     60.679   146.361
66.3073     60.767   143.824
67.2717     60.843   141.354
68.2502     60.928   138.950
69.2429     61.032   136.500
70.2501     61.153   133.965
71.2719     61.280   131.390
72.3086     61.406   128.804
73.3603     61.523   126.198
74.4274     61.620   123.572
75.5099     61.700   121.012
76.6083     61.795   118.529
77.7226     61.920   116.015
78.8531     62.071   113.516
80.0000     62.253   110.973
81.1636     62.412   108.406
82.3442     62.557   106.091
83.5419     62.724   103.646
84.7570     62.865   100.872
85.9899     63.001    97.973
87.2406     63.164    94.983
88.5096     63.370    91.950
89.7970     63.595    88.885
91.1031     63.793    85.834
92.4282     63.908    82.955
93.7726     63.976    80.503
95.1366     64.053    78.068
96.5204     64.149    75.544
97.9243     64.300    72.837
99.3486     64.482    69.913
100.794     64.675    66.967
102.260     64.861    63.979
103.747     65.031    60.932
105.256     65.189    57.738
106.787     65.342    54.326
108.340     65.471    50.839
109.916     65.588    47.544
111.515     65.710    44.402
113.137     65.840    41.279
114.783     65.965    37.963
116.452     66.079    34.569
118.146     66.208    31.114
119.865     66.344    27.589
121.608     66.475    24.058
123.377     66.597    20.559
125.171     66.697    16.980
126.992     66.791    13.303
128.839     66.885     9.443
130.713     66.952     5.455
132.615     66.970     1.721
134.543     66.986    -1.731
136.500     67.007    -5.458
138.486     66.989    -9.035
140.500     66.982   -12.824
142.544     67.002   -16.769
144.617     67.000   -20.174
146.721     67.008   -23.190
148.855     67.046   -26.892
151.020     67.019   -31.046
153.217     66.941   -34.898
155.445     66.900   -38.589
157.706     66.836   -42.433
160.000     66.723   -45.788
162.327     66.703   -48.732
164.688     66.673   -51.603
167.084     66.710   -55.133
169.514     66.627   -59.755
171.980     66.467   -63.095
174.481     66.390   -65.571
177.019     66.354   -68.258
179.594     66.347   -71.324
182.206     66.370   -74.487
184.856     66.387   -77.717
187.545     66.385   -81.127
190.273     66.426   -85.013
193.041     66.450   -88.852
195.849     66.462   -92.308
198.697     66.470   -96.481
201.587     66.325  -100.893
204.520     66.161  -104.386
207.494     66.037  -107.873
210.512     65.964  -111.095
213.574     65.835  -114.320
216.681     65.727  -116.791
219.833     65.648  -119.825
223.030     65.684  -123.291
226.274     65.585  -126.501
229.565     65.492  -129.725
232.905     65.422  -132.653
236.292     65.372  -135.919
239.729     65.353  -139.140
243.216     65.431  -142.093
246.754     65.415  -145.105
250.343     65.350  -148.880
253.984     65.335  -152.427
257.678     65.264  -155.945
261.426     65.218  -159.234
265.229     65.110  -163.115
269.087     64.975  -166.462
273.001     64.827  -170.337
276.972     64.389  -173.183
281.000     64.206  -174.015
285.088     64.254  -175.753
289.234     64.345  -178.316
293.441     64.414   178.572
297.709     64.321   175.421
302.040     64.180   171.977
306.433     63.947   171.128
310.890     63.979   168.693
315.412     63.820   166.135
320.000     63.664   163.901
324.655     63.569   162.761
329.377     63.601   161.652
334.168     63.549   159.417
339.028     63.407   157.649
343.959     63.288   156.052
348.962     63.249   154.996
354.038     63.273   153.679
359.188     63.252   151.664
364.412     63.074   149.868
369.713     62.877   149.402
375.090     62.786   148.542
380.546     62.750   148.010
386.081     62.706   146.472
391.697     62.551   145.905
397.394     62.435   144.674
403.175     62.207   144.957
409.039     62.156   145.025
414.989     62.050   145.092
421.025     62.052   145.118
427.149     61.981   145.364
433.362     61.983   145.732
439.665     61.959   145.868
446.060     61.987   146.296
452.548     62.112   146.325
459.131     62.237   147.163
465.809     62.403   146.621
472.584     62.487   146.342
479.458     62.572   146.484
486.432     62.736   146.050
493.507     62.828   145.471
500.686     62.964   145.034
507.968     63.113   144.239
515.357     63.233   143.442
522.853     63.325   142.396
530.458     63.445   141.183
538.174     63.538   139.997
546.002     63.615   138.679
553.943     63.657   137.355
562.001     63.693   135.738
570.175     63.704   134.016
578.469     63.724   132.544
586.883     63.704   131.032
595.419     63.678   129.695
604.080     63.649   128.433
612.866     63.600   127.321
621.780     63.566   126.289
630.824     63.527   125.339
640.000     63.517   124.529
649.309     63.509   123.758
658.753     63.527   123.068
668.335     63.545   122.229
678.056     63.576   121.292
687.919     63.617   120.172
697.925     63.660   118.735
708.077     63.686   117.147
718.376     63.698   115.264
728.825     63.669   113.123
739.426     63.575   110.825
750.181     63.416   108.190
761.093     63.160   105.419
772.163     62.813   102.702
783.394     62.316   100.029
794.789     61.651    97.580
806.349     60.806    95.514
818.078     59.734    94.898
829.977     58.372    95.977
842.050     56.773   100.771
854.298     55.259   111.281
866.724     54.431   128.698
879.330     55.237   146.995
892.120     57.112   159.438
905.097     59.208   164.743
918.262     61.079   165.494
931.618     62.655   163.566
945.169     63.949   159.869
958.917     65.001   155.095
972.864     65.819   149.645
987.015     66.452   143.674
1001.37     66.893   137.387
1015.94     67.143   130.937
1030.71     67.216   124.513
1045.71     67.115   118.049
1060.92     66.825   111.876
1076.35     66.354   106.187
1092.00     65.704   101.311
1107.89     64.861    97.504
1124.00     63.882    95.423
1140.35     62.862    95.522
1156.94     61.962    98.272
1173.77     61.439   103.166
1190.84     61.427   108.103
1208.16     61.883   111.353
1225.73     62.512   111.790
1243.56     63.146   109.273
1261.65     63.607   104.672
1280.00     63.839    98.277
1298.62     63.840    90.699
1317.51     63.559    82.198
1336.67     63.009    72.921
1356.11     62.133    63.024
1375.84     60.949    52.317
1395.85     59.482    40.689
1416.15     57.670    28.437
1436.75     55.541    14.635
1457.65     53.209    -2.275
1478.85     51.050   -23.568
1500.36     49.854   -48.935
1522.19     50.155   -73.557
1544.33     51.508   -92.336
1566.79     53.169  -106.293
1589.58     54.788  -117.314
1612.70     56.184  -127.248
1636.16     57.269  -136.745
1659.95     58.041  -146.196
1684.10     58.381  -155.468
1708.60     58.383  -164.319
1733.45     57.948  -172.369
1758.66     57.080  -178.872
1784.24     55.710   176.954
1810.19     53.866   176.580
1836.52     51.851  -177.249
1863.24     50.360  -161.559
1890.34     50.636  -142.082
1917.83     52.270  -129.094
1945.73     54.164  -123.931
1974.03     55.706  -124.051
2002.74     56.781  -127.164
2031.87     57.384  -131.792
2061.43     57.487  -136.545
2091.41     57.087  -140.220
2121.83     56.308  -140.949
2152.69     55.488  -137.308
2184.01     55.235  -129.928
2215.77     55.764  -123.399
2248.00     56.602  -121.459
2280.70     57.177  -123.364
2313.87     57.226  -126.914
2347.53     56.726  -129.113
2381.68     55.912  -127.538
2416.32     55.341  -122.208
2451.46     55.474  -116.112
2487.12     56.001  -113.497
2523.30     56.292  -114.507
2560.00     56.063  -116.674
2597.24     55.300  -116.638
2635.01     54.443  -112.316
2673.34     54.120  -104.736
2712.23     54.440   -98.321
2751.68     54.936   -95.640
2791.70     55.123   -94.691
2832.31     55.067   -93.280
2873.50     55.055   -89.956
2915.30     55.348   -86.343
2957.70     55.912   -85.026
3000.72     56.442   -86.329
3044.37     56.702   -89.246
3088.65     56.682   -92.830
3133.58     56.457   -96.419
3179.16     56.027  -100.118
3225.40     55.265  -103.534
3272.31     54.144  -104.524
3319.91     53.121  -100.751
3368.20     53.086   -93.978
3417.19     53.980   -92.683
3466.89     54.680   -98.974
3517.32     54.610  -108.437
3568.48     53.818  -116.918
3620.39     52.820  -121.943
3673.05     52.176  -125.680
3726.47     51.650  -131.143
3780.67     50.763  -137.599
3835.67     49.691  -140.722
3891.46     49.016  -140.949
3948.06     48.875  -141.520
4005.49     48.997  -142.873
4063.75     49.411  -145.680
4122.86     49.718  -152.265
4182.82     49.100  -159.005
4243.66     48.017  -156.871
4305.39     48.510  -148.466
4368.01     49.864  -149.729
4431.55     50.070  -154.768
4496.01     50.017  -153.273
4561.40     50.965  -153.084
4627.75     51.451  -161.144
4695.06     50.443  -166.936
4763.35     49.214  -162.948
4832.64     49.158  -156.046
4902.93     49.460  -152.287
4974.24     49.953  -151.324
5046.60     49.884  -154.549
5120.00     49.114  -152.860
5194.47     49.298  -149.837
5270.03     49.177  -154.440
5346.68     47.983  -153.821
5424.45     48.240  -150.601
5503.35     48.021  -159.204
5583.40     46.405  -161.623
5664.61     46.683  -163.745
5747.01     45.784   175.345
5830.60     41.501   163.779
5915.41     38.906   171.301
6001.45     36.273   177.734
6088.74     38.926  -155.654
6177.30     43.036  -172.552
6267.15     43.929   173.826
6358.31     45.302   162.671
6450.80     44.465   156.951
6544.62     46.518   172.354
6639.82     49.624   160.644
6736.40     49.807   152.941
6834.38     51.288   151.430
6933.79     51.904   136.192
7034.64     49.637   129.590
7136.96     48.999   143.487
7240.77     49.922   141.362
7346.09     48.617   139.263
7452.94     47.506   139.483
7561.35     43.890   152.560
7671.33     44.899   178.091
7782.91     44.923  -170.136
7896.12     46.774  -157.132
8010.97     47.962  -154.183
8127.49     48.956  -155.315
8245.71     49.034  -155.616
8365.65     49.537  -161.367
8487.33     48.609  -167.349
8610.78     48.012  -174.256
8736.03     45.879   179.944
8863.09     44.570  -176.353
8992.01     44.882  -179.745
9122.80     43.704   170.487
9255.50     43.746   170.289
9390.12     43.991   158.503
9526.70     43.379   148.334
9665.27     42.611   143.378
9805.86     41.747   136.174
9948.49     39.621   140.798
10093.2     40.063   148.456
10240.0     39.235   151.368
10388.9     39.240   158.686
10540.1     39.890   161.640
10693.4     37.647   145.582
10848.9     33.996  -170.628
11006.7     37.893  -160.096
11166.8     39.253  -163.696
11329.2     39.356  -162.481
11494.0     38.975  -170.266
11661.2     38.352  -170.167
11830.8     38.693   178.445
12002.9     35.999   169.513
12177.5     33.654   169.932
12354.6     33.548  -170.114
12534.3     35.793   172.675
12716.6     33.256  -173.514
12901.6     34.296  -160.975
13089.2     36.351  -146.016
13279.6     38.727  -146.837
13472.8     39.551  -149.412
13668.8     39.960  -151.530
13867.6     39.463  -154.322
14069.3     38.176  -155.702
14273.9     36.413  -142.019
14481.5     39.190  -140.287
14692.2     38.224  -161.652
14905.9     37.143  -159.963
15122.7     37.045  -167.409
15342.7     36.760  -176.754
15565.8     36.086  -174.822
15792.2     36.504   179.437
16021.9     36.163   178.355
16255.0     35.218   177.134
16491.4     35.611  -179.205
16731.3     34.362   173.263
16974.7     32.886  -178.200
17221.6     31.754   179.861
17472.1     30.404  -179.374
17726.2     27.768  -174.223
17984.0     27.600  -174.934
18245.6     24.775  -172.939
18511.0     24.174   176.260
18780.2     23.335  -177.184
19053.4     22.784   173.392
19330.5     20.400  -163.153
19611.7     19.884  -108.812
19897.0     17.387   -45.749
20186.4     15.939  -168.307
20480.0     15.031     0.721
20777.9     14.095   -66.291
21080.1     15.017   116.886
21386.7     14.115    53.876
21697.8     12.643  -177.316
22013.4     12.952   114.149
22333.6     16.158   -60.416
22658.4     16.139    79.461
22988.0     18.749  -121.234
23322.4     14.981  -119.295
23661.6     14.314  -148.650
24005.8     17.920  -120.802
24355.0     18.989   -82.569
24709.2     18.921   -79.016
25068.6     16.269  -102.972
25433.2     14.802     9.451
25803.2     13.626   170.800
26178.5     14.451   -46.620
26559.3     15.369   -74.681
26945.6     16.896    14.178
27337.5     17.695    73.138
27735.2     16.276  -135.637
28138.6     13.983   -96.415
28547.9     14.229   102.570
28963.1     16.737   135.984
29384.4     15.092    72.209
29811.8     16.601   -58.407
30245.4     13.858  -153.111
30685.3     15.976   129.319
31131.7     15.236   157.175
31584.5     15.586    29.412
32043.9     15.111    12.851
32510.0     14.752   129.391
32982.8     15.048   -31.992
33462.6     13.080   -95.227
33949.3     16.295    19.097
34443.1     15.337    35.756
34944.1     15.942   -95.943
35452.4     16.406     3.935
35968.0     15.907  -109.243
36491.2     15.171    33.996
37022.0     15.999   -52.882
37560.5     15.000    32.290
38106.8     15.638   150.474
38661.1     15.181  -111.849
