Freq[Hz]     dBSPL  Phase[Deg]
5.00000     -9.538    25.468
5.07273     -9.500    28.054
5.14651     -9.476    30.724
5.22137     -9.488    33.633
5.29732     -9.499    36.542
5.37437     -9.511    39.450
5.45254     -9.522    42.359
5.53185     -9.532    45.615
5.61231     -9.541    49.238
5.69394     -9.550    52.860
5.77676     -9.558    56.483
5.86079     -9.566    60.114
5.94604     -9.477    64.249
6.03252     -9.388    68.384
6.12027     -9.299    72.519
6.20929     -9.210    76.654
6.29961     -9.044    80.543
6.39124     -8.860    84.379
6.48420     -8.676    88.214
6.57851     -8.493    92.049
6.67420     -8.340    95.432
6.77128     -8.192    98.742
6.86977     -8.044   102.051
6.96969     -7.911   105.392
7.07107     -7.891   108.968
7.17392     -7.871   112.544
7.27827     -7.852   116.121
7.38413     -7.857   120.488
7.49154     -7.881   125.467
7.60050     -7.905   130.445
7.71105     -7.892   135.647
7.82321     -7.717   141.827
7.93701     -7.542   148.007
8.05245     -7.366   154.187
8.16958     -6.974   159.742
8.28841     -6.573   165.274
8.40896     -6.172   170.806
8.53128     -5.804   175.379
8.65537     -5.441   179.827
8.78126     -5.078  -175.724
8.90899     -4.857  -170.951
9.03857     -4.646  -166.157
9.17004     -4.431  -161.191
9.30342     -4.189  -154.860
9.43874     -3.947  -148.529
9.57603     -3.599  -141.998
9.71532     -3.088  -135.164
9.85663     -2.576  -128.329
10.0000     -1.998  -122.333
10.1455     -1.401  -116.570
10.2930     -0.828  -110.895
10.4427     -0.320  -105.468
10.5946      0.188  -100.040
10.7487      0.801   -93.886
10.9051      1.435   -87.586
11.0637      2.266   -81.643
11.2246      3.304   -76.078
11.3879      4.388   -71.244
11.5535      5.635   -69.077
11.7216      6.880   -66.968
11.8921      7.949   -68.339
12.0650      9.018   -69.709
12.2405      9.742   -73.296
12.4186     10.421   -77.168
12.5992     10.685   -82.361
12.7825     10.857   -87.847
12.9684     10.494   -94.094
13.1570     10.007  -100.518
13.3484      8.652  -106.980
13.5426      7.155  -113.449
13.7395      3.454  -115.819
13.9394     -0.142  -110.859
14.1421     -2.292   -51.336
14.3478     -2.028    -9.589
14.5565      3.429    -6.075
14.7683      6.998    -9.280
14.9831      9.110   -17.676
15.2010     10.057   -27.849
15.4221     10.617   -38.540
15.6464     10.352   -50.169
15.8740      9.475   -62.427
16.1049      8.109   -75.187
16.3392      5.048   -89.993
16.5768     -0.477  -113.221
16.8179     -9.490  -148.572
17.0626     -4.959   -25.508
17.3107      0.281    53.690
17.5625      3.940    34.989
17.8180      5.240    18.671
18.0771      5.697     2.592
18.3401      5.364   -13.395
18.6068      3.999   -29.271
18.8775      1.563   -43.878
19.1521     -2.332   -52.786
19.4306     -7.465   -49.334
19.7133     -7.582     6.363
20.0000     -3.099    19.144
20.2909      1.363    13.372
20.5860      4.278     1.223
20.8855      6.316   -11.061
21.1893      7.690   -21.468
21.4975      8.659   -29.652
21.8102      9.316   -35.462
22.1274      9.726   -38.649
22.4492      9.974   -38.899
22.7758     10.200   -35.889
23.1071     10.627   -29.663
23.4432     11.536   -21.539
23.7841     12.985   -14.504
24.1301     14.619   -10.235
24.4811     16.149    -8.258
24.8372     17.458    -7.386
25.1984     18.576    -6.519
25.5649     19.629    -5.147
25.9368     20.747    -3.592
26.3141     21.962    -2.706
26.6968     23.193    -3.132
27.0851     24.318    -4.834
27.4791     25.254    -7.224
27.8788     26.011    -9.475
28.2843     26.681   -11.042
28.6957     27.374   -11.888
29.1131     28.172   -12.443
29.5365     29.083   -13.283
29.9661     30.057   -14.754
30.4020     31.033   -16.855
30.8442     31.972   -19.369
31.2929     32.877   -21.976
31.7480     33.763   -24.519
32.2098     34.646   -26.942
32.6783     35.544   -29.248
33.1536     36.456   -31.503
33.6359     37.379   -33.743
34.1251     38.313   -35.974
34.6215     39.255   -38.207
35.1250     40.210   -40.503
35.6359     41.170   -42.986
36.1543     42.122   -45.692
36.6802     43.047   -48.582
37.2137     43.943   -51.562
37.7550     44.831   -54.589
38.3041     45.726   -57.765
38.8613     46.628   -61.218
39.4265     47.522   -65.073
40.0000     48.397   -69.297
40.5818     49.247   -73.887
41.1721     50.066   -78.867
41.7710     50.843   -84.211
42.3785     51.556   -89.865
42.9949     52.207   -95.624
43.6203     52.811  -101.383
44.2548     53.387  -107.180
44.8985     53.927  -113.113
45.5515     54.413  -119.140
46.2141     54.843  -125.134
46.8863     55.228  -131.049
47.5683     55.568  -136.951
48.2602     55.844  -142.793
48.9621     56.055  -148.372
49.6743     56.231  -153.601
50.3968     56.390  -158.595
51.1299     56.518  -163.418
51.8736     56.612  -167.992
52.6281     56.688  -172.314
53.3936     56.749  -176.468
54.1702     56.794   179.542
54.9581     56.838   175.689
55.7575     56.884   171.856
56.5685     56.926   168.045
57.3914     56.972   164.330
58.2261     57.027   160.702
59.0730     57.087   157.228
59.9323     57.157   154.008
60.8040     57.248   151.018
61.6884     57.357   148.195
62.5857     57.476   145.438
63.4960     57.586   142.670
64.4196     57.670   139.963
65.3566     57.749   137.345
66.3073     57.828   134.707
67.2717     57.909   132.088
68.2502     58.011   129.546
69.2429     58.140   127.007
70.2501     58.287   124.441
71.2719     58.435   121.870
72.3086     58.576   119.288
73.3603     58.705   116.656
74.4274     58.815   113.963
75.5099     58.914   111.308
76.6083     59.034   108.728
77.7226     59.189   106.139
78.8531     59.376   103.595
80.0000     59.593   101.033
81.1636     59.791    98.471
82.3442     59.978    96.199
83.5419     60.191    93.869
84.7570     60.373    91.313
85.9899     60.536    88.733
87.2406     60.700    86.103
88.5096     60.878    83.358
89.7970     61.056    80.395
91.1031     61.209    77.207
92.4282     61.302    74.007
93.7726     61.385    71.191
95.1366     61.502    68.505
96.5204     61.647    65.914
97.9243     61.833    63.273
99.3486     62.028    60.423
100.794     62.224    57.449
102.260     62.418    54.320
103.747     62.613    51.101
105.256     62.809    47.793
106.787     63.001    44.340
108.340     63.165    40.837
109.916     63.319    37.519
111.515     63.486    34.391
113.137     63.665    31.397
114.783     63.820    28.329
116.452     63.935    25.166
118.146     64.048    21.762
119.865     64.182    18.086
121.608     64.346    14.375
123.377     64.520    10.886
125.171     64.658     7.538
126.992     64.751     4.116
128.839     64.821     0.313
130.713     64.876    -3.840
132.615     64.909    -7.800
134.543     64.958   -11.394
136.500     65.014   -15.186
138.486     65.027   -18.800
140.500     65.056   -22.586
142.544     65.107   -26.437
144.617     65.114   -29.742
146.721     65.114   -32.815
148.855     65.160   -36.803
151.020     65.188   -41.262
153.217     65.194   -45.131
155.445     65.208   -48.533
157.706     65.146   -52.113
160.000     65.023   -55.552
162.327     65.044   -58.738
164.688     65.083   -61.517
167.084     65.142   -64.624
169.514     65.008   -69.141
171.980     64.841   -72.965
174.481     64.837   -75.704
177.019     64.852   -78.155
179.594     64.822   -81.150
182.206     64.857   -84.834
184.856     64.979   -88.324
187.545     65.048   -91.441
190.273     65.099   -95.128
193.041     65.141   -98.991
195.849     65.166  -102.439
198.697     65.179  -106.841
201.587     65.097  -111.588
204.520     65.009  -115.007
207.494     64.906  -118.349
210.512     64.847  -121.718
213.574     64.757  -125.183
216.681     64.709  -127.852
219.833     64.702  -130.851
223.030     64.760  -134.249
226.274     64.698  -137.801
229.565     64.697  -141.139
232.905     64.676  -143.952
236.292     64.672  -147.346
239.729     64.715  -150.507
243.216     64.806  -153.515
246.754     64.842  -156.883
250.343     64.858  -160.760
253.984     64.892  -164.350
257.678     64.860  -168.090
261.426     64.887  -171.770
265.229     64.875  -175.784
269.087     64.792  -179.273
273.001     64.725   176.442
276.972     64.400   173.463
281.000     64.292   172.638
285.088     64.404   170.625
289.234     64.587   167.779
293.441     64.739   164.349
297.709     64.763   160.955
302.040     64.678   157.404
306.433     64.529   155.823
310.890     64.725   153.022
315.412     64.681   150.365
320.000     64.596   147.843
324.655     64.588   146.076
329.377     64.735   144.342
334.168     64.824   141.412
339.028     64.839   139.085
343.959     64.835   137.064
348.962     64.908   135.136
354.038     65.077   133.123
359.188     65.183   130.245
364.412     65.136   127.512
369.713     65.091   125.992
375.090     65.109   124.108
380.546     65.234   122.325
386.081     65.278   119.662
391.697     65.243   117.551
397.394     65.230   114.699
403.175     65.100   113.471
409.039     65.130   111.797
414.989     65.068   110.209
421.025     65.099   108.395
427.149     65.034   106.767
433.362     64.999   105.439
439.665     64.964   103.568
446.060     64.949   102.665
452.548     64.899   101.552
459.131     64.901   100.522
465.809     64.943    98.954
472.584     64.847    97.732
479.458     64.828    96.794
486.432     64.839    96.088
493.507     64.815    95.085
500.686     64.871    94.553
507.968     64.905    93.871
515.357     64.968    93.170
522.853     65.058    92.276
530.458     65.189    91.350
538.174     65.320    90.400
546.002     65.469    89.272
553.943     65.637    87.929
562.001     65.808    86.357
570.175     65.998    84.572
578.469     66.185    82.653
586.883     66.372    80.620
595.419     66.545    78.545
604.080     66.723    76.210
612.866     66.898    73.891
621.780     67.045    71.400
630.824     67.194    68.866
640.000     67.315    66.241
649.309     67.410    63.583
658.753     67.497    60.830
668.335     67.569    57.997
678.056     67.613    55.218
687.919     67.636    52.388
697.925     67.621    49.640
708.077     67.584    46.870
718.376     67.530    44.154
728.825     67.443    41.555
739.426     67.341    39.069
750.181     67.202    36.785
761.093     67.043    34.704
772.163     66.867    32.887
783.394     66.686    31.364
794.789     66.500    30.215
806.349     66.320    29.469
818.078     66.158    29.002
829.977     66.057    28.877
842.050     66.014    29.076
854.298     66.038    29.390
866.724     66.156    29.722
879.330     66.347    29.887
892.120     66.613    29.815
905.097     66.919    29.199
918.262     67.271    28.108
931.618     67.626    26.438
945.169     67.977    24.295
958.917     68.296    21.662
972.864     68.580    18.664
987.015     68.802    15.308
1001.37     68.962    11.604
1015.94     69.061     7.768
1030.71     69.085     3.874
1045.71     69.040    -0.121
1060.92     68.929    -4.007
1076.35     68.743    -7.687
1092.00     68.489   -11.144
1107.89     68.183   -14.365
1124.00     67.826   -17.189
1140.35     67.433   -19.627
1156.94     67.006   -21.630
1173.77     66.550   -23.195
1190.84     66.074   -24.366
1208.16     65.580   -25.012
1225.73     65.034   -25.102
1243.56     64.477   -24.353
1261.65     63.901   -22.417
1280.00     63.394   -18.917
1298.62     63.069   -13.870
1317.51     63.101    -7.617
1336.67     63.592    -1.375
1356.11     64.442     3.335
1375.84     65.533     5.607
1395.85     66.651     5.741
1416.15     67.649     3.646
1436.75     68.512     0.226
1457.65     69.196    -4.214
1478.85     69.702    -9.241
1500.36     70.033   -14.411
1522.19     70.217   -19.449
1544.33     70.269   -24.074
1566.79     70.228   -28.142
1589.58     70.157   -31.590
1612.70     70.108   -34.441
1636.16     70.105   -36.987
1659.95     70.168   -39.582
1684.10     70.263   -42.536
1708.60     70.350   -45.982
1733.45     70.385   -49.866
1758.66     70.323   -53.995
1784.24     70.164   -58.128
1810.19     69.911   -61.833
1836.52     69.596   -65.017
1863.24     69.260   -67.572
1890.34     68.968   -69.643
1917.83     68.725   -71.458
1945.73     68.531   -73.356
1974.03     68.343   -75.469
2002.74     68.127   -77.802
2031.87     67.861   -80.170
2061.43     67.547   -82.399
2091.41     67.184   -84.286
2121.83     66.793   -85.866
2152.69     66.398   -86.967
2184.01     65.990   -87.545
2215.77     65.629   -87.601
2248.00     65.347   -87.181
2280.70     65.187   -86.621
2313.87     65.129   -86.582
2347.53     65.096   -87.235
2381.68     65.014   -88.578
2416.32     64.825   -89.954
2451.46     64.550   -90.864
2487.12     64.288   -91.090
2523.30     64.131   -90.963
2560.00     64.068   -91.069
