Freq[Hz]     dBSPL  Phase[Deg]
5.00000     -1.608  -144.183
5.07273     -1.594  -142.994
5.14651     -1.561  -141.856
5.22137     -1.475  -140.864
5.29732     -1.389  -139.872
5.37437     -1.303  -138.880
5.45254     -1.217  -137.888
5.53185     -1.137  -137.142
5.61231     -1.062  -136.655
5.69394     -0.987  -136.168
5.77676     -0.912  -135.682
5.86079     -0.840  -135.197
5.94604     -0.870  -134.838
6.03252     -0.900  -134.478
6.12027     -0.930  -134.119
6.20929     -0.960  -133.760
6.29961     -1.084  -132.784
6.39124     -1.230  -131.672
6.48420     -1.376  -130.560
6.57851     -1.522  -129.448
6.67420     -1.637  -127.007
6.77128     -1.747  -124.350
6.86977     -1.857  -121.693
6.96969     -1.936  -118.965
7.07107     -1.783  -115.693
7.17392     -1.630  -112.422
7.27827     -1.478  -109.150
7.38413     -1.234  -106.629
7.49154     -0.920  -104.688
7.60050     -0.607  -102.747
7.71105     -0.323  -101.050
7.82321     -0.170  -100.424
7.93701     -0.018   -99.798
8.05245      0.135   -99.172
8.16958     -0.077   -97.906
8.28841     -0.303   -96.616
8.40896     -0.528   -95.326
8.53128     -0.976   -89.626
8.65537     -1.452   -83.357
8.78126     -1.928   -77.087
8.90899     -1.309   -65.556
9.03857     -0.619   -53.680
9.17004      0.191   -42.561
9.30342      1.956   -37.464
9.43874      3.722   -32.367
9.57603      5.400   -29.540
9.71532      6.944   -30.182
9.85663      8.489   -30.824
10.0000      9.707   -33.284
10.1455     10.835   -36.251
10.2930     11.874   -39.499
10.4427     12.663   -43.531
10.5946     13.452   -47.563
10.7487     14.030   -52.082
10.9051     14.566   -56.699
11.0637     14.980   -61.470
11.2246     15.263   -66.403
11.3879     15.484   -71.339
11.5535     15.474   -76.283
11.7216     15.457   -81.215
11.8921     15.067   -85.510
12.0650     14.676   -89.805
12.2405     13.837   -91.922
12.4186     12.940   -93.757
12.5992     11.766   -89.394
12.7825     10.530   -83.656
12.9684     10.575   -70.465
13.1570     10.917   -55.538
13.3484     12.743   -48.316
13.5426     14.810   -42.344
13.7395     16.593   -44.776
13.9394     18.295   -47.928
14.1421     19.477   -54.106
14.3478     20.491   -60.671
14.5565     21.144   -68.072
14.7683     21.518   -75.474
14.9831     21.677   -82.877
15.2010     21.435   -89.224
15.4221     21.055   -94.826
15.6464     20.365   -97.946
15.8740     19.691   -98.271
16.1049     19.029   -96.363
16.3392     19.125   -91.426
16.5768     19.561   -87.714
16.8179     20.450   -85.945
17.0626     21.333   -88.656
17.3107     22.039   -93.176
17.5625     22.476   -99.567
17.8180     22.350  -107.006
18.0771     21.825  -114.139
18.3401     20.860  -120.498
18.6068     19.155  -123.559
18.8775     17.014  -118.743
19.1521     15.465  -105.517
19.4306     15.255   -84.400
19.7133     17.476   -72.179
20.0000     19.536   -69.598
20.2909     21.158   -72.102
20.5860     22.223   -77.256
20.8855     22.759   -83.398
21.1893     22.694   -89.189
21.4975     22.135   -93.164
21.8102     21.198   -93.471
22.1274     20.279   -88.163
22.4492     20.053   -77.982
22.7758     21.015   -67.827
23.1071     22.665   -64.288
23.4432     24.019   -67.230
23.7841     24.586   -73.248
24.1301     24.278   -78.490
24.4811     23.252   -78.506
24.8372     22.489   -69.009
25.1984     23.454   -56.897
25.5649     25.407   -53.898
25.9368     26.822   -60.324
26.3141     26.843   -71.487
26.6968     24.630   -81.858
27.0851     17.939   -67.956
27.4791     22.285    10.177
27.8788     29.945     7.387
28.2843     34.060    -8.665
28.6957     36.338   -27.190
29.1131     37.295   -45.766
29.5365     37.077   -62.689
29.9661     35.696   -75.326
30.4020     33.344   -78.119
30.8442     31.927   -64.057
31.2929     33.119   -50.591
31.7480     34.870   -49.075
32.2098     35.763   -52.830
32.6783     35.855   -54.212
33.1536     36.039   -51.109
33.6359     36.842   -47.115
34.1251     37.951   -46.389
34.6215     38.801   -47.913
35.1250     39.377   -48.929
35.6359     39.973   -48.354
36.1543     40.780   -47.740
36.6802     41.663   -48.388
37.2137     42.423   -49.946
37.7550     43.059   -51.286
38.3041     43.677   -51.911
38.8613     44.378   -52.258
39.4265     45.178   -52.978
40.0000     45.996   -54.503
40.5818     46.726   -56.768
41.1721     47.304   -58.955
41.7710     47.816   -60.326
