Frequency Spectrum for Input Signal

Data Shown:    NuQ102 (Turbosound)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 270°  Par: 30°  

Freq [Hz]	Signal Level [dBSPL]
22.4	36.9
23	38.4
23.6	39.9
24	41.9
25	43.7
25.8	45.2
26.5	46.6
27.2	48.5
28	50.1
29	51.6
30	53.1
30.7	54.8
31.5	56.3
32.5	57.7
33.5	59.4
34.5	60.8
35.5	62.2
36.5	63.8
37.5	65.2
38.7	66.5
40	67.9
41.2	69.1
42.5	70.4
43.7	71.6
45	72.7
46.2	73.8
47.5	74.8
48.7	75.8
50	76.8
51.5	77.7
53	78.5
54.5	79.3
56	80.1
58	80.9
60	81.6
61.5	82.3
63	83
65	83.7
67	84.3
69	84.8
71	85.4
73	85.8
75	86.3
77.5	86.6
80	87
82.5	87.3
85	87.6
87.5	87.9
90	88.2
92.5	88.4
95	88.7
97.5	88.9
100	89.1
103	89.4
106	89.6
109	89.8
112	90
115	90.2
118	90.4
122	90.6
125	90.7
128	90.8
132	90.9
136	91
140	91
145	91.1
150	91.1
155	91.1
160	91
165	91
170	90.9
175	90.8
180	90.6
185	90.5
190	90.4
195	90.2
200	90
206	89.9
212	89.7
218	89.5
224	89.4
230	89.1
236	88.9
240	88.6
250	88.2
258	87.8
265	87.4
272	87.2
280	87
290	86.9
300	86.9
307	86.9
315	87
325	87.1
335	87.2
345	87.3
355	87.4
365	87.4
375	87.4
387	87.4
400	87.3
412	87.3
425	87.2
437	87.2
450	87.2
462	87.2
475	87.2
487	87.3
500	87.4
515	87.6
530	87.8
545	88
560	88.2
580	88.4
600	88.7
615	89
630	89.2
650	89
670	88.5
690	87.8
710	87.1
730	86.5
750	86
775	85.6
800	85.3
825	85.3
850	85.5
875	85.7
900	85.5
925	84.8
950	83.7
975	83.1
1000	83.5
1030	84.4
1060	84.8
1090	84.8
1120	85.3
1150	86.9
1180	88.4
1220	87.7
1250	87
1280	87.7
1320	88.2
1360	86.4
1400	82.7
1450	83
1500	85.2
1550	84.3
1600	81.2
1650	79.8
1700	82
1750	84.4
1800	84.5
1850	83.5
1900	83.8
1950	84.5
2000	85
2060	85
2120	85.1
2180	84.2
2240	82.2
2300	84
2360	82.3
2400	80.8
2500	79.7
2580	77.7
2650	77.2
2720	77.5
2800	78
2900	77.1
3000	74.5
3070	72.9
3150	71.1
3250	72.4
3350	73.5
3450	74.7
3550	75.9
3650	77.4
3750	78.5
3870	77.9
4000	78.7
4120	79
4250	79.8
4370	80.4
4500	80.7
4620	81
4750	81.1
4870	81.4
5000	82.1
5150	82.2
5300	82.2
5450	81.5
5600	81
5800	81.2
6000	80.8
6150	80.4
6300	82.9
6500	84.5
6700	83.4
6900	83.6
7100	84.7
7300	83.6
7500	83.9
7750	85.6
8000	85.4
8250	85.1
8500	85.4
8750	84.6
9000	84.5
9250	83.7
9500	83.6
9750	83
10000	82.1
10300	82.7
10600	84.5
10900	85
11200	86.1
11500	85.9
11800	87.3
12200	87.4
12500	87.8
12800	86.9
13200	86.1
13600	85.9
14000	84.8
14500	82.6
15000	83.7
15500	83.8
16000	82
16500	83
17000	80.9
17500	76.9
18000	77.2
18500	74.7
19000	74.6
19500	75.3
20000	82.1
20600	80.9
21200	86.8
21800	79.3
22400	75.6
