Frequency Spectrum for Input Signal

Data Shown:    NuQ82 (Turbosound)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 90°  Par: 60°

Freq [Hz]	Signal Level [dBSPL]
22.4	43.3
23	44.6
23.6	45.8
24	47.4
25	48.9
25.8	50.1
26.5	51.2
27.2	52.7
28	54.1
29	55.3
30	56.5
30.7	58
31.5	59.2
32.5	60.4
33.5	61.9
34.5	63.2
35.5	64.4
36.5	65.8
37.5	67
38.7	68.2
40	69.5
41.2	70.6
42.5	71.8
43.7	72.9
45	74
46.2	75
47.5	76
48.7	77
50	77.9
51.5	78.7
53	79.4
54.5	80.1
56	80.7
58	81.3
60	81.8
61.5	82.3
63	82.7
65	83.1
67	83.5
69	83.8
71	84.1
73	84.4
75	84.7
77.5	84.8
80	85
82.5	85.2
85	85.3
87.5	85.5
90	85.7
92.5	85.8
95	86
97.5	86.1
100	86.3
103	86.4
106	86.5
109	86.6
112	86.8
115	86.9
118	87
122	87.1
125	87.1
128	87.2
132	87.2
136	87.2
140	87.3
145	87.3
150	87.4
155	87.4
160	87.4
165	87.4
170	87.4
175	87.3
180	87.3
185	87.2
190	87.1
195	87
200	86.9
206	86.7
212	86.6
218	86.4
224	86.1
230	85.9
236	85.7
240	85.4
250	85.1
258	84.9
265	84.6
272	84.4
280	84.3
290	84.2
300	84.2
307	84.3
315	84.4
325	84.6
335	84.8
345	85.1
355	85.3
365	85.6
375	85.8
387	86
400	86.2
412	86.4
425	86.6
437	86.7
450	86.7
462	86.7
475	86.6
487	86.5
500	86.3
515	86
530	85.7
545	85.4
560	85.1
580	84.7
600	84.3
615	83.9
630	83.4
650	83
670	82.6
690	82.2
710	81.9
730	81.7
750	81.6
775	81.7
800	81.9
825	82.2
850	82.4
875	82.5
900	82.4
925	82.2
950	81.8
975	81.4
1000	80.9
1030	80.3
1060	79.7
1090	79.1
1120	78.5
1150	77.8
1180	77.3
1220	77.2
1250	77.6
1280	78.4
1320	79.5
1360	80.5
1400	81.4
1450	82
1500	82.4
1550	82.7
1600	82.8
1650	83
1700	83.1
1750	83.2
1800	83.1
1850	82.8
1900	82
1950	80.5
2000	77.9
2060	74.6
2120	71.5
2180	69.5
2240	68.6
2300	67.5
2360	64
2400	57.8
2500	65
2580	69.1
2650	70.8
2720	72.4
2800	74.2
2900	74.7
3000	73.2
3070	70.5
3150	68.6
3250	67
3350	65.8
3450	64
3550	61.6
3650	65.4
3750	68.1
3870	70.9
4000	72.8
4120	71.6
4250	71.5
4370	70.8
4500	71.6
4620	72.3
4750	70.7
4870	69.9
5000	67.8
5150	71.3
5300	69.4
5450	72.2
5600	68.9
5800	69
6000	68.6
6150	69.6
6300	70.8
6500	70
6700	67
6900	68.3
7100	71.1
7300	72.6
7500	67
7750	67.4
8000	71.9
8250	73.3
8500	74
8750	74
9000	67.2
9250	69.4
9500	70.4
9750	71.2
10000	70.9
10300	69
10600	69
10900	68.8
11200	68.9
11500	69.8
11800	66.7
12200	67.9
12500	70.2
12800	67.9
13200	69.6
13600	68.8
14000	69.9
14500	67.3
15000	69.9
15500	69.1
16000	62
16500	64.5
17000	63
17500	57.7
18000	60.6
18500	57.6
19000	58.8
19500	55.6
20000	66.4
20600	62.6
21200	67.6
21800	59.2
22400	56.1
