Frequency Spectrum for Input Signal

Data Shown:    TCS122_94_Horizon (Turbosound)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 0°  Par: 60°

Freq [Hz]	Signal Level [dBSPL]
22.4	53.4
23	55.2
23.6	56.9
24	59.5
25	61.8
25.8	63.6
26.5	65.3
27.2	67.1
28	68.7
29	70.1
30	71.6
30.7	73.5
31.5	75.1
32.5	76.5
33.5	78.1
34.5	79.6
35.5	80.9
36.5	82.1
37.5	83.3
38.7	84.3
40	85.3
41.2	86.1
42.5	86.9
43.7	87.6
45	88.2
46.2	88.8
47.5	89.2
48.7	89.5
50	89.7
51.5	90
53	90.3
54.5	90.7
56	91.1
58	91.5
60	91.9
61.5	92.4
63	92.8
65	93.1
67	93.4
69	93.6
71	93.6
73	93.8
75	94.1
77.5	94.3
80	94.3
82.5	94.3
85	94.5
87.5	94.5
90	94.5
92.5	94.5
95	94.4
97.5	94.3
100	94.2
103	94.1
106	94.2
109	94.3
112	94.6
115	94.9
118	94.8
122	94.6
125	94.3
128	94.1
132	93.7
136	93.1
140	92.6
145	92.1
150	91.4
155	90.3
160	89
165	87.7
170	86.9
175	86.2
180	85.3
185	84.7
190	84.8
195	85.6
200	87.1
206	88.6
212	90.1
218	91.3
224	92.2
230	93
236	93.5
240	93.9
250	94.1
258	94.2
265	94.3
272	94.2
280	94
290	93.8
300	93.3
307	92.8
315	92.2
325	91.4
335	90.4
345	89.3
355	88.2
365	87.1
375	86.3
387	85.8
400	85.4
412	85.1
425	85.1
437	85.2
450	85.5
462	85.8
475	86
487	86.1
500	86
515	85.7
530	85.2
545	84.7
560	84.7
580	85.4
600	85.9
615	86
630	85.9
650	86.1
670	86.9
690	88.2
710	90
730	91.5
750	92.1
775	91.9
800	91.2
825	90
850	88.4
875	87
900	86.6
925	86.9
950	86.9
975	86.6
1000	86.4
1030	86.6
1060	86.8
1090	86.2
1120	85.1
1150	83.9
1180	82.9
1220	81.8
1250	80.2
1280	77.8
1320	77.2
1360	79.7
1400	81.6
1450	82.2
1500	82.8
1550	83.5
1600	82.6
1650	82
1700	82.4
1750	82.6
1800	83
1850	83.5
1900	84.6
1950	84.8
2000	83.9
2060	83.4
2120	83.5
2180	83.7
2240	83.7
2300	84.1
2360	84.6
2400	85.2
2500	85
2580	83.6
2650	82.5
2720	82.5
2800	82.3
2900	82.9
3000	84.1
3070	84.4
3150	84.4
3250	85.1
3350	85.1
3450	84.4
3550	84.3
3650	85.2
3750	85.3
3870	83.9
4000	82.8
4120	83.7
4250	84.8
4370	85.5
4500	85
4620	84.8
4750	84.6
4870	85.3
5000	86.2
5150	86.9
5300	87.7
5450	85.9
5600	85.5
5800	85.3
6000	84.8
6150	84.7
6300	84.4
6500	83.9
6700	82.5
6900	83
7100	83.5
7300	83.8
7500	84.7
7750	83.6
8000	81.8
8250	84.9
8500	85.7
8750	83.3
9000	83.2
9250	83.7
9500	84.4
9750	85.6
10000	84
10300	85.6
10600	84.1
10900	83.3
11200	82.4
11500	82.4
11800	84
12200	85.7
12500	85.9
12800	83.5
13200	85.3
13600	85
14000	78.3
14500	80.3
15000	80.5
15500	82.2
16000	83.1
16500	81.9
17000	79.8
17500	80.9
18000	76.1
18500	82.7
19000	78.7
19500	82.8
20000	78.9
20600	69.4
21200	68.7
21800	60.5
22400	61.5
