Frequency Spectrum for Input Signal

Data Shown:    TCS62_Vertical (Turbosound)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 90°  Par: 120°

Freq [Hz]	Signal Level [dBSPL]
22.4	68.9
23	69.6
23.6	70.2
24	70.8
25	71.3
25.8	71.8
26.5	72.3
27.2	73
28	73.6
29	74.2
30	74.8
30.7	75.4
31.5	75.9
32.5	76.4
33.5	77
34.5	77.6
35.5	78.1
36.5	78.6
37.5	79.1
38.7	79.6
40	80.1
41.2	80.6
42.5	81
43.7	81.5
45	82.2
46.2	83.3
47.5	84
48.7	83.9
50	83.7
51.5	84.2
53	84.7
54.5	85
56	85.2
58	85.5
60	85.7
61.5	86.1
63	86.3
65	86.6
67	87
69	87.2
71	87.3
73	87.7
75	88
77.5	88.2
80	88.6
82.5	88.4
85	88.6
87.5	88.9
90	88.8
92.5	88.8
95	88.2
97.5	88.4
100	88.7
103	88.8
106	88.6
109	88.5
112	88.6
115	88.6
118	88.6
122	88.3
125	87.8
128	87.5
132	87
136	86.4
140	86
145	85.9
150	85.6
155	85.3
160	84.9
165	84.7
170	84.6
175	84.3
180	83.7
185	83.1
190	82.9
195	82.8
200	82.5
206	82.3
212	81.9
218	80.9
224	80.8
230	80.7
236	80.5
240	80.3
250	80.1
258	79.9
265	79.6
272	79.3
280	79.1
290	78.8
300	78.5
307	78.3
315	78.2
325	78
335	77.9
345	77.8
355	77.3
365	75.8
375	73.5
387	71.3
400	70
412	69.3
425	69.1
437	69.4
450	70
462	70.9
475	72
487	72.9
500	73.8
515	74.4
530	74.7
545	74.8
560	74.4
580	73.8
600	72.7
615	71.5
630	70.3
650	69.6
670	69.8
690	70.5
710	71.4
730	71.9
750	71.9
775	71.2
800	69.9
825	68.2
850	66.7
875	65.7
900	64.9
925	64.1
950	63
975	61
1000	57.4
1030	52.8
1060	56
1090	66.5
1120	75.4
1150	79.9
1180	80.3
1220	79.2
1250	78
1280	76.6
1320	74.9
1360	72.4
1400	69.4
1450	68.5
1500	69.9
1550	71.6
1600	72.3
1650	71.3
1700	69.4
1750	68.4
1800	69.4
1850	70.7
1900	71.2
1950	70.3
2000	68.4
2060	67.5
2120	69.1
2180	70.3
2240	69.4
2300	66.3
2360	64.2
2400	64.8
2500	63.8
2580	61.8
2650	62.9
2720	65.1
2800	64.9
2900	64.5
3000	65.5
3070	63.7
3150	57.9
3250	50.5
3350	58
3450	60
3550	63.1
3650	64.1
3750	62
3870	62.1
4000	63.6
4120	63.2
4250	63
4370	62.2
4500	60
4620	56
4750	49.9
4870	46.2
5000	54.1
5150	57
5300	55.9
5450	62.3
5600	64.7
5800	60.2
6000	57.6
6150	57.2
6300	58.3
6500	59.5
6700	56.1
6900	58.9
7100	61.6
7300	62.3
7500	61.5
7750	61.3
8000	57
8250	49.1
8500	47.3
8750	47.9
9000	54.4
9250	59.2
9500	58.6
9750	53.7
10000	53.9
10300	53.9
10600	58.9
10900	57.5
11200	53.6
11500	56.4
11800	56
12200	44
12500	51.5
12800	47.2
13200	52
13600	45
14000	54
14500	52.2
15000	47.1
15500	43.2
16000	50.6
16500	50
17000	43.6
17500	35.7
18000	36.3
18500	42.6
19000	46.7
19500	45.6
20000	46.6
20600	47.3
21200	41.8
21800	42.9
22400	34.9
