Frequency Spectrum for Input Signal

Data Shown:    TCS62_Vertical (Turbosound)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 90°  Par: 140°  

Freq [Hz]	Signal Level [dBSPL]
22.4	71.7
23	72.4
23.6	73
24	73.5
25	74.1
25.8	74.6
26.5	75
27.2	75.7
28	76.4
29	77
30	77.5
30.7	78.1
31.5	78.7
32.5	79.2
33.5	79.8
34.5	80.3
35.5	80.8
36.5	81.3
37.5	81.8
38.7	82.2
40	82.7
41.2	83.2
42.5	83.6
43.7	84.1
45	84.8
46.2	85.8
47.5	86.6
48.7	86.4
50	86.2
51.5	86.7
53	87.2
54.5	87.4
56	87.6
58	87.9
60	88.1
61.5	88.4
63	88.6
65	88.9
67	89.2
69	89.4
71	89.5
73	89.9
75	90.1
77.5	90.3
80	90.6
82.5	90.4
85	90.6
87.5	90.9
90	90.7
92.5	90.6
95	90
97.5	90.1
100	90.4
103	90.4
106	90.2
109	90.1
112	90.1
115	90
118	90
122	89.6
125	89.1
128	88.7
132	88.1
136	87.4
140	87
145	86.8
150	86.5
155	86.1
160	85.7
165	85.4
170	85.2
175	84.8
180	84.2
185	83.5
190	83.3
195	83.1
200	82.7
206	82.4
212	81.9
218	80.9
224	80.7
230	80.6
236	80.4
240	80.1
250	79.9
258	79.6
265	79.3
272	79
280	78.7
290	78.4
300	78.2
307	78
315	77.9
325	77.8
335	77.9
345	77.9
355	77.7
365	76.6
375	74.4
387	72.1
400	70.4
412	69.3
425	68.9
437	69
450	69.6
462	70.6
475	71.6
487	72.7
500	73.6
515	74.3
530	74.8
545	74.9
560	74.7
580	74.1
600	73.1
615	71.7
630	70.1
650	68.5
670	67.4
690	66.8
710	66.9
730	67.3
750	67.4
775	67
800	65.9
825	64.3
850	62.8
875	61.5
900	59.5
925	55.3
950	46.5
975	52.7
1000	57.2
1030	58.9
1060	63.3
1090	71.2
1120	77.9
1150	81
1180	80.2
1220	78.4
1250	76.5
1280	74.7
1320	72.7
1360	70.6
1400	68.7
1450	68.2
1500	68.9
1550	70.4
1600	71.7
1650	71.9
1700	71
1750	69.7
1800	68.2
1850	68.1
1900	69.4
1950	69.9
2000	68.5
2060	66.7
2120	67
2180	67.8
2240	67
2300	63.8
2360	61.5
2400	62.8
2500	61.9
2580	58.9
2650	59.6
2720	62.9
2800	63.5
2900	62.7
3000	62.8
3070	63.1
3150	63.4
3250	60.9
3350	54.2
3450	58.1
3550	61.6
3650	61.7
3750	63.3
3870	64
4000	63.2
4120	64.3
4250	66.5
4370	65.8
4500	63
4620	60.1
4750	59.8
4870	56.2
5000	58.1
5150	60.7
5300	60.4
5450	63.4
5600	64.8
5800	60.9
6000	57.4
6150	57.4
6300	59.4
6500	60
6700	56.2
6900	60.2
7100	62.7
7300	63.6
7500	61.2
7750	62.1
8000	57
8250	54.9
8500	51.9
8750	50
9000	51.4
9250	54.6
9500	53.8
9750	52.6
10000	51
10300	56.5
10600	59.4
10900	54.6
11200	56.2
11500	53.2
11800	46.4
12200	44
12500	49.6
12800	51
13200	49.4
13600	46.8
14000	45.6
14500	46.4
15000	42.1
15500	36.5
16000	46.8
16500	45.7
17000	40.9
17500	34.9
18000	35.4
18500	33.4
19000	37.9
19500	45
20000	47.4
20600	45.5
21200	43.8
21800	46.4
22400	38
