Freq[Hz]     dBSPL  Phase[Deg]
5.00000     -2.495    72.879
5.07273     -2.039    74.988
5.14651     -1.689    76.629
5.22137     -1.632    76.967
5.29732     -1.574    77.305
5.37437     -1.517    77.643
5.45254     -1.459    77.982
5.53185     -1.720    78.704
5.61231     -2.316    79.834
5.69394     -2.912    80.964
5.77676     -3.509    82.093
5.86079     -4.113    83.384
5.94604     -5.209    94.132
6.03252     -6.305   104.881
6.12027     -7.401   115.629
6.20929     -8.497   126.377
6.29961     -7.558   138.011
6.39124     -6.167   149.842
6.48420     -4.777   161.672
6.57851     -3.386   173.502
6.67420     -2.323   175.309
6.77128     -1.312   175.488
6.86977     -0.302   175.666
6.96969      0.597   175.529
7.07107      0.646   172.987
7.17392      0.695   170.445
7.27827      0.745   167.903
7.38413     -0.012   165.025
7.49154     -1.390   161.888
7.60050     -2.768   158.750
7.71105     -4.472   164.472
7.82321     -7.602  -150.897
7.93701    -10.733  -106.267
8.05245    -13.863   -61.636
8.16958     -9.391   -60.927
8.28841     -4.635   -61.859
8.40896      0.121   -62.791
8.53128      1.643   -68.390
8.65537      2.747   -74.592
8.78126      3.851   -80.794
8.90899      3.327   -91.389
9.03857      2.696  -102.271
9.17004      2.084  -116.048
9.30342      1.617  -152.877
9.43874      1.150   170.294
9.57603      2.398   139.911
9.71532      6.264   119.376
9.85663     10.131    98.841
10.0000     12.792    88.052
10.1455     15.117    79.977
10.2930     17.205    72.579
10.4427     18.630    67.068
10.5946     20.056    61.557
10.7487     21.049    57.386
10.9051     21.956    53.482
11.0637     22.699    50.412
11.2246     23.268    48.222
11.3879     23.804    46.436
11.5535     24.216    46.117
11.7216     24.628    45.823
11.8921     25.061    46.951
12.0650     25.494    48.078
12.2405     26.005    49.556
12.4186     26.526    51.080
12.5992     27.053    52.352
12.7825     27.580    53.568
12.9684     28.031    54.728
13.1570     28.463    55.875
13.3484     28.815    57.616
13.5426     29.154    59.454
13.7395     29.533    62.353
13.9394     29.934    65.339
14.1421     30.505    68.673
14.3478     31.128    71.710
14.5565     31.864    74.103
14.7683     32.593    75.675
14.9831     33.316    76.612
15.2010     33.898    76.808
15.4221     34.420    76.919
15.6464     34.779    77.205
15.8740     35.087    78.156
16.1049     35.352    79.639
16.3392     35.731    82.389
16.5768     36.225    85.204
16.8179     36.878    88.046
17.0626     37.691    89.541
17.3107     38.506    90.122
17.5625     39.293    89.577
17.8180     39.876    87.999
18.0771     40.308    86.410
18.3401     40.586    85.032
18.6068     40.682    84.891
18.8775     40.787    86.393
19.1521     41.012    89.098
19.4306     41.448    92.716
19.7133     42.242    95.795
20.0000     43.169    97.171
20.2909     44.079    97.030
20.5860     44.870    95.633
20.8855     45.463    93.529
21.1893     45.786    91.679
21.4975     45.944    90.969
21.8102     46.053    91.769
22.1274     46.250    94.007
22.4492     46.645    97.065
22.7758     47.266    99.926
23.1071     48.021   101.707
23.4432     48.763   102.242
23.7841     49.379   102.015
24.1301     49.855   101.810
24.4811     50.247   102.131
24.8372     50.639   103.106
25.1984     51.099   104.448
25.5649     51.643   105.649
25.9368     52.227   106.330
26.3141     52.787   106.459
26.6968     53.277   106.308
27.0851     53.697   106.245
27.4791     54.082   106.536
27.8788     54.489   107.174
28.2843     54.944   107.913
28.6957     55.437   108.511
29.1131     55.940   108.883
29.5365     56.428   109.116
29.9661     56.896   109.374
30.4020     57.357   109.771
30.8442     57.836   110.309
31.2929     58.336   110.861
31.7480     58.849   111.351
32.2098     59.359   111.786
32.6783     59.859   112.255
33.1536     60.359   112.828
33.6359     60.868   113.489
34.1251     61.396   114.160
34.6215     61.933   114.763
35.1250     62.465   115.308
35.6359     62.988   115.844
36.1543     63.507   116.408
36.6802     64.026   116.985
37.2137     64.542   117.541
37.7550     65.054   118.070
38.3041     65.560   118.566
38.8613     66.061   119.007
39.4265     66.554   119.354
40.0000     67.034   119.614
40.5818     67.505   119.787
41.1721     67.970   119.806
41.7710     68.420   119.615
42.3785     68.835   119.252
42.9949     69.217   118.941
43.6203     69.598   118.800
44.2548     70.013   118.720
44.8985     70.457   118.481
45.5515     70.898   118.100
46.2141     71.330   117.745
46.8863     71.764   117.494
47.5683     72.209   117.233
48.2602     72.639   116.899
48.9621     73.037   116.572
49.6743     73.410   116.302
50.3968     73.761   116.032
51.1299     74.083   115.708
51.8736     74.376   115.341
52.6281     74.642   114.938
53.3936     74.888   114.499
54.1702     75.119   114.040
54.9581     75.335   113.579
55.7575     75.539   113.131
56.5685     75.726   112.734
57.3914     75.891   112.405
58.2261     76.028   112.164
59.0730     76.126   112.111
59.9323     76.199   112.296
60.8040     76.262   112.675
61.6884     76.319   113.185
62.5857     76.374   113.740
63.4960     76.414   114.341
64.4196     76.438   115.103
65.3566     76.463   116.030
66.3073     76.477   117.065
67.2717     76.474   118.278
68.2502     76.459   119.678
69.2429     76.431   121.270
70.2501     76.404   123.069
71.2719     76.387   124.983
72.3086     76.376   126.947
73.3603     76.360   128.967
74.4274     76.334   131.119
75.5099     76.295   133.369
76.6083     76.214   135.830
77.7226     76.127   138.760
78.8531     76.071   141.822
80.0000     76.018   144.973
81.1636     76.004   148.207
82.3442     76.006   151.289
83.5419     76.010   154.416
84.7570     76.017   157.599
85.9899     76.017   160.956
87.2406     76.007   164.462
88.5096     75.987   168.242
89.7970     75.988   172.116
91.1031     75.984   175.823
92.4282     75.943   179.477
93.7726     75.863  -176.742
95.1366     75.749  -172.528
96.5204     75.668  -167.786
97.9243     75.621  -162.795
99.3486     75.609  -157.615
100.794     75.620  -152.399
102.260     75.652  -147.212
103.747     75.688  -142.094
105.256     75.721  -137.032
106.787     75.742  -131.956
108.340     75.751  -126.881
109.916     75.716  -121.622
111.515     75.682  -115.835
113.137     75.691  -109.821
114.783     75.726  -103.801
116.452     75.768   -97.798
118.146     75.816   -91.753
119.865     75.864   -85.574
121.608     75.921   -79.204
123.377     75.978   -72.778
125.171     76.026   -66.364
126.992     76.075   -59.975
128.839     76.136   -53.559
130.713     76.201   -47.118
132.615     76.234   -40.496
134.543     76.232   -33.400
136.500     76.242   -26.007
138.486     76.272   -19.370
140.500     76.313   -12.160
142.544     76.360    -4.479
144.617     76.331     2.497
146.721     76.273    10.191
