Freq[Hz]     dBSPL  Phase[Deg]
5.00000     -2.719    46.155
5.07273     -2.262    47.881
5.14651     -1.909    49.134
5.22137     -1.850    49.063
5.29732     -1.791    48.992
5.37437     -1.732    48.921
5.45254     -1.673    48.851
5.53185     -1.932    49.152
5.61231     -2.526    49.847
5.69394     -3.120    50.542
5.77676     -3.715    51.237
5.86079     -4.317    52.092
5.94604     -5.411    62.380
6.03252     -6.505    72.669
6.12027     -7.599    82.957
6.20929     -8.692    93.245
6.29961     -7.751   104.398
6.39124     -6.359   115.743
6.48420     -4.966   127.088
6.57851     -3.574   138.433
6.67420     -2.508   139.732
6.77128     -1.495   139.400
6.86977     -0.482   139.068
6.96969      0.419   138.417
7.07107      0.470   135.338
7.17392      0.521   132.260
7.27827      0.572   129.182
7.38413     -0.183   125.752
7.49154     -1.560   122.052
7.60050     -2.937   118.351
7.71105     -4.639   123.505
7.82321     -7.769   167.546
7.93701    -10.898  -148.414
8.05245    -14.027  -104.373
8.16958     -9.554  -104.282
8.28841     -4.798  -105.832
8.40896     -0.041  -107.383
8.53128      1.481  -113.628
8.65537      2.584  -120.478
8.78126      3.688  -127.329
8.90899      3.163  -138.601
9.03857      2.532  -150.163
9.17004      1.919  -164.624
9.30342      1.451   157.835
9.43874      0.983   120.293
9.57603      2.229    89.185
9.71532      6.094    67.904
9.85663      9.960    46.623
10.0000     12.620    35.059
10.1455     14.944    26.204
10.2930     17.031    18.014
10.4427     18.455    11.687
10.5946     19.880     5.359
10.7487     20.873     0.341
10.9051     21.779    -4.415
11.0637     22.522    -8.355
11.2246     23.092   -11.433
11.3879     23.628   -14.115
11.5535     24.041   -15.356
11.7216     24.455   -16.574
11.8921     24.891   -16.403
12.0650     25.327   -16.231
12.2405     25.844   -15.737
12.4186     26.370   -15.201
12.5992     26.904   -14.941
12.7825     27.438   -14.742
12.9684     27.897   -14.620
13.1570     28.337   -14.516
13.3484     28.701   -13.839
13.5426     29.051   -13.069
13.7395     29.443   -11.257
13.9394     29.858    -9.361
14.1421     30.443    -7.133
14.3478     31.081    -5.209
14.5565     31.833    -3.938
14.7683     32.578    -3.498
14.9831     33.318    -3.699
15.2010     33.918    -4.652
15.4221     34.458    -5.696
15.6464     34.835    -6.575
15.8740     35.160    -6.797
16.1049     35.443    -6.494
16.3392     35.838    -4.939
16.5768     36.348    -3.326
16.8179     37.017    -1.697
17.0626     37.845    -1.433
17.3107     38.673    -2.094
17.5625     39.473    -3.896
17.8180     40.068    -6.755
18.0771     40.510    -9.640
18.3401     40.797   -12.333
18.6068     40.902   -13.818
18.8775     41.014   -13.685
19.1521     41.247   -12.371
19.4306     41.690   -10.171
19.7133     42.491    -8.542
20.0000     43.425    -8.645
20.2909     44.342   -10.292
20.5860     45.142   -13.221
20.8855     45.744   -16.885
21.1893     46.078   -20.325
21.4975     46.248   -22.650
21.8102     46.372   -23.487
22.1274     46.584   -22.906
22.4492     46.995   -21.525
22.7758     47.634   -20.357
23.1071     48.409   -20.284
23.4432     49.172   -21.473
23.7841     49.807   -23.437
24.1301     50.304   -25.393
24.4811     50.716   -26.838
24.8372     51.126   -27.645
25.1984     51.604   -28.105
25.5649     52.165   -28.729
25.9368     52.763   -29.899
26.3141     53.335   -31.652
26.6968     53.836   -33.723
27.0851     54.265   -35.745
27.4791     54.661   -37.459
27.8788     55.078   -38.874
28.2843     55.544   -40.235
28.6957     56.051   -41.784
29.1131     56.571   -43.602
29.5365     57.080   -45.596
29.9661     57.573   -47.597
30.4020     58.065   -49.480
30.8442     58.579   -51.238
31.2929     59.118   -52.984
31.7480     59.673   -54.787
32.2098     60.225   -56.636
32.6783     60.767   -58.439
33.1536     61.305   -60.130
33.6359     61.849   -61.730
34.1251     62.403   -63.333
34.6215     62.957   -65.031
35.1250     63.500   -66.831
35.6359     64.022   -68.713
36.1543     64.536   -70.653
36.6802     65.045   -72.686
37.2137     65.551   -74.864
37.7550     66.056   -77.186
38.3041     66.565   -79.668
38.8613     67.080   -82.301
39.4265     67.605   -85.109
40.0000     68.136   -88.041
40.5818     68.677   -91.061
41.1721     69.230   -94.191
41.7710     69.780   -97.455
42.3785     70.302  -100.782
42.9949     70.789  -103.944
43.6203     71.268  -106.835
44.2548     71.764  -109.585
44.8985     72.268  -112.463
45.5515     72.747  -115.504
46.2141     73.194  -118.593
46.8863     73.625  -121.703
47.5683     74.055  -124.989
48.2602     74.465  -128.528
48.9621     74.850  -132.231
49.6743     75.220  -136.020
50.3968     75.583  -139.911
51.1299     75.936  -143.906
51.8736     76.272  -147.947
52.6281     76.593  -151.991
53.3936     76.896  -156.024
54.1702     77.179  -160.038
54.9581     77.438  -164.044
55.7575     77.672  -168.069
56.5685     77.877  -172.117
57.3914     78.054  -176.201
58.2261     78.200   179.684
59.0730     78.311   175.641
59.9323     78.404   171.748
60.8040     78.496   167.995
61.6884     78.590   164.350
62.5857     78.684   160.746
63.4960     78.761   157.186
64.4196     78.816   153.766
65.3566     78.864   150.461
66.3073     78.894   147.187
67.2717     78.903   143.989
68.2502     78.898   140.873
69.2429     78.885   137.853
70.2501     78.877   134.961
71.2719     78.884   132.127
72.3086     78.902   129.301
73.3603     78.915   126.495
74.4274     78.916   123.779
75.5099     78.902   121.108
76.6083     78.843   118.585
77.7226     78.776   116.457
78.8531     78.740   114.388
80.0000     78.706   112.338
81.1636     78.710   110.305
82.3442     78.729   108.055
